阿爸	aaba
害病	hdbk
海边	hdbm
海波	hdbo
还不	hdbu
虎毒不食子	hdbz
喝倒彩	hdc
海草	hdcc
海盗	hddc
海带	hddd
海底	hddi
海胆	hddj
还得	hddw
海尔	hder
海风	hdf
海风	hdfg
海港	hdgh
海关	hdgr
骸骨	hdgu
海龟	hdgv
海沟	hdgz
还好	hdh
还好	hdhc
海河	hdhe
海航	hdhh
海涵	hdhj
海货	hdho
患得患失	hdhu
忽东忽西	hdhx
还差	hdi
还差	hdia
海产	hdij
海床	hdil
害虫	hdis
害处	hdiu
还将	hdj
海禁	hdjb
害己	hdji
海景	hdjk
还将	hdjl
海角	hdjn
黄道吉日	hdjr
海军	hdjy
海空	hdks
害苦	hdku
海葵	hdkv
海口	hdkz
合得来	hdl
害了	hdle
海浪	hdlh
海里	hdli
海蓝	hdlj
海量	hdll
海螺	hdlo
海流	hdlq
洪都拉斯	hdls
海路	hdlu
海底捞针	hdlv
海轮	hdly
海马	hdma
海鳗	hdmj
海面	hdmm
还没	hdmw
还能	hdn
还能	hdng
害你	hdni
海南	hdnj
海鸟	hdnn
海内	hdnw
海鸥	hdou
害怕	hdp
害怕	hdpa
氦气	hdqi
还请	hdqk
害人	hdr
害人	hdrf
还算	hds
害臊	hdsc
害死	hdsi
还算	hdsr
海豚	hdt
海獭	hdta
海涛	hdtc
海棠	hdth
孩提	hdti
海滩	hdtj
海天	hdtm
孩童	hdts
海豚	hdty
还是	hdu
还设	hdue
海参	hduf
还剩	hdug
海上	hduh
还是	hdui
还说	hduo
海水	hduv
还真	hdv
海蜇	hdve
还真	hdvf
海战	hdvj
海中	hdvs
海外	hdwd
海湾	hdwj
画地为牢	hdwl
害我	hdwo
还未	hdww
还想	hdx
邯郸学步	hdxb
好大喜功	hdxg
黑灯瞎火	hdxh
害喜	hdxi
还行	hdxk
还想	hdxl
海鲜	hdxm
海啸	hdxn
海蟹	hdxp
害羞	hdxq
海选	hdxr
还需	hdxu
海峡	hdxx
海牙	hdya
还要	hdyc
海洋	hdyh
骇异	hdyi
海燕	hdyj
嗨哟	hdyo
海员	hdyr
还用	hdys
海域	hdyu
海运	hdyy
还有	hdyz
海藻	hdzc
还在	hdzd
海葬	hdzh
孩子	hdzi
和蔼	heai
河岸	hean
哈尔滨	heb
河坝	heba
荷包	hebc
何必	hebi
合办	hebj
合并	hebk
河边	hebm
怙恶不悛	hebq
和而不同	hebt
何不	hebu
华而不实	hebu
河北	hebw
河槽	hecc
喝彩	hecd
何曾	hecg
贺词	heci
河道	hedc
何等	hedg
何地	hedi
核弹	hedj
核定	hedk
喝点	hedm
河段	hedr
合度	hedu
核对	hedv
合法	hef
合法	hefa
和风	hefg
何方	hefh
盒饭	hefj
和服	hefu
合肥	hefw
合格	heg
合格	hege
河港	hegh
何干	hegj
河工	hegs
何故	hegu
合规	hegv
河沟	hegz
和好	hehc
呵呵	hehe
河汉	hehj
合伙	heho
和缓	hehr
呵护	hehu
荷花	hehx
核查	heia
合成	heig
合唱	heih
呵斥	heii
河床	heil
河川	heir
何处	heiu
何愁	heiz
华尔街	hej
合金	hejb
合计	heji
合建	hejm
合脚	hejn
和解	hejp
喝酒	hejq
和局	heju
阖家	hejx
贺卡	heka
贺客	heke
合刊	hekj
何况	hekl
何苦	heku
河口	hekz
何来	held
合理	heli
荷兰	helj
喝令	helk
贺联	helm
河流	helq
合拢	hels
河马	hema
禾苗	hemn
和睦	hemu
和美	hemw
合谋	hemz
河南	hen
核能	heng
河泥	heni
河南	henj
何年	henm
和暖	henr
河内	henw
合拍	hepd
核批	hepi
河畔	hepj
和平	hepk
何求	heq
和亲	heqb
和气	heqi
合情	heqk
呵欠	heqm
何求	heqq
何去	hequ
合群	heqy
何人	herf
何日	heri
赫然	herj
何如	heru
褐色	hese
核算	hesr
贺岁	hesv
核桃	hetc
喝汤	heth
合体	heti
和谈	hetj
合同	hets
河豚	hety
合适	heu
合身	heuf
和声	heug
和尚	heuh
何时	heui
和善	heuj
和数	heuu
喝水	heuv
和谁	heuw
和顺	heuy
合手	heuz
合闸	heva
合照	hevc
赫哲	heve
合掌	hevh
何止	hevi
核战	hevj
盒装	hevl
何种	hevs
合著	hevu
核准	hevy
喝粥	hevz
喝问	hewf
喝完	hewj
何物	hewu
何谓	heww
合二为一	hewy
和谐	hex
核心	hexb
贺喜	hexi
鹤形	hexk
和弦	hexm
核销	hexn
和谐	hexp
喝下	hexx
和音	heyb
荷叶	heye
何以	heyi
合演	heyj
合影	heyk
河源	heyr
何用	heys
合约	heyt
合于	heyu
河运	heyy
合作	hez
何在	hezd
菏泽	heze
合葬	hezh
合资	hezi
合作	hezo
合租	hezu
喝醉	hezv
合奏	hezz
很爱	hfa
很爱	hfai
很暗	hfan
很薄	hfbc
很白	hfbd
很棒	hfbh
豪放不羁	hfbj
很不	hfbu
很惨	hfc
很菜	hfcd
很惨	hfcj
很粗	hfcu
很多	hfd
很大	hfda
很低	hfdi
很淡	hfdj
很多	hfdo
很短	hfdr
很懂	hfds
狠毒	hfdu
很对	hfdv
很烦	hff
很烦	hffj
很富	hffu
很费	hffw
很高	hfg
很高	hfgc
很乖	hfgk
很广	hfgl
很贵	hfgv
很够	hfgz
很好	hfh
很好	hfhc
狠狠	hfhf
很坏	hfhk
很火	hfho
很红	hfhs
很会	hfhv
很黑	hfhw
很花	hfhx
呼风唤雨	hfhy
很厚	hfhz
很长	hfi
很差	hfia
很潮	hfic
很扯	hfie
很沉	hfif
很长	hfih
很迟	hfii
很丑	hfiz
很久	hfj
很近	hfjb
痕迹	hfji
很近	hfjk
很久	hfjq
很快	hfk
很卡	hfka
很快	hfkk
很宽	hfkr
很酷	hfku
很困	hfky
很累	hfl
狠辣	hfla
很老	hflc
很冷	hflg
很烂	hflj
很凉	hfll
很乱	hflr
很累	hflw
很忙	hfm
很忙	hfmh
很慢	hfmj
狠命	hfmk
很妙	hfmn
很美	hfmw
很难	hfn
很能	hfng
很难	hfnj
很牛	hfnq
很浓	hfns
很怕	hfp
很怕	hfpa
很胖	hfph
魂飞魄散	hfps
很轻	hfqk
很强	hfql
很浅	hfqm
很全	hfqr
很穷	hfqs
洪福齐天	hfqt
很热	hfr
很热	hfre
很让	hfrh
很弱	hfro
很软	hfrr
很色	hfse
恨死	hfsi
很酸	hfsr
很松	hfss
很痛	hft
很甜	hftm
很痛	hfts
魂飞天外	hftw
鹤发童颜	hfty
恨透	hftz
很少	hfu
很傻	hfua
很少	hfuc
很深	hfuf
很省	hfug
很是	hfui
很帅	hfuk
很爽	hful
很熟	hfuu
很顺	hfuy
很准	hfv
狠招	hfvc
很窄	hfvd
很直	hfvi
后发制人	hfvr
很重	hfvs
狠抓	hfvx
很准	hfvy
很晚	hfw
很晚	hfwj
狠心	hfxb
很细	hfxi
很想	hfxl
很咸	hfxm
很小	hfxn
很凶	hfxs
后发先至	hfxv
和风细雨	hfxy
很有	hfy
痕印	hfyb
恨意	hfyi
很严	hfyj
很硬	hfyk
灰飞烟灭	hfym
很远	hfyr
环肥燕瘦	hfyu
很有	hfyz
很早	hfz
很杂	hfza
很早	hfzc
很脏	hfzh
横滨	hgbb
横波	hgbo
横财	hgcd
横渡	hgd
横道	hgdc
恒定	hgdk
横断	hgdr
横渡	hgdu
横队	hgdv
横幅	hgf
横幅	hgfu
回光返照	hgfv
横飞	hgfw
横贯	hgg
化干戈为玉帛	hggb
哼歌	hgge
横亘	hggf
横杆	hggj
横过	hggo
横贯	hggr
哼哼	hgh
恒河	hghe
哼哼	hghg
横祸	hgho
横陈	hgif
哼唱	hgih
横穿	hgir
恒久	hgj
哼唧	hgji
恒久	hgjq
横跨	hgkx
黑咕隆咚	hgld
衡量	hgll
横蛮	hgmj
横眉	hgmw
横批	hgp
横排	hgpd
横批	hgpi
横盘	hgpj
横切	hgqp
回锅肉	hgr
横肉	hgrz
横扫	hgs
横扫	hgsc
横死	hgsi
亨通	hgt
宏观调控	hgtk
回过头来	hgtl
亨通	hgts
恒生	hgu
恒生	hgug
衡山	hguj
湖光山色	hgus
横竖	hguu
衡水	hguv
合格证	hgv
横着	hgve
后顾之忧	hgvy
横轴	hgvz
恒温	hgwf
横卧	hgwo
好高骛远	hgwy
恒心	hgxb
恒星	hgxk
横向	hgxl
横线	hgxm
横下	hgxx
衡阳	hgy
衡阳	hgyh
横溢	hgyi
祸国殃民	hgym
横越	hgyt
横在	hgz
横遭	hgzc
横在	hgzd
后果自负	hgzf
悔过自新	hgzx
航班	hhb
好坏不分	hhbf
航班	hhbj
好汉不吃眼前亏	hhbk
航标	hhbn
惶惶不可终日	hhbr
花花草草	hhcc
黄花菜	hhcd
行次	hhci
航道	hhdc
浩浩荡荡	hhdd
行当	hhdh
航段	hhdr
航渡	hhdu
哈哈大笑	hhdx
浑浑噩噩	hhee
行规	hhg
行规	hhgv
花花公子	hhgz
行货	hhh
航海	hhhd
画虎画皮难画骨	hhhg
行行	hhhh
行货	hhho
呼和浩特	hhht
行话	hhhx
航程	hhig
昏昏沉沉	hhii
航船	hhir
行行出状元	hhiy
行家	hhj
行距	hhju
行家	hhjx
航空	hhks
轰轰烈烈	hhll
行列	hhlp
后悔莫及	hhmj
航模	hhmo
航母	hhmu
行内	hhn
行内	hhnw
航拍	hhp
航拍	hhpd
行情	hhq
含糊其辞	hhqc
行情	hhqk
欢呼雀跃	hhqy
挥汗如雨	hhry
航速	hhsu
航天	hht
航天	hhtm
行数	hhu
夯实	hhui
花花世界	hhuj
行数	hhuu
赫赫之功	hhvg
行长	hhvh
航展	hhvj
慌慌张张	hhvv
杭州	hhvz
挥霍无度	hhwd
后患无穷	hhwq
行伍	hhwu
航线	hhx
航行	hhxk
航向	hhxl
航线	hhxm
好好学习	hhxx
行业	hhy
行业	hhye
赫赫有名	hhym
后会有期	hhyq
昏昏欲睡	hhyu
航运	hhyy
花好月圆	hhyy
怀恨在心	hhzx
何出此言	hicy
回肠荡气	hidq
缓冲行	hih
酣畅淋漓	hill
好吃懒做	hilz
豁出去	hiq
火车站	hiv
横冲直撞	hivv
回嗔作喜	hizx
汉堡	hjbc
厚积薄发	hjbf
好景不长	hjbi
汗斑	hjbj
寒冰	hjbk
函大	hjda
喊道	hjdc
寒带	hjdd
旱地	hjdi
邯郸	hjdj
函电	hjdm
寒冬	hjds
寒风	hjfg
后继乏人	hjfr
函复	hjfu
函告	hjgc
涵盖	hjgd
寒光	hjgl
韩国	hjgo
焊工	hjgs
函购	hjgz
瀚海	hjhd
含恨	hjhf
换句话说	hjhu
含糊	hjhu
狐假虎威	hjhw
汉化	hjhx
含混	hjhy
憨厚	hjhz
寒潮	hjic
寒碜	hjif
酣畅	hjih
憨痴	hjii
寒蝉	hjij
寒窗	hjil
喊出	hjiu
汗臭	hjiz
罕见	hjj
寒噤	hjjb
旱季	hjji
汉江	hjjl
罕见	hjjm
喊叫	hjjn
焊接	hjjp
韩剧	hjju
寒假	hjjx
讳疾忌医	hjjy
寒苦	hjku
汉口	hjkz
翰林	hjlb
旱涝	hjlc
寒冷	hjlg
含量	hjll
虎踞龙盘	hjlp
寒流	hjlq
寒露	hjlu
含泪	hjlw
花街柳巷	hjlx
悍马	hjma
汗毛	hjmc
胡搅蛮缠	hjmi
酣眠	hjmm
寒梅	hjmw
寒气	hjqi
汗青	hjqk
焊枪	hjql
旱区	hjqu
汉人	hjrf
韩日	hjri
悍然	hjrj
挥金如土	hjrt
寒酸	hjs
寒酸	hjsr
好几天	hjt
旱獭	hjta
憨态	hjtd
焊条	hjtn
海角天涯	hjty
寒舍	hjue
喊声	hjug
憾事	hjui
汗衫	hjuj
寒霜	hjul
函数	hjuu
汗水	hjuv
函授	hjuz
含着	hjve
憨直	hjvi
寒战	hjvj
花甲之年	hjvn
汉中	hjvs
汗珠	hjvu
横加指责	hjvz
捍卫	hjw
韩文	hjwf
后继无人	hjwr
捍卫	hjww
寒心	hjxb
焊锡	hjxi
喊醒	hjxk
汗腺	hjxm
憨笑	hjxn
寒暄	hjxr
汉学	hjxt
含蓄	hjxu
寒鸦	hjya
寒窑	hjyc
汗液	hjye
涵养	hjyh
含义	hjyi
汗颜	hjyj
汉英	hjyk
荒郊野岭	hjyl
喊冤	hjyr
欢聚一堂	hjyt
汉语	hjyu
荒郊野外	hjyw
含有	hjyz
旱灾	hjzd
汉字	hjzi
汉族	hjzu
酣醉	hjzv
怀抱	hkb
惶恐不安	hkba
怀抱	hkbc
怀表	hkbn
淮北	hkbw
虎口拔牙	hkby
坏蛋	hkdj
坏话	hkh
淮海	hkhd
淮河	hkhe
怀恨	hkhf
坏坏	hkhk
坏话	hkhx
怀揣	hkik
坏处	hkiu
怀春	hkiy
怀旧	hkj
怀旧	hkjq
坏了	hkl
坏了	hkle
怀里	hkli
航空母舰	hkmj
怀念	hkn
怀念	hknm
坏人	hkr
坏人	hkrf
怀柔	hkrz
坏死	hks
坏死	hksi
怀胎	hktd
海阔天空	hktk
虎口逃生	hktu
坏事	hku
坏事	hkui
海枯石烂	hkul
槐树	hkuu
淮水	hkuv
怀中	hkv
怀着	hkve
坏账	hkvh
怀中	hkvs
昏聩无能	hkwn
黄口小儿	hkxe
怀想	hkxl
还可以	hky
怀疑	hkyi
虎口余生	hkyu
怀孕	hkyy
怀有	hkyz
磺胺	hlan
谎报	hlbc
皇榜	hlbh
忽略不计	hlbj
胡萝卜	hlbo
旱涝保收	hlbu
何乐不为	hlbw
荒草	hlcc
荒村	hlcy
荒岛	hldc
红绿灯	hldg
晃荡	hldh
皇帝	hldi
荒诞	hldj
画龙点睛	hldj
黄碟	hldp
晃动	hlds
黄豆	hldz
皇恩	hlen
何乐而不为	hlew
荒废	hlf
黄蜂	hlfg
荒废	hlfw
黄瓜	hlg
皇冠	hlgr
皇宫	hlgs
荒谷	hlgu
黄瓜	hlgx
黄海	hlhd
黄河	hlhe
晃晃	hlhl
惶惑	hlho
晃来晃去	hlhq
忽冷忽热	hlhr
糊里糊涂	hlht
恍惚	hlhu
花里胡哨	hlhu
黄黑	hlhw
谎话	hlhx
活灵活现	hlhx
黄昏	hlhy
皇后	hlhz
皇朝	hlic
谎称	hlig
蝗虫	hlis
好了疮疤忘了痛	hlit
皇储	hliu
黄金	hljb
汗流浃背	hljb
惶急	hlji
狐狸精	hljk
黑龙江	hljl
荒郊	hljn
鹤立鸡群	hljq
后来居上	hlju
皇家	hljx
惶恐	hlk
惶恐	hlks
灰溜溜	hll
黄蜡	hlla
黄磷	hllb
慌了	hlle
黄鹂	hlli
获利了结	hllj
黄陵	hllk
荒凉	hlll
黄连	hllm
荒落	hllo
慌乱	hllr
黄龙	hlls
黄绿	hllv
遑论	hlly
红楼梦	hlm
黄麻	hlma
黄毛	hlmc
慌忙	hlmh
荒蛮	hlmj
黄粱美梦	hlmm
荒漠	hlmo
荒谬	hlmq
黄梅	hlmw
黄牛	hln
荒年	hlnm
黄牛	hlnq
黄脸婆	hlp
黄袍	hlpc
黄牌	hlpd
荒僻	hlpi
黄浦	hlpu
黄泉	hlq
黄芩	hlqb
黄芪	hlqi
荒丘	hlqq
黄泉	hlqr
黄雀	hlqt
恍然	hlrj
恍若	hlro
黄蓉	hlrs
恍如	hlru
黄色	hls
黄色	hlse
荒唐	hlt
荒唐	hlth
荒滩	hltj
后浪推前浪	hltl
皇天	hltm
黄铜	hlts
黄土	hltu
囫囵吞枣	hltz
黄沙	hlua
慌神	hluf
皇上	hluh
皇室	hlui
黄山	hluj
荒疏	hluu
寒来暑往	hluw
慌张	hlvh
荒置	hlvi
黄种	hlvs
虎狼之师	hlvu
好莱坞	hlw
荒芜	hlwu
皇位	hlww
黄线	hlxm
荒淫	hlyb
荒野	hlye
话里有话	hlyh
谎言	hlyj
黄莺	hlyk
黄粱一梦	hlym
荒原	hlyr
黄玉	hlyu
黄油	hlyz
幌子	hlzi
皇族	hlzu
好马不吃回头草	hmbc
花名册	hmc
黑名单	hmd
哈密瓜	hmg
汗马功劳	hmgl
荒谬绝伦	hmjl
横眉怒目	hmnm
讳莫如深	hmru
侯门似海	hmsh
火冒三丈	hmsv
横眉竖眼	hmuy
横蛮无理	hmwl
鸿门宴	hmy
黄毛丫头	hmyt
回眸一笑	hmyx
海纳百川	hnbi
海内存知己	hncj
海南岛	hnd
患难夫妻	hnfq
何年何月	hnhy
红男绿女	hnln
猴年马月	hnmy
混凝土	hnt
患难之交	hnvj
海内外	hnw
患难与共	hnyg
火把	hoba
火爆	hobc
货币	hobi
伙伴	hobj
火并	hobk
活泼	hobo
货舱	hoch
豁达	hoda
活到	hodc
获得	hode
货单	hodj
火电	hodm
活动	hods
火堆	hodv
活分	hoff
伙房	hofh
活佛	hofo
祸福	hofu
活该	hogd
祸根	hogf
火光	hogl
火锅	hogo
火罐	hogr
火攻	hogs
货柜	hogv
祸害	hohd
活活	hoho
祸患	hohr
火红	hohs
火狐	hohu
火花	hohx
火候	hohz
火柴	hoid
火车	hoie
或称	hoig
火场	hoih
货船	hoir
豁出	hoiu
伙计	hoji
火警	hojk
获奖	hojl
火箭	hojm
活结	hojp
获救	hojq
火炬	hoju
货架	hojx
火烤	hokc
火坑	hokg
货款	hokr
活口	hokz
火辣	hola
活了	hole
活力	holi
活络	holo
霍乱	holr
火龙	hols
火炉	holu
货轮	holy
豁免	hom
活埋	homd
活命	homk
豁免	homm
火苗	homn
火鸟	hon
和泥	honi
火鸟	honn
货品	hopb
火炮	hopc
火盆	hopf
货票	hopn
活泼	hopo
获取	hoq
火气	hoqi
火情	hoqk
火枪	hoql
火球	hoqq
获取	hoqu
火热	hore
活人	horf
豁然	horj
火速	hos
活塞	hosd
货色	hose
火速	hosu
祸祟	hosv
祸胎	hot
祸胎	hotd
货梯	hoti
货摊	hotj
活脱	hoto
伙同	hots
火腿	hotv
火头	hotz
获胜	hou
火烧	houc
火舌	houe
火神	houf
获胜	houg
火上	houh
伙食	houi
火山	houj
祸水	houv
祸首	houz
或者	hov
或者	hove
获知	hovi
货站	hovj
活捉	hovo
火种	hovs
货主	hovu
获准	hovy
货物	how
火旺	howh
货物	howu
货位	howw
或许	hox
获悉	hoxi
火星	hoxk
藿香	hoxl
火线	hoxm
获选	hoxr
活血	hoxt
或许	hoxu
火药	hoyc
活页	hoye
货样	hoyh
获益	hoyi
火焰	hoyj
货源	hoyr
活用	hoys
活跃	hoyt
货运	hoyy
或有	hoyz
活在	hoz
活在	hozd
获赠	hozg
火葬	hozh
活字	hozi
获罪	hozv
狐朋狗友	hpgy
黄袍加身	hpju
鸿篇巨制	hpjv
和盘托出	hpti
何其多	hqd
何其毒也	hqdy
皇亲国戚	hqgq
何去何从	hqhc
合情合理	hqhl
浩气长存	hqic
含情脉脉	hqmm
魂牵梦绕	hqmr
魂牵梦萦	hqmy
黑黢黢	hqq
横七竖八	hqub
荷枪实弹	hqud
害群之马	hqvm
豪情壮志	hqvv
后起之秀	hqvx
好奇心	hqx
祸起萧墙	hqxq
花前月下	hqyx
黄雀在后	hqzh
环保	hrbc
还本	hrbf
诲人不倦	hrbj
患病	hrbk
害人不浅	hrbq
缓步	hrbu
缓存	hrcy
环岛	hrdc
换代	hrdd
幻灯	hrdg
换挡	hrdh
换掉	hrdn
欢度	hrdu
恍然大悟	hrdw
焕发	hrfa
换肤	hrfu
还给	hrg
欢歌	hrge
换岗	hrgh
缓过	hrgo
宦官	hrgr
恨入骨髓	hrgs
豁然贯通	hrgt
环顾	hrgu
恍如隔世	hrgu
还给	hrgw
换购	hrgz
换好	hrhc
宦海	hrhd
缓和	hrhe
换行	hrhh
害人害己	hrhj
缓缓	hrhr
欢呼	hrhu
幻化	hrhx
还魂	hrhy
换车	hrie
换成	hrig
欢畅	hrih
后人乘凉	hril
缓冲	hris
患处	hriu
还击	hrji
环境	hrjk
欢叫	hrjn
环节	hrjp
幻觉	hrjt
欢聚	hrju
还价	hrjx
欢快	hrkk
豁然开朗	hrkl
还款	hrkr
还口	hrkz
换了	hrl
换来	hrld
欢乐	hrle
还礼	hrli
环流	hrlq
环路	hrlu
缓慢	hrmj
幻灭	hrmp
欢闹	hrnc
还你	hrni
患难	hrnj
换票	hrp
换票	hrpn
缓坡	hrpo
唤起	hrqi
欢庆	hrqk
还钱	hrqm
环球	hrqq
换取	hrqu
欢洽	hrqx
环绕	hrr
环绕	hrrc
换人	hrrf
焕然	hrrj
恍然若失	hrru
环伺	hrsi
涣散	hrsj
换算	hrsr
欢送	hrss
还俗	hrsu
欢腾	hrt
还他	hrta
欢腾	hrtg
浑然天成	hrti
幻听	hrtk
欢跳	hrtn
换帖	hrtp
骇人听闻	hrtw
换上	hru
欢声	hrug
换上	hruh
环视	hrui
环山	hruj
还书	hruu
换手	hruz
还债	hrv
还债	hrvd
患者	hrve
还账	hrvh
环状	hrvl
浩然之气	hrvq
还我	hrwo
浑然无知	hrwv
换位	hrww
欢心	hrx
欢心	hrxb
欢喜	hrxi
唤醒	hrxk
幻想	hrxl
环线	hrxm
欢笑	hrxn
浣熊	hrxs
换血	hrxt
换下	hrxx
换牙	hrya
换页	hrye
豢养	hryh
浩如烟海	hryh
换衣	hryi
欢颜	hryj
欢迎	hryk
花容月貌	hrym
虎入羊群	hryq
还原	hryr
浑然一体	hryt
欢愉	hryu
焕然一新	hryx
患有	hryz
环子	hrzi
唤作	hrzo
还嘴	hrzv
红包	hsbc
红笔	hsbi
红斑	hsbj
红遍	hsbm
烘焙	hsbw
宏大	hsda
红灯	hsdg
红底	hsdi
红蛋	hsdj
轰动	hsds
红豆	hsdz
红粉	hsf
红粉	hsff
洪峰	hsfg
洪福	hsfu
烘干	hsgj
红光	hsgl
红果	hsgo
宏观	hsgr
鸿沟	hsgz
红海	hshd
红河	hshe
洪荒	hshl
红火	hsho
红红	hshs
洪湖	hshu
红花	hshx
红茶	hsia
红尘	hsif
哄传	hsir
红军	hsj
鸿基	hsji
红椒	hsjn
红酒	hsjq
红军	hsjy
烘烤	hskc
虹口	hskz
红利	hsl
洪涝	hslc
红利	hsli
洪亮	hsll
红脸	hslm
洪流	hslq
轰隆	hsls
红绿	hslv
胡思乱想	hslx
宏论	hsly
红楼	hslz
鸿毛	hsmc
洪门	hsmf
鸿蒙	hsmg
轰鸣	hsmk
虹膜	hsmo
红木	hsmu
红梅	hsmw
哄闹	hsnc
红泥	hsni
红娘	hsnl
红牌	hspd
红盘	hspj
哄骗	hspm
红旗	hsq
红旗	hsqi
横扫千军	hsqj
哄抢	hsql
虹桥	hsqn
哄劝	hsqr
红人	hsr
红人	hsrf
红日	hsri
轰然	hsrj
鸿儒	hsru
红润	hsry
红色	hss
红色	hsse
宏图	hst
哄抬	hstd
红糖	hsth
烘托	hsto
红彤	hsts
宏图	hstu
红透	hstz
洪水	hsu
红烧	hsuc
红参	hsuf
红杉	hsuj
红薯	hsuu
洪水	hsuv
轰炸	hsv
轰炸	hsva
红着	hsve
红妆	hsvl
红肿	hsvs
好色之徒	hsvt
红烛	hsvu
宏伟	hsw
宏伟	hsww
红心	hsxb
虹吸	hsxi
红杏	hsxk
烘箱	hsxl
红线	hsxm
哄笑	hsxn
红学	hsxt
红霞	hsxx
红叶	hsye
弘扬	hsyh
红衣	hsyi
红颜	hsyj
宏愿	hsyr
鸿运	hsyy
红枣	hsz
红枣	hszc
洪灾	hszd
洪泽	hsze
红字	hszi
挥洒自如	hszr
恨铁不成钢	htbg
换汤不换药	htby
宏图大志	htdv
哄堂大笑	htdx
黄土高原	htgy
昏天黑地	hthd
虎头虎脑	hthn
皇天后土	htht
花团锦簇	htjc
花天酒地	htjd
憨态可掬	htkj
呼天抢地	htqd
红彤彤	htt
灰头土脸	httl
回头是岸	htua
虎头蛇尾	htuw
欢天喜地	htxd
滑天下之大稽	htxj
互通有无	htyw
互爱	huai
湖北	hub
湖滨	hubb
虎豹	hubc
胡说八道	hubd
湖边	hubm
互搏	hubo
互补	hubu
湖北	hubw
互道	hudc
虎视眈眈	hudd
互递	hudi
虎胆	hudj
好事多磨	hudm
蝴蝶	hudp
护短	hudr
互动	huds
弧度	hudu
忽而	huer
护法	hufa
互访	hufh
护肤	hufu
胡搞	hugc
壶盖	hugd
互感	hugj
湖广	hugl
虎骨	hugu
呼号	huhc
湖海	huhd
呼喝	huhe
护航	huhh
呼喊	huhj
火烧火燎	huhl
好声好气	huhq
呼唤	huhr
绘声绘色	huhs
互惠	huhv
胡话	huhx
绘声绘影	huhy
胡扯	huie
呼哧	huii
胡缠	huij
呼出	huiu
胡吹	huiv
狐臭	huiz
呼叫	huj
户籍	huji
互敬	hujk
虎将	hujl
呼叫	hujn
呼救	hujq
护驾	hujx
火上浇油	hujy
后生可畏	hukw
户口	hukz
呼啦	hula
胡来	huld
虎狼	hulh
护理	huli
华山论剑	hulj
互联	hulm
胡乱	hulr
忽略	hult
葫芦	hulu
囫囵	huly
虎门	humf
火烧眉毛	humm
狐媚	humw
混水摸鱼	humy
胡闹	hunc
湖南	hunj
糊弄	huns
互派	hupd
虎皮	hupi
湖畔	hupj
湖泊	hupo
横竖撇点折	hupv
呼气	huqi
护墙	huql
虎钳	huqm
虎丘	huqq
忽然	hur
唬人	hurf
互让	hurh
忽然	hurj
鼾声如雷	hurl
呼入	huru
护送	hus
狐臊	husc
湖色	huse
护送	huss
互诉	husu
猢狲	husy
糊涂	hut
胡桃	hutc
互通	huts
糊涂	hutu
护腿	hutv
画蛇添足	hutz
虎鲨	huua
呼哨	huuc
浑身是胆	huud
互设	huue
护身	huuf
呼声	huug
忽视	huui
护士	huui
忽闪	huuj
海市蜃楼	huul
海誓山盟	huum
胡说	huuo
户数	huuu
湖水	huuv
浑身上下	huux
含沙射影	huuy
护手	huuz
护照	huvc
护着	huve
横生枝节	huvj
糊状	huvl
互转	huvr
好事之徒	huvt
互助	huvu
胡诌	huvz
户外	huwd
忽闻	huwf
回首往事	huwu
护卫	huww
互信	huxb
呼吸	huxi
户型	huxk
互相	huxl
弧线	huxm
呼啸	huxn
护胸	huxs
虎穴	huxt
胡须	huxu
欢声笑语	huxy
虎牙	huya
狐疑	huyi
胡言	huyj
呼应	huyk
互用	huys
呼吁	huyu
忽悠	huyz
活受罪	huz
互赠	huzg
胡子	huzi
灰暗	hvan
汇报	hvb
回报	hvbc
灰白	hvbd
回本	hvbf
毁谤	hvbh
回避	hvbi
悔之不及	hvbj
回禀	hvbk
横征暴敛	hvbl
汇编	hvbm
徽标	hvbn
回波	hvbo
挥别	hvbp
挥之不去	hvbq
回补	hvbu
惠赐	hvci
会餐	hvcj
荟萃	hvcv
惠存	hvcy
回答	hvda
回到	hvdc
回荡	hvdh
回单	hvdj
回电	hvdm
毁掉	hvdn
挥动	hvds
灰度	hvdu
汇兑	hvdv
挥发	hvfa
灰分	hvff
汇丰	hvfg
回放	hvfh
回返	hvfj
恢复	hvfu
会费	hvfw
会否	hvfz
悔改	hvgd
回国	hvgo
会馆	hvgr
回顾	hvgu
回归	hvgv
回购	hvgz
挥毫	hvhc
回合	hvhe
悔恨	hvhf
回航	hvhh
回函	hvhj
毁坏	hvhk
辉煌	hvhl
挥霍	hvho
回环	hvhr
恢宏	hvhs
回护	hvhu
会徽	hvhv
会话	hvhx
绘画	hvhx
悔婚	hvhy
会后	hvhz
回潮	hvic
回车	hvie
灰尘	hvif
回程	hvig
会场	hvih
挥斥	hvii
蛔虫	hvis
汇出	hviu
回春	hviy
回抽	hviz
灰烬	hvjb
汇集	hvji
回敬	hvjk
会见	hvjm
回教	hvjn
挥之即去	hvjq
回绝	hvjt
汇聚	hvju
货真价实	hvju
回家	hvjx
挥军	hvjy
会考	hvkc
会客	hvke
汇款	hvkr
回馈	hvkv
回扣	hvkz
回来	hvl
回来	hvld
毁了	hvle
回廊	hvlh
回礼	hvli
回落	hvlo
回流	hvlq
回笼	hvls
贿赂	hvlu
汇率	hvlv
