嗷嗷待哺	aadb
构思	gzsi
沟通	gzts
构图	gztu
购书	gzuu
购置	gzvi
构筑	gzvu
购物	gzw
购物	gzwu
构想	gzxl
购销	gzxn
构造	gzzc
哈佛	haf
哈佛	hafo
哈哈	hah
哈哈	haha
和蔼可亲	hakq
蛤蟆	ham
蛤蟆	hama
还不错	hbc
还不够	hbg
会不会	hbh
还不能	hbn
缓兵之计	hbvj
虎背熊腰	hbxy
好啊	hca
好啊	hcaa
好吧	hcba
厚此薄彼	hcbb
好比	hcbi
毫不	hcbu
怀才不遇	hcby
耗材	hccd
好的	hcde
浩荡	hcdh
好多	hcdo
耗费	hcf
豪放	hcfh
耗费	hcfw
好感	hcg
好感	hcgj
好好	hch
好好	hchc
好汉	hchj
好坏	hchk
豪华	hchx
号称	hcig
好吃	hcii
好处	hciu
豪杰	hcjp
好久	hcjq
好看	hckj
好了	hcle
号令	hclk
号码	hcm
号码	hcma
豪门	hcmf
毫米	hcmi
毫秒	hcmn
好评	hcp
好评	hcpk
好奇	hcq
好奇	hcqi
好人	hcr
好人	hcrf
好色	hcs
好色	hcse
好听	hctk
好事	hcu
毫升	hcug
好事	hcui
好书	hcuu
好手	hcuz
号召	hcvc
豪宅	hcvd
好转	hcvr
好玩	hcwj
毫无	hcwu
好像	hcx
好心	hcxb
好像	hcxl
好笑	hcxn
好些	hcxp
好学	hcxt
好友	hcy
好用	hcys
好运	hcyy
好友	hcyz
好在	hcz
好在	hczd
耗资	hczi
海岸	hda
海岸	hdan
海拔	hdba
海滨	hdbb
海报	hdbc
海边	hdbm
还不	hdbu
海盗	hddc
海带	hddd
海底	hddi
还得	hddw
海尔	hder
海港	hdgh
海关	hdgr
还好	hdh
还好	hdhc
患得患失	hdhu
害虫	hdis
害处	hdiu
还将	hdj
还将	hdjl
海军	hdjy
海口	hdkz
海浪	hdlh
海螺	hdlo
还没	hdmw
还能	hdn
还能	hdng
海南	hdnj
海鸥	hdou
害怕	hdp
害怕	hdpa
还算	hds
还算	hdsr
海滩	hdtj
海天	hdtm
还是	hdu
海上	hduh
还是	hdui
还说	hduo
海水	hduv
还真	hdv
还真	hdvf
海外	hdwd
海湾	hdwj
画地为牢	hdwl
还未	hdww
还想	hdx
邯郸学步	hdxb
还想	hdxl
海鲜	hdxm
海啸	hdxn
害羞	hdxq
还需	hdxu
海峡	hdxx
还要	hdyc
海洋	hdyh
海域	hdyu
海运	hdyy
还有	hdyz
还在	hdzd
孩子	hdzi
和蔼	heai
哈尔滨	heb
何必	hebi
合并	hebk
何不	hebu
河北	hebw
喝彩	hecd
河道	hedc
核定	hedk
河段	hedr
核对	hedv
合法	hef
合法	hefa
和服	hefu
合肥	hefw
合格	heg
合格	hege
和好	hehc
呵呵	hehe
合伙	heho
呵护	hehu
核查	heia
合成	heig
合唱	heih
何处	heiu
华尔街	hej
合金	hejb
合计	heji
和解	hejp
喝酒	hejq
贺卡	heka
何况	hekl
合理	heli
荷兰	helj
河流	helq
和睦	hemu
和美	hemw
河南	hen
河南	henj
合拍	hepd
和平	hepk
和亲	heqb
和气	heqi
合群	heqy
何如	heru
褐色	hese
核算	hesr
和谈	hetj
合同	hets
合适	heu
和声	heug
和尚	heuh
何时	heui
和数	heuu
喝水	heuv
何止	hevi
盒装	hevl
何种	hevs
核准	hevy
喝完	hewj
和谐	hex
核心	hexb
和弦	hexm
和谐	hexp
何以	heyi
合影	heyk
合约	heyt
合作	hez
何在	hezd
合资	hezi
合作	hezo
很爱	hfa
很爱	hfai
很不	hfbu
很多	hfd
很大	hfda
很低	hfdi
很多	hfdo
很高	hfg
很高	hfgc
很好	hfh
很好	hfhc
狠狠	hfhf
很长	hfi
很差	hfia
很长	hfih
很久	hfj
很近	hfjb
痕迹	hfji
很近	hfjk
很久	hfjq
很快	hfk
很快	hfkk
很累	hfl
很累	hflw
很美	hfmw
很难	hfn
很难	hfnj
很轻	hfqk
很强	hfql
鹤发童颜	hfty
很少	hfu
很少	hfuc
很深	hfuf
狠抓	hfvx
很想	hfxl
很小	hfxn
和风细雨	hfxy
很有	hfy
很远	hfyr
很有	hfyz
化干戈为玉帛	hggb
横亘	hggf
衡量	hgll
湖光山色	hgus
衡水	hguv
后顾之忧	hgvy
好高骛远	hgwy
恒心	hgxb
恒星	hgxk
横向	hgxl
衡阳	hgy
衡阳	hgyh
航班	hhb
航班	hhbj
航道	hhdc
浩浩荡荡	hhdd
行当	hhdh
浑浑噩噩	hhee
航海	hhhd
行家	hhj
行家	hhjx
航空	hhks
轰轰烈烈	hhll
行列	hhlp
航母	hhmu
行情	hhq
行情	hhqk
欢呼雀跃	hhqy
挥汗如雨	hhry
航天	hht
航天	hhtm
花花世界	hhuj
行长	hhvh
杭州	hhvz
后患无穷	hhwq
航线	hhx
航行	hhxk
航线	hhxm
行业	hhy
行业	hhye
航运	hhyy
酣畅淋漓	hill
火车站	hiv
邯郸	hjdj
寒冬	hjds
寒风	hjfg
涵盖	hjgd
韩国	hjgo
含糊	hjhu
狐假虎威	hjhw
汉化	hjhx
寒碜	hjif
罕见	hjj
罕见	hjjm
焊接	hjjp
寒假	hjjx
寒冷	hjlg
含量	hjll
寒流	hjlq
挥金如土	hjrt
寒酸	hjs
寒酸	hjsr
函数	hjuu
汗水	hjuv
函授	hjuz
捍卫	hjw
捍卫	hjww
寒暄	hjxr
涵养	hjyh
含义	hjyi
汗颜	hjyj
汉英	hjyk
汉语	hjyu
含有	hjyz
汉字	hjzi
汉族	hjzu
怀抱	hkb
怀抱	hkbc
坏蛋	hkdj
淮海	hkhd
淮河	hkhe
怀旧	hkj
怀旧	hkjq
坏了	hkl
坏了	hkle
怀念	hkn
怀念	hknm
坏人	hkr
坏人	hkrf
坏死	hks
坏死	hksi
海阔天空	hktk
坏事	hku
坏事	hkui
海枯石烂	hkul
怀着	hkve
还可以	hky
怀疑	hkyi
怀孕	hkyy
磺胺	hlan
皇帝	hldi
荒诞	hldj
画龙点睛	hldj
黄瓜	hlg
皇冠	hlgr
黄瓜	hlgx
黄海	hlhd
黄河	hlhe
恍惚	hlhu
活灵活现	hlhx
黄昏	hlhy
皇后	hlhz
黄金	hljb
黑龙江	hljl
鹤立鸡群	hljq
皇家	hljx
荒凉	hlll
慌乱	hllr
慌忙	hlmh
黄泉	hlq
黄泉	hlqr
黄色	hls
黄色	hlse
荒唐	hlt
荒唐	hlth
囫囵吞枣	hltz
黄山	hluj
好莱坞	hlw
谎言	hlyj
汗马功劳	hmgl
混凝土	hnt
海内外	hnw
火爆	hobc
货币	hobi
伙伴	hobj
活泼	hobo
获得	hode
活动	hods
火锅	hogo
祸害	hohd
火狐	hohu
火花	hohx
火柴	hoid
火车	hoie
伙计	hoji
获奖	hojl
火箭	hojm
火炬	hoju
货架	hojx
货款	hokr
活力	holi
豁免	hom
豁免	homm
货品	hopb
活泼	hopo
获取	hoq
获取	hoqu
火热	hore
火速	hos
活塞	hosd
火速	hosu
获胜	hou
火烧	houc
获胜	houg
伙食	houi
火山	houj
或者	hov
或者	hove
活捉	hovo
火种	hovs
获准	hovy
货物	how
货物	howu
或许	hox
获悉	hoxi
火星	hoxk
或许	hoxu
获益	hoyi
火焰	hoyj
货源	hoyr
活跃	hoyt
货运	hoyy
皇亲国戚	hqgq
何去何从	hqhc
后起之秀	hqvx
环保	hrbc
患病	hrbk
缓存	hrcy
幻灯	hrdg
恍然大悟	hrdw
焕发	hrfa
还给	hrg
还给	hrgw
缓和	hrhe
缓缓	hrhr
欢呼	hrhu
缓冲	hris
环境	hrjk
环节	hrjp
欢快	hrkk
换来	hrld
欢乐	hrle
环路	hrlu
缓慢	hrmj
唤起	hrqi
环球	hrqq
换取	hrqu
环绕	hrr
环绕	hrrc
涣散	hrsj
换算	hrsr
欢送	hrss
欢腾	hrt
欢腾	hrtg
浑然天成	hrti
骇人听闻	hrtw
患者	hrve
欢喜	hrxi
唤醒	hrxk
幻想	hrxl
环线	hrxm
欢笑	hrxn
豢养	hryh
浩如烟海	hryh
欢迎	hryk
还原	hryr
焕然一新	hryx
患有	hryz
宏大	hsda
轰动	hsds
宏观	hsgr
鸿沟	hsgz
红河	hshe
洪荒	hshl
红火	hsho
红茶	hsia
红尘	hsif
红军	hsj
红军	hsjy
红利	hsl
红利	hsli
轰隆	hsls
胡思乱想	hslx
鸿蒙	hsmg
红旗	hsq
红旗	hsqi
红色	hss
红色	hsse
宏图	hst
宏图	hstu
洪水	hsu
洪水	hsuv
轰炸	hsv
轰炸	hsva
宏伟	hsw
宏伟	hsww
弘扬	hsyh
洪灾	hszd
挥洒自如	hszr
昏天黑地	hthd
花团锦簇	htjc
憨态可掬	htkj
虎头蛇尾	htuw
湖北	hub
胡说八道	hubd
互补	hubu
湖北	hubw
好事多磨	hudm
蝴蝶	hudp
护短	hudr
互动	huds
护肤	hufu
呼喊	huhj
呼唤	huhr
绘声绘色	huhs
互惠	huhv
呼叫	huj
户籍	huji
呼叫	hujn
户口	hukz
胡来	huld
护理	huli
互联	hulm
忽略	hult
葫芦	hulu
囫囵	huly
虎门	humf
火烧眉毛	humm
湖南	hunj
湖畔	hupj
湖泊	hupo
忽然	hur
忽然	hurj
猢狲	husy
糊涂	hut
互通	huts
糊涂	hutu
画蛇添足	hutz
呼哨	huuc
呼声	huug
忽视	huui
护士	huui
海市蜃楼	huul
海誓山盟	huum
胡说	huuo
含沙射影	huuy
护照	huvc
互助	huvu
户外	huwd
护卫	huww
呼吸	huxi
户型	huxk
互相	huxl
呼啸	huxn
虎穴	huxt
呼应	huyk
呼吁	huyu
胡子	huzi
汇报	hvb
回报	hvbc
回避	hvbi
汇编	hvbm
荟萃	hvcv
回答	hvda
回到	hvdc
回放	hvfh
恢复	hvfu
回国	hvgo
回顾	hvgu
回归	hvgv
回购	hvgz
回合	hvhe
毁坏	hvhk
辉煌	hvhl
挥霍	hvho
会话	hvhx
绘画	hvhx
会后	hvhz
灰尘	hvif
回程	hvig
会场	hvih
灰烬	hvjb
汇集	hvji
会见	hvjm
回绝	hvjt
汇聚	hvju
回家	hvjx
会考	hvkc
汇款	hvkr
回馈	hvkv
回扣	hvkz
回来	hvl
回来	hvld
毁了	hvle
回落	hvlo
回笼	hvls
贿赂	hvlu
汇率	hvlv
会面	hvmm
毁灭	hvmp
回眸	hvmz
化妆品	hvp
惠普	hvpu
回去	hvq
回去	hvqu
灰色	hvse
会所	hvso
回头	hvt
会谈	hvtj
回帖	hvtp
会同	hvts
绘图	hvtu
回头	hvtz
回升	hvug
回事	hvui
回收	hvuz
会展	hvv
会诊	hvvf
会展	hvvj
花枝招展	hvvv
惠州	hvvz
会晤	hvwu
回味	hvww
彗星	hvxk
回想	hvxl
回旋	hvxr
回音	hvyb
会议	hvyi
汇演	hvyj
回应	hvyk
会员	hvyr
会有	hvyz
汇总	hvz
汇总	hvzs
回族	hvzu
黑暗	hwa
黑暗	hwan
黑白	hwb
黑白	hwbd
黑板	hwbj
黑洞	hwd
黑洞	hwds
嘿嘿	hwh
嘿嘿	hwhw
黑客	hwke
黑马	hwm
黑马	hwma
黑幕	hwmu
黑人	hwr
黑人	hwrf
黑色	hws
黑色	hwse
黑体	hwt
黑体	hwti
黑市	hwui
红外线	hwx
黑夜	hwy
黑夜	hwye
混为一谈	hwyt
画报	hxbc
横行霸道	hxbd
滑冰	hxbk
花边	hxbm
划拨	hxbo
华北	hxbw
花草	hxcc
画册	hxce
花丛	hxcs
划定	hxdk
花店	hxdm
花朵	hxdo
华东	hxds
花儿	hxe
花儿	hxer
划分	hxff
花费	hxfw
化工	hxgs
花卉	hxh
花卉	hxhv
滑稽	hxji
化解	hxjp
话剧	hxju
画家	hxjx
花开	hxkd
花了	hxle
画廊	hxlh
华丽	hxli
画面	hxmm
花木	hxmu
华美	hxmw
华南	hxn
华纳	hxna
华南	hxnj
花鸟	hxnn
花香鸟语	hxny
滑坡	hxpo
花钱	hxqm
华侨	hxqn
华人	hxrf
灰心丧气	hxsq
话题	hxt
话题	hxti
话说	hxu
花哨	hxuc
化身	hxuf
花生	hxug
化石	hxui
华山	hxuj
话说	hxuo
化妆	hxvl
华中	hxvs
花纹	hxw
花纹	hxwf
化为	hxww
化险为夷	hxwy
化学	hxx
华西	hxxi
花香	hxxl
化纤	hxxm
化学	hxxt
花絮	hxxu
华夏	hxxx
花样	hxyh
华裔	hxyi
化验	hxyj
花园	hxyr
话语	hxyu
混蛋	hydj
混沌	hydy
混合	hyh
混合	hyhe
婚后	hyhz
婚介	hyj
婚介	hyjp
婚礼	hyli
混乱	hylr
胡言乱语	hyly
昏迷	hymi
婚前	hyqm
花言巧语	hyqy
馄饨	hyty
婚纱	hyua
浑身	hyuf
豪言壮语	hyvy
厚颜无耻	hywi
好逸恶劳	hywl
混淆	hyx
混淆	hyxn
婚姻	hyyb
混淆	hyyc
和颜悦色	hyys
厚爱	hzai
后备	hzbw
厚道	hzd
厚道	hzdc
后代	hzdd
厚度	hzdu
后方	hzf
后方	hzfh
胡作非为	hzfw
后果	hzgo
后悔	hzh
后悔	hzhv
厚厚	hzhz
候车	hzie
后劲	hzj
后劲	hzjb
后来	hzl
后来	hzld
后门	hzmf
后面	hzmm
后勤	hzqb
后期	hzqi
后人	hzrf
后台	hztd
后天	hztm
后退	hztv
后市	hzu
后市	hzui
后者	hzve
厚重	hzvs
后缀	hzvv
厚望	hzw
厚望	hzwh
后卫	hzww
候选	hzxr
后续	hzxu
后裔	hzyi
猴子	hzzi
差别	iabp
插槽	iacc
差错	iaco
差点	iadm
差额	iaee
查封	iafg
茶馆	iag
茶馆	iagr
查获	iaho
查出	iai
查抄	iaic
查处	iaiu
插件	iajm
察觉	iajt
差距	iaju
差价	iajx
查看	iakj
查明	iamk
刹那	iana
插曲	iaq
查清	iaqk
插曲	iaqu
插入	iar
插入	iaru
插图	iatu
查收	iauz
查找	iav
查找	iavc
查证	iavg
查询	iaxy
茶叶	iaye
差异	iayi
查验	iayj
查阅	iayt
插座	iaz
插座	iazo
差不多	ibd
出版社	ibu
赤膊上阵	ibuv
超薄	icb
超标	icbn
超薄	icbo
超大	icda
朝代	icdd
超额	ice
超额	icee
嘲讽	icfg
超过	icg
超过	icgo
炒股	icgu
超出	ici
超常	icih
超出	iciu
超级	icji
吵架	icjx
陈词滥调	icld
潮流	iclq
吵闹	icn
吵闹	icnc
钞票	icp
超频	icpb
钞票	icpn
超前	icq
超强	icql
超前	icqm
超群	icqy
超人	icr
超人	icrf
抄送	icss
超速	icsu
超脱	icto
超生	icug
超时	icui
潮湿	icui
朝着	icve
超支	icvi
超重	icvs
潮州	icvz
抄袭	icxi
朝向	icxl
朝鲜	icxm
嘲笑	icxn
超越	icy
朝阳	icyh
超员	icyr
超越	icyt
长此以往	icyw
炒作	icz
超载	iczd
炒作	iczo
拆毁	idh
拆毁	idhv
拆除	idiu
拆建	idjm
豺狼	idlh
拆迁	idq
拆迁	idqm
成都市	idu
赤胆忠心	idvx
拆卸	idx
拆卸	idxp
柴油	idyz
车次	iec
车次	ieci
彻底	iedi
车队	iedv
出尔反尔	iefe
车祸	ieh
车祸	ieho
撤换	iehr
撤回	iehv
车间	iej
车间	iejm
撤军	iejy
车库	iek
车库	ieku
车辆	iel
撤离	ieli
车辆	iell
车轮	iely
车迷	iemi
扯皮	iepi
车票	iepn
车速	ies
车速	iesu
撤退	ietv
车身	ieuf
车上	ieuh
车市	ieui
车手	ieuz
车站	iev
撤职	ievi
车站	ievj
车主	ievu
撤销	iex
车型	iexk
车厢	iexl
撤销	iexn
车子	iez
车载	iezd
车子	iezi
撤走	iezz
尘埃	ifai
晨报	ifbc
沉淀	ifdm
沉浮	iffu
陈旧	ifj
沉浸	ifjb
趁机	ifji
陈旧	ifjq
陈列	iflp
沉闷	ifmf
沉默	ifmo
沉思	ifs
沉思	ifsi
衬托	ifto
沉痛	ifts
尘土	iftu
陈设	ifue
衬衫	ifuj
陈述	ifuu
沉睡	ifuv
称职	ifvi
沉着	ifvo
沉重	ifvs
晨曦	ifxi
衬衣	ifyi
成本	igb
称霸	igba
城堡	igbc
成败	igbd
成本	igbf
承办	igbj
成倍	igbw
成才	igc
成才	igcd
称道	igdc
承德	igde
承担	igdj
程度	igdu
成都	igdu
成对	igdv
惩罚	igfa
成分	igff
成功	igg
成果	iggo
城管	iggr
成功	iggs
称号	ighc
称呼	ighu
成婚	ighy
乘车	igie
惩处	igiu
成绩	igji
城建	igjm
成交	igjn
承接	igjp
成就	igjq
成家	igjx
乘客	igke
诚恳	igkf
成了	igle
成立	igli
成龙	igls
成名	igmk
春光明媚	igmm
承诺	ign
成年	ignm
承诺	igno
成品	igpb
成亲	igqb
澄清	igqk
城墙	igql
成全	igqr
城区	igqu
成群	igqy
承认	igr
承认	igrf
诚然	igrj
成套	igtc
城市	igu
呈上	iguh
城市	igui
成熟	iguu
承受	iguz
城镇	igvf
诚征	igvg
成长	igvh
惩治	igvi
成文	igwf
成为	igww
诚心	igx
诚心	igxb
成型	igxk
城乡	igxl
呈现	igxm
成效	igxn
程序	igxu
成因	igyb
撑腰	igyc
诚意	igyi
成员	igyr
成语	igyu
承载	igzd
称赞	igzj
乘坐	igzo
长安	ihan
场地	ihd
长达	ihda
倡导	ihdc
场地	ihdi
长短	ihdr
长度	ihdu
嫦娥	ihe
嫦娥	ihee
长发	ihf
长发	ihfa
厂房	ihfh
常规	ihg
唱歌	ihge
场馆	ihgr
常规	ihgv
场合	ihh
场合	ihhe
偿还	ihhr
长虹	ihhs
长城	ihig
常常	ihih
长处	ihiu
长春	ihiy
常见	ihj
场景	ihjk
长江	ihjl
常见	ihjm
长久	ihjq
猖獗	ihjt
厂家	ihjx
敞开	ihkd
长廊	ihlh
春寒料峭	ihlq
场面	ihmm
常年	ihnm
长篇	ihp
长跑	ihpc
长篇	ihpm
长期	ihqi
常人	ihrf
场所	ihs
场所	ihso
畅谈	ihtj
畅通	ihts
长途	ihtu
长沙	ihua
厂商	ihuh
尝试	ihui
常识	ihui
常熟	ihuu
长寿	ihuz
厂长	ihv
长征	ihvg
厂长	ihvh
吹灰之力	ihvl
常务	ihwu
长线	ihxm
畅销	ihxn
徜徉	ihyh
倡议	ihyi
长远	ihyr
常用	ihys
常有	ihyz
长足	ihzu
翅膀	iibh
吃醋	iicu
尺寸	iicy
迟到	iidc
痴呆	iidd
楚楚动人	iidr
尺度	iidu
迟钝	iidy
吃饭	iifj
持股	iigu
吃喝	iihe
迟缓	iihr
驰骋	iiig
迟迟	iiii
持久	iij
吃紧	iijb
吃惊	iijk
持久	iijq
楚楚可怜	iikl
吃苦	iiku
吃亏	iikv
吃了	iil
吃了	iile
吃力	iili
赤裸	iilo
齿轮	iily
持平	iipk
痴情	iiq
痴情	iiqk
持枪	iiql
炽热	iire
耻辱	iiru
叱咤	iiva
持续	iix
痴心	iixb
持续	iixu
持有	iiy
迟疑	iiyi
迟延	iiyj
绰绰有余	iiyy
持有	iiyz
迟早	iizc
斥责	iize
赤字	iizi
产地	ijdi
颤动	ijds
颤抖	ijdz
忏悔	ijhv
产后	ijhz
产出	ijiu
婵娟	ijjr
产假	ijjx
产量	ijll
蝉联	ijlm
阐明	ijmk
缠绵	ijmm
谄媚	ijmw
产能	ijng
产品	ijpb
产权	ijq
产权	ijqr
产区	ijqu
缠绕	ijr
缠绕	ijrc
产生	ijug
触景生情	ijuq
阐述	ijuu
产值	ijvi
产物	ijwu
产销	ijxn
产业	ijye
出口成章	ikiv
疮疤	ilba
出类拔萃	ilbc
创办	ilbj
川流不息	ilbx
重峦叠嶂	ildv
窗户	ilh
窗户	ilhu
创汇	ilhv
创建	iljm
创举	ilju
窗口	ilk
创刊	ilkj
窗口	ilkz
创立	illi
窗帘	illm
触类旁通	ilpt
床铺	ilpu
处理器	ilq
春兰秋菊	ilqj
闯入	ilru
窗台	iltd
床上	ilu
床上	iluh
创始	ilui
创收	iluz
窗外	ilw
窗外	ilwd
创新	ilxb
创下	ilxx
创意	ily
创业	ilye
创意	ilyi
创造	ilz
创造	ilzc
创作	ilzo
出谋划策	imhc
瞠目结舌	imju
触目惊心	imjx
愁眉苦脸	imkl
吹毛求疵	imqc
臭名昭著	imvv
春暖花开	inhk
绰号	iohc
戳穿	ioir
辍学	ioxt
绰约	ioyt
出其不意	iqby
承前启后	iqqh
重庆市	iqu
出奇制胜	iqvu
宠辱不惊	irbj
传播	irbo
传达	ird
传达	irda
穿戴	irdd
传递	irdi
传单	irdj
穿过	irg
传感	irgj
穿过	irgo
传呼	irhu
传出	iri
穿插	iria
传承	irig
传出	iriu
传来	irld
传媒	irmw
传奇	irqi
传情	irqk
传染	irrj
传入	irru
传送	irs
穿梭	irso
传送	irss
传统	irt
传统	irts
传说	iru
穿上	iruh
传说	iruo
传输	iruu
传授	iruz
穿着	irve
传真	irvf
船只	irvi
成人之美	irvm
穿着	irvo
传闻	irw
传闻	irwf
传销	irxn
传言	iry
穿衣	iryi
传言	iryj
穿越	iryt
宠爱	isai
崇拜	isbd
重播	isbo
冲刺	isci
冲动	isd
充当	isdh
充电	isdm
重叠	isdp
冲动	isds
充分	isff
重返	isfj
重复	isfu
崇高	isgc
重重	isi
充斥	isii
重重	isis
冲出	isiu
冲击	isji
憧憬	isjk
重建	isjm
重来	isld
冲浪	islh
充满	ism
重码	isma
充满	ismj
冲破	ispo
充沛	ispw
重庆	isq
重启	isqi
重庆	isqk
冲入	isr
冲入	isru
冲突	ist
冲突	istu
充实	isu
重申	isuf
崇尚	isuh
充实	isui
冲刷	isux
重振	isvf
充值	isvi
重装	isvl
重温	iswf
宠物	iswu
重新	isxb
冲洗	isxi
重现	isxm
冲印	isyb
充足	isz
重组	iszu
丑态百出	itbi
彻头彻尾	itiw
垂头丧气	itsq
畅通无阻	itwz
初步	iub
出版	iubj
出兵	iubk
初步	iubu
储备	iubw
储存	iuc
储藏	iuch
初次	iuci
出错	iuco
储存	iucy
出台	iudd
触电	iudm
出动	iuds
初二	iuer
出发	iufa
处分	iuff
厨房	iufh
触犯	iufj
出水芙蓉	iufr
除非	iufw
出国	iug
初稿	iugc
出国	iugo
出货	iuho
出乎	iuhu
出差	iuid
出城	iuig
出场	iuih
出产	iuij
处处	iuiu
初级	iuji
出境	iujk
出具	iuju
出口	iukz
处理	iul
出来	iuld
除了	iule
处理	iuli
储量	iull
初恋	iulm
出路	iulu
出马	iuma
出卖	iumd
出门	iumf
出名	iumk
车水马龙	iuml
出面	iumm
触摸	iumo
处女	iun
出纳	iuna
处女	iunv
出品	iupb
出去	iuq
出勤	iuqb
初期	iuqi
出钱	iuqm
出去	iuqu
出任	iurf
出神入化	iurh
出入	iuru
出色	iuse
初三	iusj
处所	iuso
出台	iutd
初探	iutj
出庭	iutk
出土	iutu
出身	iuuf
出生	iuug
厨师	iuui
出山	iuuj
出水	iuuv
出售	iuuz
出征	iuvg
处长	iuvh
处置	iuvi
初中	iuvs
除外	iuwd
出席	iuxi
出现	iuxm
初学	iuxt
储蓄	iuxu
处于	iuy
初一	iuyi
出演	iuyj
出院	iuyr
处于	iuyu
出游	iuyz
处在	iuzd
出自	iuzi
出租	iuzu
出走	iuzz
吹牛	ivn
吹牛	ivnq
吹捧	ivpg
垂直	ivv
垂直	ivvi
垂询	ivx
吹嘘	ivxu
垂询	ivxy
持之以恒	ivyh
乘虚而入	ixer
处心积虑	ixjl
初学者	ixv
城下之盟	ixvm
痴心妄想	ixwx
春意盎然	iyar
纯粹	iycv
长吁短叹	iydt
春风	iyfg
春光	iyg
春光	iygl
察言观色	iygs
纯洁	iyj
春季	iyji
纯净	iyjk
春节	iyjp
纯利	iyli
春联	iylm
沉鱼落雁	iyly
纯朴	iypu
春秋	iyq
纯情	iyqk
春秋	iyqq
春雨如油	iyry
春色	iyse
春天	iyt
春天	iytm
纯属	iyu
纯属	iyuu
纯真	iyv
纯真	iyvf
纯正	iyvg
春夏	iyx
春夏	iyxx
春运	iyyy
春游	iyyz
筹办	izbj
筹备	izbw
筹措	izc
筹措	izco
抽调	izd
仇敌	izdi
抽调	izdn
丑恶	ize
丑恶	izee
仇恨	izhf
筹划	izhx
抽出	izi
抽查	izia
惆怅	izih
抽出	iziu
筹集	izji
抽奖	izjl
筹建	izjm
抽空	izk
抽空	izks
丑陋	izl
丑陋	izlz
筹码	izm
筹码	izma
稠密	izmi
绸缪	izmz
抽签	izq
抽签	izqm
抽取	izqu
仇人	izrf
抽屉	izti
抽身	izu
抽身	izuf
仇视	izui
丑闻	izw
丑闻	izwf
抽象	izxl
酬谢	izxp
抽样	izyh
姹紫嫣红	izyh
抽烟	izyj
筹资	izzi
举案齐眉	jaqm
进步	jbb
骄兵必败	jbbb
劲爆	jbbc
进步	jbbu
进餐	jbcj
紧凑	jbcz
近代	jbdd
进度	jbdu
金额	jbe
金额	jbee
进而	jber
谨防	jbf
谨防	jbfh
紧跟	jbgf
金刚	jbgh
巾帼	jbgo
尽管	jbgr
进攻	jbgs
金碧辉煌	jbhh
襟怀	jbhk
进货	jbho
近乎	jbhu
进化	jbhx
今后	jbhz
进程	jbig
进场	jbih
进出	jbiu
仅仅	jbjb
紧紧	jbjb
紧急	jbji
金奖	jbjl
进阶	jbjp
进军	jbjy
尽快	jbkk
近况	jbkl
金库	jbku
进口	jbkz
进来	jbld
尽了	jble
尽力	jbli
禁令	jblk
尽量	jbll
金龙	jbls
进门	jbmf
紧密	jbmi
今年	jbnm
剑拔弩张	jbnv
浸泡	jbpc
金牌	jbpd
紧迫	jbpo
近期	jbqi
尽情	jbqk
金钱	jbqm
紧俏	jbqn
进球	jbqq
紧缺	jbqt
进去	jbqu
今日	jbri
金融	jbrs
进入	jbru
金色	jbse
近似	jbsi
紧缩	jbso
尽头	jbt
今天	jbtm
津贴	jbtp
进退	jbtv
尽头	jbtz
谨慎	jbuf
今生	jbug
近视	jbui
金山	jbuj
金属	jbuu
进水	jbuv
紧张	jbvh
禁止	jbvi
进展	jbvj
进驻	jbvu
今晚	jbwj
仅为	jbww
进行	jbx
进行	jbxk
仅限	jbxm
进修	jbxq
金银	jbyb
今夜	jbye
禁用	jbys
仅有	jbyz
尽早	jbzc
尽责	jbze
金子	jbzi
皆大欢喜	jdhx
见多识广	jdug
决定性	jdx
疾恶如仇	jeri
简而言之	jeyv
见缝插针	jfiv
解放军	jfj
见风使舵	jfud
几分钟	jfv
今非昔比	jfxb
揭竿而起	jgeq
鞠躬尽瘁	jgjc
急功近利	jgjl
将功赎罪	jguz
惊弓之鸟	jgvn
居功自傲	jgza
惊慌失措	jhuc
激昂	jiah
季报	jibc
击败	jibd
基本	jibf
击毙	jibi
疾病	jibk
级别	jibp
坚持不懈	jibx
计策	jice
基层	jicg
几次	jici
急促	jicu
寄存	jicy
极大	jida
亟待	jidd
记得	jide
基地	jidi
鸡蛋	jidj
既定	jidk
极点	jidm
基调	jidn
极端	jidr
激动	jids
季度	jidu
嫉妒	jidu
饥饿	jiee
继而	jier
激发	jifa
积分	jiff
机房	jifh
肌肤	jifu
计费	jifw
极高	jigc
几个	jige
激光	jigl
记过	jigo
机关	jigr
籍贯	jigr
技工	jigs
寄给	jigw
机构	jigz
记号	jihc
集合	jihe
激活	jiho
几乎	jihu
机会	jihv
计划	jihx
稽查	jiia
继承	jiig
集成	jiig
机场	jiih
机床	jiil
基础	jiiu
基金	jijb
积极	jiji
寂静	jijk
即将	jijl
计较	jijn
季节	jijp
急救	jijq
几句	jiju
计价	jijx
疾苦	jiku
吉林	jilb
极了	jile
激励	jili
伎俩	jill
寂寥	jiln
击落	jilo
激烈	jilp
记录	jilu
纪律	jilv
积累	jilw
急忙	jimh
机密	jimi
寂寞	jimo
计谋	jimz
技能	jing
济南	jinj
纪念	jinm
激怒	jinu
妓女	jinv
极品	jipb
机票	jipn
急迫	jipo
机器	jiqi
激情	jiqk
