阿	$ddcmd(阿,阿[aa])	aaek#序5000
经	$ddcmd(经,经[jk])	jksg#序3720
経	$ddcmd(経,経[jks])	jkst#序3719
境	$ddcmd(境,境[jkt])	jkte#序3718
兢	$ddcmd(兢,兢[jku])	jkue#序3717
劲	$ddcmd(劲,劲[jbv])	jkvl#序3716
京	$ddcmd(京,京[jkw])	jkwx#序3715
惊	$ddcmd(惊,惊[jkx])	jkxx#序3714
警	$ddcmd(警,警[jky])	jkyc#序3713
逕	$ddcmd(逕,逕[jkz])	jkza#序3712
蒋	$ddcmd(蒋,蒋[jlc])	jlcc#序3711
将	$ddcmd(将,将[jl])	jldc#序3710
江	$ddcmd(江,江[jld])	jldg#序3709
降	$ddcmd(降,降[jle])	jlea#序3708
强	$ddcmd(强,强[jlg])	jlgi#序3707
匠	$ddcmd(匠,匠[jlk])	jlkj#序3706
桨	$ddcmd(桨,桨[jlm])	jlmd#序3705
僵	$ddcmd(僵,僵[jlr])	jlra#序3704
絳	$ddcmd(絳,絳[jls])	jlsa#序3703
讲	$ddcmd(讲,讲[jly])	jlya#序3702
柬	$ddcmd(柬,柬[jma])	jman#序3701
贱	$ddcmd(贱,贱[jmb])	jmbg#序3700
荐	$ddcmd(荐,荐[jmc])	jmcz#序3699
剑	$ddcmd(剑,剑[jmd])	jmdr#序3698
捡	$ddcmd(捡,捡[jmf])	jmfa#序3697
韉	$ddcmd(韉,韉[jmg])	jmgh#序3696
肩	$ddcmd(肩,肩[jmh])	jmho#序3695
键	$ddcmd(键,键[jmj])	jmjz#序3694
见	$ddcmd(见,见[jm])	jmkv#序3693
囝	$ddcmd(囝,囝[jmk])	jmkz#序3692
间	$ddcmd(间,间[jmm])	jmmo#序3691
奸	$ddcmd(奸,奸[jmn])	jmnu#序3690
見	$ddcmd(見,見[jmo])	jmoe#序3689
兼	$ddcmd(兼,兼[jmq])	jmqn#序3688
件	$ddcmd(件,件[jmr])	jmrn#序3687
缄	$ddcmd(缄,缄[jms])	jmsk#序3686
坚	$ddcmd(坚,坚[jmt])	jmta#序3685
碱	$ddcmd(碱,碱[jmu])	jmuk#序3684
简	$ddcmd(简,简[jmv])	jmvo#序3683
尖	$ddcmd(尖,尖[jmx])	jmxd#序3682
艰	$ddcmd(艰,艰[jmy])	jmyn#序3681
建	$ddcmd(建,建[jmz])	jmzv#序3680
鮫	$ddcmd(鮫,鮫[jna])	jnaf#序3679
窖	$ddcmd(窖,窖[jnb])	jnbk#序3678
蕉	$ddcmd(蕉,蕉[jnc])	jnch#序3677
角	$ddcmd(角,角[jnd])	jnda#序3676
郊	$ddcmd(郊,郊[jne])	jnew#序3675
搅	$ddcmd(搅,搅[jnf])	jnfj#序3674
焦	$ddcmd(焦,焦[jnh])	jnhr#序3673
较	$ddcmd(较,较[jni])	jnif#序3672
铰	$ddcmd(铰,铰[jnj])	jnjf#序3671
叫	$ddcmd(叫,叫[jnk])	jnka#序3670
校	$ddcmd(校,校[jnm])	jnmf#序3669
娇	$ddcmd(娇,娇[jnn])	jnna#序3668
脚	$ddcmd(脚,脚[jno])	jnoe#序3667
狡	$ddcmd(狡,狡[jnq])	jnqf#序3666
侥	$ddcmd(侥,侥[jnr])	jnre#序3665
绞	$ddcmd(绞,绞[jns])	jnsf#序3664
矫	$ddcmd(矫,矫[jnu])	jnua#序3663
勦	$ddcmd(勦,勦[icvl])	jnvl#序3662
教	$ddcmd(教,教[jnw])	jnwt#序3661
觉	$ddcmd(觉,觉[jn])	jnxj#序3660
覚	$ddcmd(覚,覚[jnx])	jnxj#序3659
酵	$ddcmd(酵,酵[jny])	jnyz#序3658
皆	$ddcmd(皆,皆[jpb])	jpba#序3657
节	$ddcmd(节,节[jpc])	jpce#序3656
洁	$ddcmd(洁,洁[jpd])	jpdk#序3655
阶	$ddcmd(阶,阶[jpe])	jpea#序3654
接	$ddcmd(接,接[jp])	jpfn#序3653
捷	$ddcmd(捷,捷[jpf])	jpfr#序3652
戒	$ddcmd(戒,戒[jpg])	jpgc#序3651
杰	$ddcmd(杰,杰[jph])	jphm#序3650
解	$ddcmd(解,解[jpj])	jpjn#序3649
竭	$ddcmd(竭,竭[jpl])	jplv#序3648
楷	$ddcmd(楷,楷[jpm])	jpmb#序3647
姐	$ddcmd(姐,姐[jpn])	jpnq#序3646
睫	$ddcmd(睫,睫[jpo])	jpor#序3645
借	$ddcmd(借,借[jpr])	jpro#序3644
结	$ddcmd(结,结[jps])	jpsk#序3643
界	$ddcmd(界,界[jpt])	jpta#序3642
届	$ddcmd(届,届[jpu])	jpua#序3641
節	$ddcmd(節,節[jpv])	jpve#序3640
诫	$ddcmd(诫,诫[jpy])	jpyd#序3639
旧	$ddcmd(旧,旧[jqa])	jqao#序3638
究	$ddcmd(究,究[jqb])	jqbj#序3637
酒	$ddcmd(酒,酒[jqd])	jqdy#序3636
揪	$ddcmd(揪,揪[jqf])	jqfh#序3635
厩	$ddcmd(厩,厩[jqi])	jqiv#序3634
鳩	$ddcmd(鳩,鳩[jqn])	jqnj#序3633
九	$ddcmd(九,九[jqp])	jqpg#序3632
久	$ddcmd(久,久[jq])	jqpn#序3631
纠	$ddcmd(纠,纠[jqs])	jqsa#序3630
救	$ddcmd(救,救[jqw])	jqwa#序3629
就	$ddcmd(就,就[j])	jqwd#序3628
赳	$ddcmd(赳,赳[jqz])	jqza#序3627
眷	$ddcmd(眷,眷[jrb])	jrbo#序3626
卷	$ddcmd(卷,卷[jr])	jrbv#序3625
捐	$ddcmd(捐,捐[jrf])	jrfo#序3624
鐫	$ddcmd(鐫,鐫[jrj])	jrjg#序3623
圈	$ddcmd(圈,圈[jrk])	jrkv#序3622
娟	$ddcmd(娟,娟[jrn])	jrno#序3621
倦	$ddcmd(倦,倦[jrr])	jrrv#序3620
绢	$ddcmd(绢,绢[jrs])	jrso#序3619
窘	$ddcmd(窘,窘[jsb])	jsbk#序3618
炯	$ddcmd(炯,炯[js])	jshk#序3617
鱖	$ddcmd(鱖,鱖[gvaq])	jtaq#序3616
蕨	$ddcmd(蕨,蕨[jtc])	jtcq#序3615
决	$ddcmd(决,决[jtd])	jtdn#序3614
掘	$ddcmd(掘,掘[jtf])	jtfk#序3613
嚼	$ddcmd(嚼,嚼[jnkc])	jtkc#序3612
鴃	$ddcmd(鴃,鴃[jtn])	jtnn#序3611
倔	$ddcmd(倔,倔[jtr])	jtrk#序3610
绝	$ddcmd(绝,绝[jts])	jtsv#序3609
爵	$ddcmd(爵,爵[jtv])	jtvc#序3608
觉	$ddcmd(觉,觉[jn])	jtxj#序3607
覚	$ddcmd(覚,覚[jnx])	jtxj#序3606
诀	$ddcmd(诀,诀[jty])	jtyn#序3605
车	$ddcmd(车,车[ie])	juaa#序3604
車	$ddcmd(車,車[iea])	juaa#序3603
疽	$ddcmd(疽,疽[jub])	jubq#序3602
菊	$ddcmd(菊,菊[juc])	jucm#序3601
剧	$ddcmd(剧,剧[jud])	judu#序3600
聚	$ddcmd(聚,聚[jue])	juen#序3599
据	$ddcmd(据,据[juf])	jufk#序3598
句	$ddcmd(句,句[gzg])	jugk#序3597
炬	$ddcmd(炬,炬[juh])	juha#序3596
齟	$ddcmd(齟,齟[jui])	juiq#序3595
锯	$ddcmd(锯,锯[juj])	jujk#序3594
巨	$ddcmd(巨,巨[juk])	juka#序3593
柜	$ddcmd(柜,柜[gvm])	juma#序3592
裾	$ddcmd(裾,裾[jup])	jupk#序3591
具	$ddcmd(具,具[juq])	juqb#序3590
俱	$ddcmd(俱,俱[jur])	jurb#序3589
居	$ddcmd(居,居[juu])	juuk#序3588
举	$ddcmd(举,举[jux])	juxa#序3587
距	$ddcmd(距,距[juz])	juza#序3586
甲	$ddcmd(甲,甲[jxa])	jxaa#序3585
家	$ddcmd(家,家[jx])	jxbn#序3584
贾	$ddcmd(贾,贾[gubx])	jxbx#序3583
茄	$ddcmd(茄,茄[jxc])	jxck#序3582
浹	$ddcmd(浹,浹[jxd])	jxdn#序3581
岬	$ddcmd(岬,岬[jxe])	jxea#序3580
挟	$ddcmd(挟,挟[jxf])	jxfn#序3579
稼	$ddcmd(稼,稼[jxh])	jxhn#序3578
钾	$ddcmd(钾,钾[jxj])	jxja#序3577
㗎	$ddcmd(㗎,㗎[gakm])	jxkm#序3576
加	$ddcmd(加,加[jxl])	jxlk#序3575
架	$ddcmd(架,架[jxm])	jxml#序3574
嫁	$ddcmd(嫁,嫁[jxn])	jxnn#序3573
价	$ddcmd(价,价[jxr])	jxra#序3572
嘉	$ddcmd(嘉,嘉[jxu])	jxuk#序3571
珈	$ddcmd(珈,珈[jxw])	jxwk#序3570
袈	$ddcmd(袈,袈[jxy])	jxyl#序3569
迦	$ddcmd(迦,迦[jxz])	jxzl#序3568
叡	$ddcmd(叡,叡[jya])	jyay#序3567
军	$ddcmd(军,军[jy])	jybi#序3566
軍	$ddcmd(軍,軍[jyb])	jybi#序3565
菌	$ddcmd(菌,菌[jyc])	jych#序3564
龟	$ddcmd(龟,龟[gvd])	jydv#序3563
郡	$ddcmd(郡,郡[jye])	jyev#序3562
钧	$ddcmd(钧,钧[jyj])	jyjd#序3561
竣	$ddcmd(竣,竣[jyl])	jylw#序3560
骏	$ddcmd(骏,骏[jym])	jymw#序3559
俊	$ddcmd(俊,俊[jyr])	jyrw#序3558
均	$ddcmd(均,均[jyt])	jytd#序3557
君	$ddcmd(君,君[jyv])	jyvk#序3556
卡	$ddcmd(卡,卡[ka])	kaad#序3555
咯	$ddcmd(咯,咯[gek])	kakk#序3554
拷	$ddcmd(拷,拷[kcf])	kcfg#序3553
烤	$ddcmd(烤,烤[kch])	kchg#序3552
銬	$ddcmd(銬,銬[kcj])	kcjg#序3551
靠	$ddcmd(靠,靠[kc])	kcna#序3550
考	$ddcmd(考,考[kct])	kctg#序3549
尻	$ddcmd(尻,尻[kcu])	kcuj#序3548
开	$ddcmd(开,开[kd])	kdac#序3547
剴	$ddcmd(剴,剴[kdd])	kdde#序3546
凯	$ddcmd(凯,凯[kde])	kdej#序3545
揩	$ddcmd(揩,揩[kdf])	kdfb#序3544
鎧	$ddcmd(鎧,鎧[kdj])	kdjd#序3543
楷	$ddcmd(楷,楷[jpm])	kdmb#序3542
慨	$ddcmd(慨,慨[kdx])	kdxv#序3541
颗	$ddcmd(颗,颗[kea])	keaa#序3540
客	$ddcmd(客,客[keb])	kebk#序3539
苛	$ddcmd(苛,苛[kec])	keck#序3538
可	$ddcmd(可,可[k])	kedk#序3537
渴	$ddcmd(渴,渴[ked])	kedv#序3536
刻	$ddcmd(刻,刻[ke])	kedw#序3535
科	$ddcmd(科,科[keh])	kehu#序3534
軻	$ddcmd(軻,軻[kei])	keik#序3533
咳	$ddcmd(咳,咳[kek])	kekr#序3532
柯	$ddcmd(柯,柯[kem])	kemk#序3531
緙	$ddcmd(緙,緙[kes])	kesg#序3530
坷	$ddcmd(坷,坷[ket])	ketk#序3529
克	$ddcmd(克,克[keu])	keue#序3528
珂	$ddcmd(珂,珂[kew])	kewk#序3527
课	$ddcmd(课,课[key])	keyn#序3526
趷	$ddcmd(趷,趷[kez])	kezv#序3525
齦	$ddcmd(齦,齦[kfi])	kfin#序3524
啃	$ddcmd(啃,啃[kfk])	kfko#序3523
垦	$ddcmd(垦,垦[kft])	kftv#序3522
肯	$ddcmd(肯,肯[kf])	kfvo#序3521
恳	$ddcmd(恳,恳[kfx])	kfxv#序3520
鏗	$ddcmd(鏗,鏗[kgj])	kgjt#序3519
吭	$ddcmd(吭,吭[hhk])	kgkj#序3518
坑	$ddcmd(坑,坑[kg])	kgtj#序3517
扛	$ddcmd(扛,扛[ghf])	khfg#序3516
抗	$ddcmd(抗,抗[kh])	khfj#序3515
康	$ddcmd(康,康[khg])	khgn#序3514
炕	$ddcmd(炕,炕[khh])	khhj#序3513
糠	$ddcmd(糠,糠[khm])	khmn#序3512
亢	$ddcmd(亢,亢[khw])	khwj#序3511
慷	$ddcmd(慷,慷[khx])	khxn#序3510
冚	$ddcmd(冚,冚[kjb])	kjbe#序3509
刊	$ddcmd(刊,刊[kjd])	kjda#序3508
槛	$ddcmd(槛,槛[jmmm])	kjmm#序3507
勘	$ddcmd(勘,勘[kjq])	kjql#序3506
侃	$ddcmd(侃,侃[kjr])	kjrv#序3505
堪	$ddcmd(堪,堪[kjt])	kjtv#序3504
看	$ddcmd(看,看[kj])	kjuo#序3503
砍	$ddcmd(砍,砍[kju])	kjuq#序3502
膾	$ddcmd(膾,膾[kko])	kkoo#序3501
会	$ddcmd(会,会[hv])	kkrs#序3500
侩	$ddcmd(侩,侩[kkr])	kkrs#序3499
块	$ddcmd(块,块[kkt])	kktn#序3498
筷	$ddcmd(筷,筷[kkv])	kkvn#序3497
快	$ddcmd(快,快[kkx])	kkxn#序3496
况	$ddcmd(况,况[kl])	klde#序3495
況	$ddcmd(況,況[kld])	klde#序3494
拡	$ddcmd(拡,拡[klf])	klfs#序3493
匡	$ddcmd(匡,匡[klk])	klkw#序3492
框	$ddcmd(框,框[klm])	klmw#序3491
眶	$ddcmd(眶,眶[klo])	klow#序3490
狂	$ddcmd(狂,狂[klq])	klqw#序3489
壙	$ddcmd(壙,壙[klt])	kltb#序3488
矿	$ddcmd(矿,矿[klu])	klug#序3487
筐	$ddcmd(筐,筐[klv])	klvw#序3486
誑	$ddcmd(誑,誑[kly])	klyw#序3485
扩	$ddcmd(扩,扩[kof])	kofg#序3484
括	$ddcmd(括,括[ko])	kofk#序3483
廓	$ddcmd(廓,廓[kog])	koge#序3482
啹	$ddcmd(啹,啹[kok])	kokk#序3481
阔	$ddcmd(阔,阔[kom])	komk#序3480
込	$ddcmd(込,込[koz])	kozr#序3479
宽	$ddcmd(宽,宽[kr])	krbj#序3478
寛	$ddcmd(寛,寛[krb])	krbj#序3477
髖	$ddcmd(髖,髖[krg])	krgd#序3476
梡	$ddcmd(梡,梡[krm])	krme#序3475
款	$ddcmd(款,款[kru])	kruq#序3474
空	$ddcmd(空,空[ks])	ksbg#序3473
控	$ddcmd(控,控[ksf])	ksfg#序3472
恐	$ddcmd(恐,恐[ksx])	ksxg#序3471
孔	$ddcmd(孔,孔[ksz])	kszv#序3470
窟	$ddcmd(窟,窟[kub])	kubk#序3469
苦	$ddcmd(苦,苦[ku])	kuck#序3468
库	$ddcmd(库,库[kug])	kugi#序3467
枯	$ddcmd(枯,枯[kum])	kumk#序3466
裤	$ddcmd(裤,裤[kup])	kupi#序3465
哭	$ddcmd(哭,哭[kuq])	kuqk#序3464
堀	$ddcmd(堀,堀[kut])	kute#序3463
酷	$ddcmd(酷,酷[kuy])	kuyk#序3462
窥	$ddcmd(窥,窥[kvb])	kvbj#序3461
葵	$ddcmd(葵,葵[kvc])	kvcd#序3460
溃	$ddcmd(溃,溃[kvd])	kvdb#序3459
岿	$ddcmd(岿,岿[kve])	kvee#序3458
亏	$ddcmd(亏,亏[kv])	kveg#序3457
魁	$ddcmd(魁,魁[kvg])	kvgu#序3456
匱	$ddcmd(匱,匱[gvk])	kvkb#序3455
盔	$ddcmd(盔,盔[kvm])	kvmu#序3454
傀	$ddcmd(傀,傀[gvr])	kvrg#序3453
馈	$ddcmd(馈,馈[kvu])	kvub#序3452
簣	$ddcmd(簣,簣[kvv])	kvvb#序3451
愧	$ddcmd(愧,愧[kvx])	kvxg#序3450
夸	$ddcmd(夸,夸[kxd])	kxdg#序3449
挎	$ddcmd(挎,挎[kxf])	kxfg#序3448
胯	$ddcmd(胯,胯[kxo])	kxog#序3447
袴	$ddcmd(袴,袴[kxp])	kxpg#序3446
垮	$ddcmd(垮,垮[kxt])	kxtg#序3445
誇	$ddcmd(誇,誇[kxy])	kxyg#序3444
跨	$ddcmd(跨,跨[kx])	kxzg#序3443
捆	$ddcmd(捆,捆[kyf])	kyfm#序3442
錕	$ddcmd(錕,錕[kyj])	kyjv#序3441
困	$ddcmd(困,困[ky])	kykm#序3440
梱	$ddcmd(梱,梱[kym])	kymm#序3439
昆	$ddcmd(昆,昆[kyo])	kyov#序3438
坤	$ddcmd(坤,坤[kyt])	kyta#序3437
口	$ddcmd(口,口[kz])	kzaa#序3436
寇	$ddcmd(寇,寇[kzb])	kzby#序3435
扣	$ddcmd(扣,扣[kzf])	kzfk#序3434
落	$ddcmd(落,落[la])	lack#序3433
拉	$ddcmd(拉,拉[laf])	lafl#序3432
蜡	$ddcmd(蜡,蜡[lai])	laio#序3431
啦	$ddcmd(啦,啦[lak])	lakl#序3430
辣	$ddcmd(辣,辣[lal])	laln#序3429
腊	$ddcmd(腊,腊[lao])	laoo#序3428
垃	$ddcmd(垃,垃[lat])	latl#序3427
临	$ddcmd(临,临[lba])	lbaa#序3426
赁	$ddcmd(赁,赁[lbb])	lbbr#序3425
藺	$ddcmd(藺,藺[lbc])	lbcf#序3424
凛	$ddcmd(凛,凛[lbd])	lbdx#序3423
邻	$ddcmd(邻,邻[lbe])	lber#序3422
拎	$ddcmd(拎,拎[lbf])	lbfs#序3421
燐	$ddcmd(燐,燐[lbh])	lbha#序3420
轔	$ddcmd(轔,轔[lbi])	lbia#序3419
臨	$ddcmd(臨,臨[lbk])	lbkk#序3418
麟	$ddcmd(麟,麟[lbl])	lbla#序3417
林	$ddcmd(林,林[lb])	lbmm#序3416
磷	$ddcmd(磷,磷[lbu])	lbua#序3415
琳	$ddcmd(琳,琳[lbw])	lbwm#序3414
懍	$ddcmd(懍,懍[lbx])	lbxh#序3413
霖	$ddcmd(霖,霖[lby])	lbym#序3412
躪	$ddcmd(躪,躪[lbz])	lbzf#序3411
牢	$ddcmd(牢,牢[lcb])	lcbn#序3410
落	$ddcmd(落,落[la])	lcck#序3409
涝	$ddcmd(涝,涝[lcd])	lcdl#序3408
捞	$ddcmd(捞,捞[lcf])	lcfl#序3407
烙	$ddcmd(烙,烙[lch])	lchk#序3406
嘮	$ddcmd(嘮,嘮[lck])	lckl#序3405
姥	$ddcmd(姥,姥[lcn])	lcnv#序3404
佬	$ddcmd(佬,佬[lcr])	lcrv#序3403
络	$ddcmd(络,络[lcs])	lcsk#序3402
老	$ddcmd(老,老[lc])	lctv#序3401
労	$ddcmd(労,労[lcx])	lcxl#序3400
酪	$ddcmd(酪,酪[lcy])	lcyk#序3399
赖	$ddcmd(赖,赖[lda])	ldab#序3398
来	$ddcmd(来,来[ld])	ldan#序3397
癩	$ddcmd(癩,癩[ldb])	ldbb#序3396
莱	$ddcmd(莱,莱[ldc])	ldcn#序3395
瀬	$ddcmd(瀬,瀬[ldd])	ldda#序3394
睞	$ddcmd(睞,睞[ldo])	ldon#序3393
徠	$ddcmd(徠,徠[ldr])	ldrn#序3392
籟	$ddcmd(籟,籟[ldv])	ldvb#序3391
勒	$ddcmd(勒,勒[leg])	legl#序3390
嘞	$ddcmd(嘞,嘞[lek])	lekl#序3389
楽	$ddcmd(楽,楽[lem])	lemd#序3388
肋	$ddcmd(肋,肋[leo])	leol#序3387
乐	$ddcmd(乐,乐[le])	lepd#序3386
了	$ddcmd(了,了[l])	leva#序3385
冧	$ddcmd(冧,冧[lf])	lfbm#序3384
冷	$ddcmd(冷,冷[lg])	lgds#序3383
崚	$ddcmd(崚,崚[lge])	lgew#序3382
楞	$ddcmd(楞,楞[lgm])	lgmf#序3381
浪	$ddcmd(浪,浪[lh])	lhdn#序3380
朗	$ddcmd(朗,朗[lhd])	lhdo#序3379
郎	$ddcmd(郎,郎[lhe])	lhed#序3378
廊	$ddcmd(廊,廊[lhg])	lhge#序3377
唥	$ddcmd(唥,唥[lhk])	lhks#序3376
榔	$ddcmd(榔,榔[lhm])	lhme#序3375
狼	$ddcmd(狼,狼[lhq])	lhqn#序3374
琅	$ddcmd(琅,琅[lhw])	lhwn#序3373
里	$ddcmd(里,里[li])	liaa#序3372
里	$ddcmd(里,里[li])	liat#序3371
痢	$ddcmd(痢,痢[lib])	libd#序3370
莉	$ddcmd(莉,莉[lic])	licd#序3369
利	$ddcmd(利,利[lid])	lidh#序3368
酈	$ddcmd(酈,酈[lie])	liea#序3367
力	$ddcmd(力,力[lig])	ligp#序3366
黎	$ddcmd(黎,黎[lih])	lihd#序3365
厉	$ddcmd(厉,厉[lii])	liip#序3364
鋰	$ddcmd(鋰,鋰[lij])	lija#序3363
哩	$ddcmd(哩,哩[lik])	lika#序3362
立	$ddcmd(立,立[lil])	lila#序3361
李	$ddcmd(李,李[lim])	limz#序3360
犁	$ddcmd(犁,犁[lin])	linh#序3359
脷	$ddcmd(脷,脷[lio])	liod#序3358
礼	$ddcmd(礼,礼[lip])	lipv#序3357
狸	$ddcmd(狸,狸[liq])	liqa#序3356
例	$ddcmd(例,例[lir])	lird#序3355
壢	$ddcmd(壢,壢[lit])	litv#序3354
砾	$ddcmd(砾,砾[liu])	liud#序3353
隶	$ddcmd(隶,隶[liv])	livn#序3352
理	$ddcmd(理,理[liw])	liwa#序3351
栗	$ddcmd(栗,栗[lix])	lixm#序3350
靂	$ddcmd(靂,靂[liy])	liyv#序3349
邐	$ddcmd(邐,邐[liz])	liza#序3348
蓝	$ddcmd(蓝,蓝[ljc])	ljcm#序3347
澜	$ddcmd(澜,澜[ljd])	ljdd#序3346
嵐	$ddcmd(嵐,嵐[lje])	ljef#序3345
拦	$ddcmd(拦,拦[ljf])	ljfs#序3344
烂	$ddcmd(烂,烂[ljh])	ljhs#序3343
览	$ddcmd(览,览[ljj])	ljja#序3342
栏	$ddcmd(栏,栏[ljm])	ljms#序3341
婪	$ddcmd(婪,婪[ljn])	ljnm#序3340
襤	$ddcmd(襤,襤[ljp])	ljpm#序3339
兰	$ddcmd(兰,兰[lj])	ljqe#序3338
缆	$ddcmd(缆,缆[ljs])	ljsj#序3337
篮	$ddcmd(篮,篮[ljv])	ljvm#序3336
斕	$ddcmd(斕,斕[ljw])	ljwd#序3335
懒	$ddcmd(懒,懒[ljx])	ljxb#序3334
谰	$ddcmd(谰,谰[ljy])	ljyd#序3333
𨅬	$ddcmd(𨅬,𨅬[ljz])	ljzn#序3332
菱	$ddcmd(菱,菱[lkc])	lkcw#序3331
凌	$ddcmd(凌,凌[lkd])	lkdw#序3330
灵	$ddcmd(灵,灵[lke])	lkeh#序3329
龄	$ddcmd(龄,龄[lki])	lkis#序3328
铃	$ddcmd(铃,铃[lkj])	lkjs#序3327
另	$ddcmd(另,另[lkk])	lkkl#序3326
棱	$ddcmd(棱,棱[lgmw])	lkmw#序3325
鴒	$ddcmd(鴒,鴒[lkn])	lknr#序3324
领	$ddcmd(领,领[lkr])	lkra#序3323
令	$ddcmd(令,令[lk])	lkrs#序3322
綾	$ddcmd(綾,綾[lks])	lksw#序3321
玲	$ddcmd(玲,玲[lkw])	lkws#序3320
零	$ddcmd(零,零[lky])	lkys#序3319
两	$ddcmd(两,两[ll])	llad#序3318
両	$ddcmd(両,両[lla])	llak#序3317
良	$ddcmd(良,良[lld])	lldn#序3316
靓	$ddcmd(靓,靓[jkfj])	llfj#序3315
魎	$ddcmd(魎,魎[llg])	llgr#序3314
辆	$ddcmd(辆,辆[lli])	llid#序3313
梁	$ddcmd(梁,梁[llm])	llmd#序3312
量	$ddcmd(量,量[llo])	lloa#序3311
俩	$ddcmd(俩,俩[llr])	llrd#序3310
亮	$ddcmd(亮,亮[llw])	llwj#序3309
谅	$ddcmd(谅,谅[lly])	llyx#序3308
鰱	$ddcmd(鰱,鰱[lma])	lmaz#序3307
帘	$ddcmd(帘,帘[lmb])	lmbj#序3306
莲	$ddcmd(莲,莲[lmc])	lmcz#序3305
涟	$ddcmd(涟,涟[lmd])	lmdz#序3304
联	$ddcmd(联,联[lme])	lmed#序3303
廉	$ddcmd(廉,廉[lmg])	lmgn#序3302
炼	$ddcmd(炼,炼[lmh])	lmhd#序3301
链	$ddcmd(链,链[lmj])	lmjz#序3300
脸	$ddcmd(脸,脸[lmo])	lmoa#序3299
练	$ddcmd(练,练[lms])	lmsd#序3298
簾	$ddcmd(簾,簾[lmv])	lmvn#序3297
敛	$ddcmd(敛,敛[lmw])	lmwr#序3296
怜	$ddcmd(怜,怜[lmx])	lmxs#序3295
连	$ddcmd(连,连[lm])	lmzi#序3294
連	$ddcmd(連,連[lmz])	lmzi#序3293
疗	$ddcmd(疗,疗[lnb])	lnba#序3292
潦	$ddcmd(潦,潦[lnd])	lndx#序3291
聊	$ddcmd(聊,聊[lne])	lnee#序3290
撩	$ddcmd(撩,撩[lnf])	lnfx#序3289
廖	$ddcmd(廖,廖[lng])	lngp#序3288
燎	$ddcmd(燎,燎[lnh])	lnhx#序3287
镣	$ddcmd(镣,镣[lnj])	lnjx#序3286
料	$ddcmd(料,料[ln])	lnmu#序3285
鹩	$ddcmd(鹩,鹩[lnn])	lnnu#序3284
暸	$ddcmd(暸,暸[lno])	lnox#序3283
僚	$ddcmd(僚,僚[lnr])	lnrx#序3282
繚	$ddcmd(繚,繚[lns])	lnsx#序3281
了	$ddcmd(了,了[l])	lnva#序3280
辽	$ddcmd(辽,辽[lnz])	lnzv#序3279
萝	$ddcmd(萝,萝[loc])	locd#序3278
落	$ddcmd(落,落[la])	lock#序3277
洛	$ddcmd(洛,洛[lod])	lodk#序3276
捋	$ddcmd(捋,捋[lof])	lofc#序3275
烙	$ddcmd(烙,烙[lch])	lohk#序3274
螺	$ddcmd(螺,螺[loi])	lois#序3273
锣	$ddcmd(锣,锣[loj])	lojd#序3272
咯	$ddcmd(咯,咯[gek])	lokk#序3271
骆	$ddcmd(骆,骆[lom])	lomk#序3270
裸	$ddcmd(裸,裸[lop])	lopn#序3269
玀	$ddcmd(玀,玀[loq])	loqf#序3268
儸	$ddcmd(儸,儸[lor])	lorf#序3267
罗	$ddcmd(罗,罗[los])	losd#序3266
箩	$ddcmd(箩,箩[lov])	lovd#序3265
逻	$ddcmd(逻,逻[loz])	lozs#序3264
列	$ddcmd(列,列[lpd])	lpdd#序3263
烈	$ddcmd(烈,烈[lp])	lphd#序3262
猎	$ddcmd(猎,猎[lpq])	lpqo#序3261
劣	$ddcmd(劣,劣[lpx])	lpxl#序3260
裂	$ddcmd(裂,裂[lpy])	lpyd#序3259
瘤	$ddcmd(瘤,瘤[lqb])	lqbt#序3258
流	$ddcmd(流,流[lq])	lqdv#序3257
刘	$ddcmd(刘,刘[lqd])	lqdw#序3256
陆	$ddcmd(陆,陆[lqe])	lqek#序3255
柳	$ddcmd(柳,柳[lqm])	lqme#序3254
留	$ddcmd(留,留[lqt])	lqtp#序3253
硫	$ddcmd(硫,硫[lqu])	lquv#序3252
六	$ddcmd(六,六[lqw])	lqwb#序3251
蹓	$ddcmd(蹓,蹓[lqz])	lqzt#序3250
滦	$ddcmd(滦,滦[lrd])	lrdm#序3249
鑾	$ddcmd(鑾,鑾[lrj])	lrjs#序3248
卵	$ddcmd(卵,卵[lrp])	lrpd#序3247
乱	$ddcmd(乱,乱[lr])	lrpv#序3246
峦	$ddcmd(峦,峦[lrw])	lrwe#序3245
窿	$ddcmd(窿,窿[lsb])	lsbf#序3244
滝	$ddcmd(滝,滝[lsd])	lsdv#序3243
隆	$ddcmd(隆,隆[lse])	lsef#序3242
拢	$ddcmd(拢,拢[lsf])	lsfl#序3241
咙	$ddcmd(咙,咙[lsk])	lskl#序3240
聋	$ddcmd(聋,聋[lsl])	lsle#序3239
朧	$ddcmd(朧,朧[lso])	lsol#序3238
垄	$ddcmd(垄,垄[lst])	lstl#序3237
龙	$ddcmd(龙,龙[ls])	lsud#序3236
笼	$ddcmd(笼,笼[lsv])	lsvl#序3235
瓏	$ddcmd(瓏,瓏[lsw])	lswl#序3234
掠	$ddcmd(掠,掠[ltf])	ltfx#序3233
略	$ddcmd(略,略[lt])	lttk#序3232
鲁	$ddcmd(鲁,鲁[lua])	luao#序3231
赂	$ddcmd(赂,赂[lub])	lubk#序3230
