阿爸	ooba
冬贮	dsot
东周	dsjz
洞外	dswd
动网	dswh
动物	dswu
动心	dsxb
东西	dsxi
动向	dsxl
东线	dsxm
洞箫	dsxn
低三下四	dsxs
洞穴	dsxt
冬夏	dsxx
冬训	dsxy
动员	dsy
东亚	dsya
动因	dsyb
动摇	dsyc
冬夜	dsye
洞眼	dsyj
东瀛	dsyk
动员	dsyr
动用	dsys
冬雨	dsyu
冬运	dsyy
动作	dsz
动作	dszo
侗族	dszu
动嘴	dszv
跌停板	dtb
当头棒喝	dtbh
得天独厚	dtdh
呆头呆脑	dtdn
洞天福地	dtfd
党同伐异	dtfy
大庭广众	dtgv
洞庭湖	dth
点头哈腰	dthy
打铁趁热	dtir
到头来	dtl
顶天立地	dtld
大提琴	dtq
登堂入室	dtru
打退堂鼓	dttg
道听途说	dttu
地头蛇	dtu
顶头上司	dtus
打头阵	dtv
大体相当	dtxd
东涂西抹	dtxm
大同小异	dtxy
大题小作	dtxz
当头一棒	dtyb
对头冤家	dtyj
独爱	duod
赌博	dub
独霸	duba
读报	dubc
独白	dubd
读本	dubf
独臂	dubi
督办	dubj
滴水不漏	dubl
赌博	dubo
大事不糊涂	dubt
独步	dubu
得失参半	ducb
毒草	ducc
独裁	ducd
毒刺	duci
督促	ducu
毒打	duda
独到	dudc
大是大非	dudf
动手动脚	dudj
大手大脚	dudj
笃定	dudk
丁是丁卯是卯	dudm
独断	dudr
读懂	duds
都督	dudu
肚兜	dudz
大煞风景	dufj
杜甫	dufu
度过	dugo
独孤	dugu
赌鬼	dugv
赌棍	dugy
毒害	duhd
渡河	duhe
妒恨	duhf
刀山火海	duhh
妒火	duho
都会	duhv
毒化	duhx
读后	duhz
赌场	duq
督察	duqa
堵车	duqe
赌城	duqg
赌场	duqh
点石成金	duij
独创	duql
渡船	duqr
毒虫	duqs
独处	duoi
镀金	dujb
大声疾呼	dujh
妒忌	duji
渡江	dujl
毒箭	dujm
独角	dujn
堵截	dujp
毒酒	dujq
杜鹃	dujr
杜绝	dujt
独具	duju
独家	dujx
督军	dujy
读卡	duka
独守空房	dukf
杜康	dukh
渡口	dukz
毒辣	dula
读了	dule
独立	duli
独揽	dulj
都灵	dulk
肚量	dull
电闪雷鸣	dulm
毒瘤	dulq
毒龙	duls
嘟噜	dulu
渡轮	duly
堵漏	dulz
杜马	duma
独门	dumf
独苗	dumn
嘟囔	dunh
肚腩	dunj
镀镍	dunp
嘟哝	duns
毒品	dupb
肚皮	dupi
读盘	dupj
大事铺张	dupv
赌气	duqi
赌钱	duqm
渡桥	duqn
赌球	duqq
读取	duqu
当事人	dur
度日	duri
堵塞	dus
堵塞	dusd
堵塞	duse
毒死	dusi
大势所趋	dusq
毒素	dusu
大失所望	dusw
独特	dute
独体	duti
肚痛	duts
赌徒	dutu
独吞	duty
毒杀	duxa
毒蛇	duxe
独身	duxf
独生	duxg
都市	duox
读书	duos
毒手	duxz
赌债	dujd
读者	duje
毒针	dujf
渎职	duov
独占	dujj
赌桌	dujo
多事之秋	duvq
杜撰	dujr
杜仲	dujs
赌注	duot
赌咒	dujz
读完	duw
度外	duwd
读完	duwj
赌窝	duwo
读物	duwu
独享	dux
笃信	duxb
毒性	duxk
独享	duxl
毒枭	duxn
读写	duxp
东施效颦	duxp
低声下气	duxq
督学	duxt
毒牙	duya
读音	duyb
毒药	duyc
毒液	duye
读研	duyj
大势已去	duyq
独院	duyr
独用	duys
独树一帜	duyv
独有	duyz
独自	duz
督造	duzc
肚子	duzi
独生子女	duzn
东山再起	duzq
堵嘴	duzv
独尊	duzy
独奏	duzz
对岸	dvo
对岸	dvoj
独占鳌头	dvat
斗志昂扬	dvay
对白	dvbd
对比	dvbi
对半	dvbj
对此	dvc
对策	dvce
对此	dvci
对错	dvco
对待	dvd
对答	dvda
对待	dvdd
对等	dvdg
对敌	dvdi
动辄得咎	dvdj
对调	dvdn
堆叠	dvdp
对赌	dvdu
斗智斗勇	dvdy
大丈夫	dvf
对方	dvfh
对付	dvfu
大政方针	dvfv
对公	dvg
对歌	dvge
对公	dvgs
对勾	dvgz
大众化	dvh
对号	dvhc
对撼	dvhj
兑换	dvhr
大展宏图	dvht
对话	dvhx
对称	dvq
对称	dvqf
对冲	dvqs
对襟	dvjb
堆积	dvji
兑奖	dvjl
对焦	dvjn
对接	dvjp
对决	dvjt
对局	dvju
对家	dvjx
对抗	dvk
对开	dvkd
对抗	dvkh
对看	dvkj
对空	dvks
对口	dvkz
对了	dvl
对了	dvle
对立	dvli
对联	dvlm
队列	dvlp
对流	dvlq
对路	dvlu
对垒	dvlw
打肿脸充胖子	dvlz
对面	dvm
对吗	dvma
对门	dvmf
堆满	dvmj
对面	dvmm
对你	dvni
对内	dvnw
对偶	dvoz
等着瞧	dvq
大张旗鼓	dvqg
对齐	dvqi
洞烛其奸	dvqj
兑取	dvqu
断章取义	dvqy
对人	dvr
对人	dvrf
大智若愚	dvry
对私	dvs
对私	dvsi
对他	dvta
对台	dvtd
对天	dvtm
对头	dvtz
对视	dvox
对数	dvos
对谁	dvxw
斗折蛇行	dvux
对手	dvxz
对着	dvj
对照	dvjc
对着	dvje
对阵	dvjf
对症	dvjg
对账	dvjh
对峙	dvov
对战	dvjj
对转	dvjr
对准	dvjy
对外	dvwd
敌众我寡	dvwg
当之无愧	dvwk
对我	dvwo
队伍	dvwu
对味	dvww
对象	dvx
胆战心惊	dvxj
队形	dvxk
对象	dvxl
兑现	dvxm
东征西讨	dvxt
东张西望	dvxw
对虾	dvxx
对症下药	dvxy
斗转星移	dvxy
对饮	dvyb
对弈	dvyi
对眼	dvyj
对应	dvyk
动之以情	dvyq
队员	dvyr
对于	dvyu
大专院校	dvyx
队友	dvyz
对子	dvzi
断无此理	dwcl
独往独来	dwdl
端午节	dwj
帝王将相	dwjx
倒胃口	dwk
吊胃口	dwkz
睹物思人	dwsr
弹丸之地	dwvd
当务之急	dwvj
大无畏	dww
弹无虚发	dwxf
动物园	dwy
得有	dwyz
大兴安岭	dxal
多行不义必自毙	dxbb
大卸八块	dxbk
单行道	dxd
大喜大悲	dxdb
涤瑕荡秽	dxdh
断线风筝	dxfv
胆小鬼	dxg
大喜过望	dxgw
多线程	dxi
短小精悍	dxjh
妒贤嫉能	dxjn
大相径庭	dxjt
大熊猫	dxm
东西南北	dxnb
倒行逆施	dxnu
胆小怕事	dxpu
胆小如鼠	dxru
单相思	dxs
大兴土木	dxtm
大学生	dxu
大显神通	dxut
大显身手	dxuu
等闲视之	dxuv
等闲之辈	dxvb
旦夕之间	dxvj
断袖之癖	dxvp
定心丸	dxw
大西洋	dxy
得心应手	dxyu
第一遍	dyb
大洋彼岸	dyba
大言不惭	dybc
蹲班	dybj
第一次	dyc
断垣残壁	dycb
炖菜	dycd
顿挫	dyco
敦促	dycu
大摇大摆	dydb
蹲点	dydm
大鱼大肉	dydr
大眼瞪小眼	dydy
多有得罪	dydz
蹲伏	dyfu
第一个	dyg
顿感	dygj
顿号	dyhc
敦煌	dyhl
敦厚	dyhz
答疑解惑	dyjh
钝角	dyjn
顿觉	dyjt
蹲坑	dykg
大有可为	dykw
东一榔头西一棒	dylb
炖烂	dylj
大义凛然	dylr
第一名	dym
大义灭亲	dymq
得意门生	dymu
第一年	dyn
盾牌	dypd
大有裨益	dypy
敦请	dyqk
掉以轻心	dyqx
代言人	dyr
顿然	dyrj
大有人在	dyrz
遁逃	dytc
炖汤	dyth
当一天和尚撞一天钟	dytv
顿生	dyxg
顿时	dyox
大意失荆州	dyuv
得以实现	dyux
顿首	dyxz
大洋洲	dyv
蹲着	dyje
大雅之堂	dyvt
顿住	dyot
得意之作	dyvz
独一无二	dywe
顿悟	dywu
吨位	dyww
得意忘形	dywx
等一下	dyx
东摇西摆	dyxb
遁形	dyxk
蹲下	dyxx
电影院	dyy
盗亦有道	dyyd
得意洋洋	dyyy
顿足	dyzu
大有作为	dyzw
遁走	dyzz
陡壁	dzbi
豆瓣	dzbj
陡变	dzbm
都不	dzbu
都曾	dzcg
多姿多彩	dzdc
兜底	dzdi
斗胆	dzdj
多灾多难	dzdn
抖动	dzds
豆豆	dzdz
窦娥	dzoe
抵足而眠	dzem
斗法	dzfa
豆粉	dzff
兜风	dzfg
豆腐	dzfu
都给	dzg
逗哏	dzgf
刁钻古怪	dzgg
待字闺中	dzgv
都给	dzgw
大杂烩	dzh
逗号	dzhc
都很	dzhf
都会	dzhv
豆花	dzhx
豆豉	dzoq
抖出	dzoi
豆浆	dzjl
豆角	dzjn
断子绝孙	dzjs
陡峻	dzjy
都可	dzk
刁钻刻薄	dzkb
都可	dzke
豆蔻	dzkz
逗乐	dzle
戴罪立功	dzlg
斗笠	dzli
兜揽	dzlj
抖落	dzlo
逗留	dzlq
豆绿	dzlv
豆类	dzlw
都没	dzm
豆苗	dzmn
都没	dzmw
都能	dzn
豆奶	dznd
都能	dzng
斗牛	dznq
逗弄	dzns
斗殴	dzo
斗殴	dzoz
斗篷	dzpg
陡坡	dzpo
打砸抢	dzq
斗气	dzqi
陡峭	dzqn
兜圈	dzqr
逗趣	dzqu
逗人	dzrf
陡然	dzrj
鼎足三分	dzsf
抖擞	dzsz
都听	dzt
都听	dztk
都是	dzx
豆沙	dzxa
陡升	dzxg
都是	dzox
都说	dzxo
兜售	dzxz
豆渣	dzja
兜着	dzje
斗争	dzjg
斗志	dzov
鼎足之势	dzvu
都想	dzx
都想	dzxl
逗笑	dzxn
打字员	dzy
豆芽	dzya
逗引	dzyb
都要	dzyc
斗艳	dzyj
独自一人	dzyr
都用	dzys
都有	dzyz
陡增	dzzg
豆子	dzzi
斗嘴	dzzv
耳边风	ebf
耳鼻喉	ebh
二八佳人	ebjr
饿不死	ebs
耳鬓厮磨	ebsm
而不是	ebu
二百五	ebw
耳聪目明	ecmm
恩断义绝	edyj
恩恩爱爱	eeaa
恶霸	oeba
恶报	oebc
额度	oed
鹅蛋	oedj
鄂尔多斯	eeds
额度	oedu
恶斗	oedz
恶棍	oeg
恶搞	oegc
恶感	oegj
恶果	oego
额骨	oegu
恶鬼	oegv
恶棍	oegy
恶狗	oegz
恶化	oeh
噩耗	oehc
饿坏	oehk
鹅黄	oehl
恶化	oehx
恶炒	oeqc
恶疮	oeql
讹传	oeqr
恶臭	oeqz
恶疾	oeji
阿胶	oejn
俄军	oejy
恶劣	oel
饿了	oele
恶劣	oelp
鹅卵	oelr
恶骂	oema
鹅毛	oemc
噩梦	oemg
恶名	oemk
恶魔	oemo
峨眉	oemw
额娘	oenl
厄尔尼诺	eenn
婀娜	oeno
恶女	oenv
恶气	oeqi
俄顷	oeqk
额前	oeqm
恶犬	oeqr
愕然	oerj
鹅绒	oers
鹅肉	oerz
饿死	oesi
恶俗	oesu
恶徒	oetu
额头	oetz
扼杀	oexa
恶少	oexc
恶声	oexg
额上	oexh
扼守	oexz
讹诈	oeja
噩兆	oejc
饿着	oeje
鹅掌	oejh
遏制	oeov
恶战	oejj
恶浊	oejo
扼住	oeot
额外	oewd
俄文	oewf
扼腕	oewj
恶心	oexb
恶习	oexi
恶性	oexk
扼要	oeyc
恶意	oeyi
鳄鱼	oeyu
厄运	oeyy
蛾子	oezi
恶贼	oezw
峨冠博带	egbd
厄瓜多尔	egde
恶贯满盈	egmy
耳根清净	egqj
二话没说	ehmu
混拼	ehp
饿虎扑食	ehpu
尝尝	owq
二传手	eiu
恩将仇报	ejib
渐渐	ejj
精力	ejl
简拼	ejp
二进制	ejv
刻意	eky
俄罗斯	els
而立之年	elvn
二龙戏珠	elxv
鹅毛大雪	emdx
慢慢	emm
阿弥陀佛	emtf
峨眉山	emu
恶名昭彰	emvv
耳目一新	emyx
恩爱	ofo
恩爱	ofod
恩赐	ofci
恩德	ofd
恩德	ofde
恩典	ofdm
婀娜多姿	endz
恩公	ofg
恩公	ofgs
恩惠	ofh
恩惠	ofhv
恩宠	ofqs
恩仇	ofqz
恩及	ofji
恩情	ofq
儿女情长	enqi
恩情	ofqk
恩人	ofr
恩人	ofrf
恩师	ofox
摁着	ofje
恩准	ofjy
恩怨	ofy
恩义	ofyi
恩怨	ofyr
恩泽	ofz
恩泽	ofze
耳旁风	epf
阿房宫	epg
全拼	eqp
恰恰	eqq
而不	orb
二八	orba
耳鬓	orbb
二百	orbd
耳边	orbm
而不	orbu
耳背	orbw
二次	orc
二次	orci
二代	ordd
二等	ordg
二挡	ordh
而定	ordk
耳朵	ordo
二度	ordu
尔耳	oror
而非	orf
二分	orff
耳风	orfg
二房	orfh
耳福	orfu
而非	orfw
儿歌	orge
耳根	orgf
耳光	orgl
而过	orgo
耳鼓	orgu
耳垢	orgz
而后	orh
洱海	orhd
耳环	orhr
二胡	orhu
二婚	orhy
而后	orhz
而成	orq
贰臣	orqf
而成	orqg
二重	orqs
耳垂	orqv
而今	orjb
耳机	orji
耳尖	orjm
儿科	ork
儿科	orke
耳廓	orko
耳孔	orks
而来	orl
而来	orld
而立	orli
二两	orll
饵料	orln
而落	orlo
二流	orlq
耳聋	orls
二类	orlw
而论	orly
二楼	orlz
二毛	ormc
耳麦	ormd
耳鸣	ormk
耳膜	ormo
耳濡目染	ermr
耳目	ormu
儿女	orn
二奶	ornd
二年	ornm
儿女	ornv
二炮	orpc
耳旁	orph
耳畔	orpj
而且	orq
二期	orqi
而且	orqp
而去	orqu
二人	orrf
二日	orri
耳软	orrr
耳塞	orsd
而死	orsi
二三	orsj
儿孙	orsy
儿童	ort
耳听	ortk
儿童	orts
而设	orxe
而是	orox
耳熟	oros
耳顺	orxy
二手	orxz
二者	orj
二者	orje
而至	orov
二战	orjj
耳坠	orjv
而外	orwd
耳闻	orwf
二五	orwu
二位	orww
儿戏	orx
二心	orxb
儿戏	orxi
而行	orxk
二线	orxm
尔雅	orya
而要	oryc
而已	oryi
而言	oryj
二元	oryr
二月	oryt
耳语	oryu
而又	oryz
而在	orzd
儿子	orzi
饿死事小	esux
耳听八方	etbf
儿童不宜	etby
儿童节	etj
耳提面命	etmm
恩同再造	etzz
恶声恶气	eueq
耳熟能详	eunx
二十四	eus
二十四小时	eusu
试试	eux
二十世纪	euuj
二十一	euy
二十一世纪	euyj
支持	evq
整句	evj
恩重如山	evru
耳闻不如一见	ewbj
恩威并重	ewbv
扼腕长叹	ewit
耳闻目睹	ewmd
耳闻是虚	ewux
恶向胆边生	exdu
恶性循环	exxh
恶有恶报	eyeb
阿谀奉承	eyfi
恩怨分明	eyfm
阿谀逢迎	eyfy
二氧化碳	eyht
二一添作五	eytw
恶语伤人	eyur
恶语中伤	eyvu
尔虞我诈	eywv
恶语相加	eyxj
恶作剧	ezj
发暗	fao
发暗	faoj
发布	fab
发鬓	fabb
法宝	fabc
发榜	fabh
法办	fabj
发病	fabk
发辫	fabm
发表	fabn
发布	fabu
发财	fac
发财	facd
发达	fada
发到	fadc
发呆	fadd
罚单	fadj
法定	fadk
发电	fadm
发动	fads
法度	fadu
发嗲	fadx
发抖	fadz
发放	faf
发奋	faff
发疯	fafg
发放	fafh
发福	fafu
法规	fag
发稿	fagc
发光	fagl
法国	fago
法官	fagr
发功	fags
法规	fagv
发给	fagw
发火	fah
法号	fahc
发狠	fahf
发横	fahg
发函	fahj
发黄	fahl
发货	faho
发还	fahr
发红	fahs
发挥	fahv
发黑	fahw
发话	fahx
发昏	fahy
发出	faq
法场	faqh
发颤	faqj
发出	faoi
发春	faqy
发愁	faqz
发觉	faj
罚金	fajb
发际	faji
法警	fajk
发奖	fajl
发酵	fajn
罚酒	fajq
发觉	fajt
发家	fajx
罚款	fak
发狂	fakl
罚款	fakr
发困	faky
法律	fal
法老	falc
发来	fald
发了	fale
发愣	falg
发廊	falh
发力	fali
法令	falk
发亮	fall
发落	falo
发绺	falq
法律	falv
法轮	faly
砝码	fama
阀门	famf
发蒙	famg
法盲	famh
发明	famk
罚没	famo
伐木	famu
发霉	famw
发怒	fan
发难	fanj
发怒	fanu
发炮	fapc
发胖	faph
发票	fapn
发配	fapw
发起	faq
发起	faqi
发情	faqk
发钱	faqm
发卡	faqx
发热	fare
法人	farf
发软	farr
发丝	fasi
发散	fasj
发酸	fasr
发送	fass
法庭	fat
发烫	fath
法庭	fatk
发条	fatn
发帖	fatp
发图	fatu
发烧	faxc
发射	faxe
发生	faxg
发誓	faox
法术	faos
发水	faxv
发售	faxz
法治	faov
发展	fajj
法外	fawd
发文	fawf
法网	fawh
法务	fawu
乏味	faww
发现	fax
发信	faxb
罚息	faxi
发行	faxk
发现	faxm
发笑	faxn
发泄	faxp
法学	faxt
发虚	faxu
罚下	faxx
发音	fay
发芽	faya
发音	fayb
发扬	fayh
法医	fayi
发言	fayj
法院	fayr
发育	fayu
发晕	fayy
发油	fayz
发作	faz
法则	faze
发自	fazi
发作	fazo
风必摧之	fbcv
奋不顾身	fbgu
分不开	fbk
分辨率	fbl
分崩离析	fblx
分不清	fbq
腹背受敌	fbud
防不胜防	fbuf
分别为	fbw
反败为胜	fbwu
罚不责众	fbzv
方寸不乱	fcbl
非此即彼	fcjb
风餐露宿	fcls
方寸之地	fcvd
凡此种种	fcvv
方寸已乱	fcyl
父慈子孝	fczx
放荡不羁	fdbj
福地洞天	fddt
房地产	fdi
釜底抽薪	fdix
发动机	fdj
蜚短流长	fdli
风度翩翩	fdpp
分道扬镳	fdyb
飞蛾赴火	fefh
缝缝补补	ffbb
粉白	ffbd
粉笔	ffbi
分班	ffbj
分兵	ffbk
分辨	ffbm
分拨	ffbo
分别	ffbp
分布	ffbu
分贝	ffbw
粉彩	ffcd
分层	ffcg
粉刺	ffci
分寸	ffcy
丰富多彩	ffdc
疯疯癫癫	ffdd
分得	ffde
分档	ffdh
粉底	ffdi
分担	ffdj
分店	ffdm
分掉	ffdn
分段	ffdr
分队	ffdv
奋斗	ffdz
份额	ffoe
泛泛而谈	ffet
纷纷	fff
分发	fffa
纷纷	ffff
反反复复	ffff
芬芳	fffh
纷繁	fffj
吩咐	fffu
纷飞	fffw
芬芳馥郁	fffy
分隔	ffg
分割	ffge
风风光光	ffgg
分管	ffgr
分工	ffgs
分号	ffh
分号	ffhc
汾河	ffhe
愤恨	ffhf
分行	ffhh
分获	ffho
夫复何求	ffhq
粉红	ffhs
分会	ffhv
分化	ffhx
分成	ffq
分叉	ffqa
分拆	ffqd
粉尘	ffqf
分成	ffqg
分厂	ffqh
粪池	ffoq
反腐倡廉	ffil
分出	ffoi
粪臭	ffqz
奋进	ffjb
分级	ffji
分解	ffjp
汾酒	ffjq
分卷	ffjr
分局	ffju
分家	ffjx
分开	ffkd
分科	ffke
粪坑	ffkg
分类	ffl
分离	ffli
芬兰	fflj
分量	ffll
分裂	fflp
分流	fflq
纷乱	fflr
分录	fflu
分类	fflw
愤懑	ffmf
分泌	ffmi
分明	ffmk
分娩	ffmm
分秒	ffmn
粉末	ffmo
坟墓	ffmu
愤怒	ffn
粉嫩	ffnf
愤怒	ffnu
分内	ffnw
分配	ffp
分派	ffpd
分批	ffpi
分片	ffpm
粉扑	ffpu
分配	ffpw
分歧	ffqi
分清	ffqk
粉墙	ffql
分钱	ffqm
坟丘	ffqq
分区	ffqu
分群	ffqy
纷扰	ffrc
愤然	ffrj
粉色	ffse
粉丝	ffsi
分散	ffsj
分送	ffss
粉碎	ffsv
凡夫俗子	ffsz
分体	ffti
分摊	fftj
粉条	fftn
奋发图强	fftq
粪桶	ffts
服服帖帖	fftt
粪土	fftu
分头	fftz
分手	ffx
焚烧	ffxc
分社	ffxe
分身	ffxf
粉饰	ffox
坟山	ffxj
分说	ffxo
分数	ffos
粉刷	ffxx
分手	ffxz
分钟	ffj
分针	ffjf
纷争	ffjg
分账	ffjh
分支	ffov
奋战	ffjj
泛泛之交	ffvj
粉状	ffjl
分钟	ffjs
非分之想	ffvx
肺腑之言	ffvy
分外	ffwd
分文	ffwf
反复无常	ffwi
分为	ffww
分心	ffxb
分析	ffxi
分享	ffxl
粉线	ffxm
分销	ffxn
分选	ffxr
奋发向上	ffxu
分页	ffye
分院	ffyr
奋勇	ffys
纷纭	ffyy
沸沸扬扬	ffyy
分忧	ffyz
分子	ffz
纷杂	ffza
分则	ffze
分赃	ffzh
分子	ffzi
分作	ffzo
分组	ffzu
贩夫走卒	ffzz
富贵安康	fgak
风暴	fgbc
封闭	fgbi
风波	fgbo
富贵逼人	fgbr
缝补	fgbu
丰碑	fgbw
富贵不能淫	fgby
风采	fgcd
讽刺	fgci
封存	fgcy
逢到	fgdc
封底	fgdi
封顶	fgdk
疯癫	fgdm
风度	fgdu
风范	fgfj
丰富	fgfu
风格	fgg
奉告	fggc
风格	fgge
风干	fggj
风光	fggl
凤冠	fggr
丰功	fggs
风骨	fggu
疯狗	fggz
封号	fghc
缝合	fghe
风寒	fghj
凤凰	fghl
烽火	fgho
奉还	fghr
峰会	fghv
风华	fghx
丰厚	fghz
风潮	fgqc
风车	fgqe
风尘	fgqf
奉承	fgqg
风传	fgqr
风吹	fgqv
封存	fgqy
封禁	fgjb
风纪	fgji
风景	fgjk
封疆	fgjl
封建	fgjm
封爵	fgjt
疯狂	fgkl
封口	fgkz
风力	fgl
疯了	fgle
风浪	fglh
锋利	fgli
风铃	fglk
风凉	fgll
风流	fglq
峰峦	fglr
丰隆	fgls
俸禄	fglu
风雷	fglw
浮光掠影	fgly
风貌	fgmc
锋芒	fgmh
蜂蜜	fgmi
风靡	fgmi
丰满	fgmj
奉命	fgmk
封面	fgmm
疯魔	fgmo
丰美	fgmw
疯牛	fgn
风能	fgng
封泥	fgni
蜂鸟	fgnn
疯牛	fgnq
奉陪	fgp
封皮	fgpi
封盘	fgpj
奉陪	fgpw
风气	fgq
风琴	fgqb
风气	fgqi
风情	fgqk
丰歉	fgqm
风球	fgqq
奉劝	fgqr
风趣	fgqu
蜂群	fgqy
丰饶	fgrc
缝纫	fgrf
富贵荣华	fgrh
丰乳	fgru
丰润	fgry
风骚	fgsc
封死	fgsi
封锁	fgso
奉送	fgss
风俗	fgsu
封套	fgtc
封停	fgtk
丰田	fgtm
封条	fgtn
风土	fgtu
风头	fgtz
封杀	fgxa
奉公守法	fguf
丰盛	fgxg
风尚	fgxh
风湿	fgox
风扇	fgxj
风霜	fgxl
丰硕	fgxo
枫树	fgos
风水	fgxv
丰收	fgxz
风中	fgj
凤爪	fgjc
风筝	fgjg
疯长	fgjh
缝制	fgov
封装	fgjl
风中	fgjs
封住	fgot
风味	fgw
风闻	fgwf
丰功伟绩	fgwj
蜂窝	fgwo
凤舞	fgwu
风味	fgww
风光无限	fgwx
奉献	fgx
缝隙	fgxi
奉行	fgxk
风向	fgxl
风险	fgxm
凤冠霞帔	fgxp
丰胸	fgxs
风雪	fgxt
反戈相向	fgxx
封官许愿	fgxy
风雅	fgya
封印	fgyb
枫叶	fgye
奉养	fgyh
风衣	fgyi
烽烟	fgyj
丰盈	fgyk
风光旖旎	fgyn
蜂拥	fgys
风月	fgyt
风雨	fgyu
风韵	fgyy
风灾	fgzd
奉赠	fgzg
疯子	fgzi
放歌纵酒	fgzj
富贵在天	fgzt
丰足	fgzu
封嘴	fgzv
反躬自问	fgzw
反躬自省	fgzx
妨碍	fhod
方案	fhoj
方便	fhb
防暴	fhbc
放榜	fhbh
防病	fhbk
方便	fhbm
方步	fhbu
防备	fhbw
芳草	fhcc
方才	fhcd
防磁	fhci
放错	fhco
方寸	fhcy
放大	fhda
放到	fhdc
放贷	fhdd
方凳	fhdg
放荡	fhdh
防弹	fhdj
房顶	fhdk
放电	fhdm
放掉	fhdn
房东	fhds
防毒	fhdu
方队	fhdv
方法	fhfa
防风	fhfg
方方	fhfh
防范	fhfj
仿佛	fhfu
放飞	fhfw
放过	fhg
方格	fhge
方根	fhgf
访港	fhgh
放过	fhgo
放虎归山	fhgu
放狗	fhgz
放好	fhhc
妨害	fhhd
防寒	fhhj
防火	fhho
防患	fhhr
防洪	fhhs
防护	fhhu
放回	fhhv
防黑	fhhw
访华	fhhx
芳魂	fhhy
房后	fhhz
访查	fhqa
防潮	fhqc
房车	fhqe
防尘	fhqf
方程	fhqg
方尺	fhoq
房产	fhqj
防虫	fhqs
放出	fhoi
纺锤	fhqv
防臭	fhqz
放进	fhjb
风华绝代	fhjd
方剂	fhji
方将	fhjl
房间	fhjm
房角	fhjn
访旧	fhjq
防具	fhju
放假	fhjx
放开	fhk
放开	fhkd
访客	fhke
方块	fhkk
方框	fhkl
放宽	fhkr
防空	fhks
放了	fhl
芳邻	fhlb
防老	fhlc
放了	fhle
芳龄	fhlk
放量	fhll
方脸	fhlm
废话连篇	fhlp
方略	fhlt
峰回路转	fhlv
防雷	fhlw
防漏	fhlz
放马	fhma
仿冒	fhmc
房门	fhmf
放慢	fhmj
芳名	fhmk
方面	fhmm
放牧	fhmu
访美	fhmw
方能	fhng
放牛	fhnq
房奴	fhnu
房内	fhnw
放屁	fhp
放炮	fhpc
放屁	fhpi
放盘	fhpj
防火墙	fhq
放弃	fhqi
房前	fhqm
访求	fhqq
放权	fhqr
防区	fhqu
放任	fhrf
访日	fhri
风和日丽	fhrl
芳容	fhrs
放入	fhru
放肆	fhsi
繁花似锦	fhsj
放松	fhss
飞黄腾达	fhtd
方糖	fhth
访谈	fhtj
防守	fhx
纺纱	fhxa
放哨	fhxc
防晒	fhxd
放射	fhxe
防身	fhxf
放生	fhxg
放上	fhxh
方式	fhox
发号施令	fhul
防暑	fhos
防水	fhxv
放手	fhxz
仿照	fhjc
放债	fhjd
放着	fhje
方针	fhjf
方正	fhjg
方丈	fhjh
防止	fhov
防撞	fhjl
风华正茂	fhvm
方桌	fhjo
方砖	fhjr
房主	fhot
方舟	fhjz
访问	fhw
法海无边	fhwb
方外	fhwd
访问	fhwf
分化瓦解	fhwj
防患未然	fhwr
房屋	fhwu
方位	fhww
放心	fhx
放心	fhxb
放行	fhxk
方向	fhxl
防线	fhxm
仿效	fhxn
防锈	fhxq
放学	fhxt
放下	fhxx
风花雪月	fhxy
方药	fhyc
凤凰于飞	fhyf
放养	fhyh
防疫	fhyi
方言	fhyj
放映	fhyk
方圆	fhyr
防御	fhyu
访友	fhyz
放在	fhz
仿造	fhzc
放在	fhzd
芳泽	fhze
房子	fhzi
放纵	fhzs
房租	fhzu
防贼	fhzw
放走	fhzz
风吹草动	ficd
夫唱妇随	fifs
风吹浪打	fild
风尘碌碌	fill
风尘仆仆	fipp
浮出水面	fium
非池中物	fivw
覆巢无完卵	fiwl
反唇相讥	fixj
放长线钓大鱼	fixy
风吹雨打	fiyd
逢场作戏	fizx
翻案	fjoj
翻倍	fjb
泛白	fjbd
范本	fjbf
反绑	fjbh
反比	fjbi
翻版	fjbj
犯病	fjbk
反驳	fjbo
帆布	fjbu
翻倍	fjbw
饭菜	fjcd
凡此	fjci
犯错	fjco
风卷残云	fjcy
反打	fjda
反倒	fjdc
翻江倒海	fjdh
反帝	fjdi
饭店	fjdm
繁多	fjdo
反动	fjds
贩毒	fjdu
反对	fjdv
反而	fjo
反而	fjor
反复	fjf
犯法	fjfa
反讽	fjfg
反方	fjfh
翻番	fjfj
反复	fjfu
翻飞	fjfw
犯规	fjg
梵高	fjgc
翻盖	fjgd
反戈	fjge
反感	fjgj
反光	fjgl
翻过	fjgo
饭馆	fjgr
返工	fjgs
反顾	fjgu
犯规	fjgv
翻滚	fjgy
番号	fjhc
饭盒	fjhe
返航	fjhh
泛黄	fjhl
返还	fjhr
返回	fjhv
繁华	fjhx
犯浑	fjhy
饭后	fjhz
反查	fjq
反差	fjqa
翻炒	fjqc
翻车	fjqe
反衬	fjqf
返程	fjqg
反常	fjqh
饭匙	fjoq
帆船	fjqr
翻出	fjoi
范畴	fjqz
反击	fjji
返京	fjjk
繁简	fjjm
翻搅	fjjn
翻卷	fjjr
饭局	fjju
贩假	fjjx
翻开	fjkd
反抗	fjkh
翻看	fjkj
