的	dik
圍屏	wai ping
圍巾	wai gan
圍捕	wai bou
圍擊	wai gik
圍攏	wai lung
圍攻	wai gung
圍棋	wai kei
圍欄	wai laan
圍毆	wai au
圍牆	wai coeng
圍產	wai caan
圍籬	wai lei
圍網	wai mong
圍繞	wai jiu
圍脖	wai but
圍裙	wai kwan
圍觀	wai gun
圍護	wai wu
圍起	wai hei
圍頭話	wai tau waa
圍魏救趙	wai ngai gau ziu
圐圙	ku loek
園丁	jyun ding
園區	jyun keoi
園囿	jyun jau
園圃	jyun pou
園地	jyun dei
園子	jyun zi
園林	jyun lam
園藝	jyun ngai
圓光	jyun gwong
圓函數	jyun haam sou
圓口綱脊椎動物	jyun hau gong zek zeoi dung mat
圓周	jyun zau
圓周率	jyun zau leot
圓圈	jyun hyun
圓場	jyun coeng
圓夢	jyun mung
圓子	jyun zi
圓孔	jyun hung
圓寂	jyun zik
圓屋頂	jyun uk deng
圓弧	jyun wu
圓形	jyun jing
圓形木材	jyun jing muk coi
圓形麵包	jyun jing min baau
圓心	jyun sam
圓房	jyun fong
圓括號	jyun kut hou
圓拱	jyun gung
圓揼揼	jyun dam dam
圓揼朵	jyun dam doe
圓方	jyun fong
圓明園	jyun ming jyun
圓月	jyun jyut
圓柱	jyun cyu
圓柱形	jyun cyu jing
圓柱體	jyun cyu tai
圓桌	jyun coek
圓桌會議	jyun coek wui ji
圓滑	jyun waat
圓滾滾	jyun gwan gwan
圓滿	jyun mun
圓潤	jyun jeon
圓玄學院	jyun jyun hok jyun
圓珠	jyun zyu
圓珠形離子交換劑	jyun zyu jing lei zi gaau wun zai
圓珠筆	jyun zyu bat
圓球	jyun kau
圓瑛	jyun jing
圓環	jyun waan
圓白菜	jyun baak coi
圓盤	jyun pun
圓石頭	jyun sek tau
圓碌碌	jyun luk luk
圓筒	jyun tung
圓肉	jyun juk
圓腹鯡	jyun fuk fei
圓舞	jyun mou
圓舞曲	jyun mou kuk
圓規	jyun kwai
圓規座	jyun kwai zo
圓謊	jyun fong
圓蹄	jyun tai
圓軌道	jyun gwai dou
圓軲轆	jyun gu luk
圓通	jyun tung
圓錐	jyun zeoi
圓錐形	jyun zeoi jing
圓錐曲線	jyun zeoi kuk sin
圓錐狀	jyun zeoi zong
圓錐體	jyun zeoi tai
圓鑿方枘	jyun zok fong jeoi
圓面積	jyun min zik
圓頂	jyun deng
圓領	jyun leng
圓顱方趾	jyun lou fong zi
圓麵餅	jyun min beng
圓點	jyun dim
圓鼓鼓	jyun gu gu
圖例	tou lai
圖們	tou mun
圖們市	tou mun si
圖們江	tou mun gong
圖像	tou zoeng
圖像互換格式	tou zoeng wu wun gaak sik
圖像用戶介面	tou zoeng jung wu gaai min
圖像處理	tou zoeng cyu lei
圖則	tou zak
圖坦卡門	tou taan kaa mun
圖報	tou bou
圖層	tou cang
圖形	tou jing
圖形卡	tou jing kaat
圖形用戶界面	tou jing jung wu gaai min
圖形界面	tou jing gaai min
圖恩	tou jan
圖文	tou man
圖文並茂	tou man bing mau
圖景	tou ging
圖書	tou syu
圖書管理員	tou syu gun lei jyun
圖書館	tou syu gun
圖書館員	tou syu gun jyun
圖木舒克	tou muk syu hak
圖木舒克市	tou muk syu hak si
圖林根	tou lam gan
圖案	tou on
圖標	tou biu
圖樣	tou joeng
圖波列夫	tou bo lit fu
圖爾	tou ji
圖爾庫	tou ji fu
圖片	tou pin
圖片報	tou pin bou
圖版	tou baan
圖瓦盧	tou ngaa lou
圖畫	tou waa
圖盧斯	tou lou si
圖盧茲	tou lou zi
圖示	tou si
圖章	tou zoeng
圖簽	tou cim
圖紙	tou zi
圖表	tou biu
圖西族	tou sai zuk
圖解	tou gaai
圖解說明	tou gaai syut ming
圖謀	tou mau
圖譜	tou pou
圖象	tou zoeng
圖財害命	tou coi hoi ming
圖軸	tou zuk
圖輯	tou cap
圖釘	tou deng
圖錄	tou luk
圖鑒	tou gaam
圖門江	tou mun gong
圖阿雷格	tou aa leoi gaak
圖集	tou zaap
圖雷特氏綜合症	tou leoi dak si zung hap zing
圖靈	tou ling
圖靈機	tou ling gei
圖靈獎	tou ling zoeng
圖騰	tou tang
團丁	tyun ding
團伙	tyun fo
團友	tyun jau
團員	tyun jyun
團圓	tyun jyun
團圓飯	tyun jyun faan
團團	tyun tyun
團團轉	tyun tyun zyun
團契	tyun kai
團年	tyun nin
團年飯	tyun nin faan
團扇	tyun sin
團結	tyun git
團結一致	tyun git jat zi
團結就是力量	tyun git zau si lik loeng
團結工會	tyun git gung wui
團練	tyun lin
團聚	tyun zeoi
團花	tyun faa
團費	tyun fai
團購	tyun gau
團長	tyun zoeng
團隊	tyun deoi
團隊精神	tyun deoi zing san
團風	tyun fung
團風縣	tyun fung jyun
團體	tyun tai
團體冠軍	tyun tai gun gwan
團體行	tyun tai hang
土丘	tou jau
土人	tou jan
土佬	tou lou
土倫	tou leon
土共	tou gung
土到不行	tou dou bat hang
土力工程	tou lik gung cing
土包子	tou baau zi
土匪	tou fei
土司	tou si
土地	tou dei
土地公	tou dei gung
土地利用規劃	tou dei lei jung kwai waak
土地改革	tou dei goi gaak
土地稅	tou dei seoi
土地資源	tou dei zi jyun
土坎	tou ham
土坎兒	tou ham ji
土坯	tou pui
土埂	tou gang
土城	tou sing
土城市	tou sing si
土堆	tou deoi
土壤	tou joeng
土壤學	tou joeng hok
土壩	tou baa
土家族	tou gaa zuk
土專家	tou zyun gaa
土層	tou cang
土崗	tou gong
土崩瓦解	tou bang ngaa gaai
土布	tou bou
土庫	tou fu
土庫曼	tou fu maan
土庫曼人	tou fu maan jan
土庫曼斯坦	tou fu maan si taan
土庫鎮	tou fu zan
土建	tou gin
土得掉渣	tou dak diu zaa
土拉弗氏菌	tou laai fat si kwan
土撥鼠	tou but syu
土改	tou goi
土政策	tou zing caak
土方	tou fong
土族	tou zuk
土星	tou sing
土曜日	tou jiu jat
土木	tou muk
土木工程	tou muk gung cing
土木形骸	tou muk jing haai
土木身	tou muk san
土桑	tou song
土樓	tou lau
土氣	tou hei
土法	tou faat
土洋並舉	tou joeng bing geoi
土洋結合	tou joeng git hap
土溫	tou wan
土炕	tou kong
土炮	tou paau
土爾其斯坦	tou ji kei si taan
土牛	tou ngau
土牛木馬	tou ngau muk maa
土特產	tou dak caan
土狗	tou gau
土狼	tou long
土瓜灣	tou gwaa waan
土生土長	tou sang tou zoeng
土生葡人	tou sang pou jan
土產	tou caan
土皇帝	tou wong dai
土石流	tou sek lau
土神	tou san
土穀祠	tou guk ci
土窯	tou jiu
土老帽	tou lou mou
土耳其	tou ji kei
土耳其人	tou ji kei jan
土耳其斯坦	tou ji kei si taan
土耳其旋轉烤肉	tou ji kei syun zyun haau juk
土耳其玉	tou ji kei juk
土耳其石	tou ji kei sek
土耳其語	tou ji kei jyu
土耳其軟糖	tou ji kei jyun tong
土茴香	tou wui hoeng
土著	tou zyu
土著人	tou zyu jan
土葬	tou zong
土衛二	tou wai ji
土衛六	tou wai luk
土裡土氣	tou leoi tou hei
土製	tou zai
土話	tou waa
土語	tou jyu
土豆	tou dau
土豆泥	tou dau nai
土豆絲	tou dau si
土豆網	tou dau mong
土豚	tou tyun
土豪	tou hou
土豪劣紳	tou hou lyut san
土豬	tou zyu
土財主	tou coi zyu
土貨	tou fo
土路	tou lou
土邦	tou bong
土門	tou mun
土階茅屋	tou gaai maau uk
土階茅茨	tou gaai maau ci
土雞	tou gai
土霉素	tou mui sou
土頭土腦	tou tau tou nou
土香	tou hoeng
土魠魚	tou tok jyu
土魷	tou jau
土鱉	tou bit
土默特右旗	tou mak dak jau kei
土默特左旗	tou mak dak zo kei
在一起	zoi jat hei
在下	zoi haa
在下方	zoi haa fong
在下面	zoi haa min
在世	zoi sai
在乎	zoi fu
在位	zoi wai
在位時代	zoi wai si doi
在來米	zoi loi mai
在先	zoi sin
在內	zoi noi
在其中	zoi kei zung
在前	zoi cin
在即	zoi zik
在在	zoi zoi
在地	zoi dei
在地下	zoi dei haa
在場	zoi coeng
在外	zoi ngoi
在天之靈	zoi tin zi ling
在天願做比翼鳥在地願做連理枝	zoi tin jyun zou bei jik niu zoi dei jyun zou lin lei zi
在室內	zoi sat naap
在家	zoi gaa
在家千日好出門一時難	zoi gaa cin jat hou ceot mun jat si naan
在家靠父母出外靠朋友	zoi gaa kaau fu mou ceot ngoi kaau pang jau
在家靠父母出門靠朋友	zoi gaa kaau fu mou ceot mun kaau pang jau
在座	zoi zo
在後	zoi hau
在心	zoi sam
在意	zoi ji
在我看	zoi ngo hon
在戶外	zoi wu ngoi
在所不惜	zoi so bat sik
在所不計	zoi so bat gai
在所不辭	zoi so bat ci
在所難免	zoi so naan min
在握	zoi aak
在教	zoi gaau
在於	zoi jyu
在旁	zoi pong
在望	zoi mong
在朝	zoi ciu
在案	zoi on
在槍口	zoi coeng hau
在此	zoi ci
在此之前	zoi ci zi cin
在此之後	zoi ci zi hau
在此之際	zoi ci zi zai
在此後	zoi ci hau
在深處	zoi sam cyu
在理	zoi lei
在生	zoi saang
在真空中	zoi zan hung zung
在眼前	zoi ngaan cin
在線	zoi sin
在編	zoi pin
在職	zoi zik
在職訓練	zoi zik fan lin
在華	zoi waa
在行	zoi hong
在訴訟期間	zoi sou zung kei gaan
在身	zoi san
在逃	zoi tou
在途	zoi tou
在這之前	zoi ze zi cin
在這期間	zoi ze kei gaan
在那兒	zoi naa ji
在野	zoi je
在野黨	zoi je dong
在高處	zoi gou cyu
圪垯	ngat daat
圭亞那	gwai aa naa
圭臬	gwai jit
地三鮮	dei saam sin
地上	dei soeng
地下	dei haa
地下室	dei haa sat
地下情	dei haa cing
地下核爆炸	dei haa hat baau zaa
地下核試驗	dei haa hat si jim
地下水	dei haa seoi
地下莖	dei haa ging
地下通道	dei haa tung dou
地下鐵	dei haa tit
地下鐵路	dei haa tit lou
地中海	dei zung hoi
地中海貧血	dei zung hoi pan hyut
地主	dei zyu
地主家庭	dei zyu gaa ting
地主隊	dei zyu deoi
地主階級	dei zyu gaai kap
地久天長	dei gau tin coeng
地位	dei wai
地保	dei bou
地兒	dei ji
地利	dei lei
地利人和	dei lei jan wo
地力	dei lik
地動	dei dung
地動儀	dei dung ji
地動山搖	dei dung saan jiu
地勢	dei sai
地勤	dei kan
地勤人員	dei kan jan jyun
地區	dei keoi
地區差價	dei keoi caa gaa
地區性	dei keoi sing
地區法院	dei keoi faat jyun
地區經濟	dei keoi ging zai
地區衝突	dei keoi cung dat
地台	dei toi
地史	dei si
地名	dei meng
地圖	dei tou
地圖冊	dei tou caak
地圖集	dei tou zaap
地地道道	dei dei dou dou
地址	dei zi
地址的轉換	dei zi dik zyun wun
地址解析協議	dei zi gaai sik hip ji
地埗	dei bou
地域	dei wik
地基	dei gei
地堡	dei bou
地塊	dei faai
地塞米松	dei sak mai cung
地塹	dei cim
地壇	dei taan
地壟	dei lung
地大物博	dei daai mat bok
地契	dei kai
地委	dei wai
地宮	dei gung
地對地	dei deoi dei
地對空	dei deoi hung
地對空導彈	dei deoi hung dou daan
地層	dei cang
地層學	dei cang hok
地岬	dei gaap
地峽	dei haap
地布	dei bou
地帶	dei daai
地幔	dei maan
地平線	dei ping sin
地底	dei dai
地底下	dei dai haa
地府	dei fu
地庫	dei fu
地廣人稀	dei gwong jan hei
地廬	dei lou
地形	dei jing
地形圖	dei jing tou
地心	dei sam
地心吸力	dei sam kap lik
地心引力	dei sam jan lik
地心緯度	dei sam wai dou
地心說	dei sam syut
地拉那	dei laai naa
地拖	dei to
地排車	dei paai ce
地接	dei zip
地攤	dei taan
地支	dei zi
地方	dei fong
地方主義	dei fong zyu ji
地方停車	dei fong ting ce
地方國營	dei fong gwok jing
地方官	dei fong gun
地方官職位	dei fong gun zik wai
地方性	dei fong sing
地方性斑疹傷寒	dei fong sing baan can soeng hon
地方戲	dei fong hei
地方政府	dei fong zing fu
地方法院	dei fong faat jyun
地方稅	dei fong seoi
地方自治	dei fong zi zi
地景	dei ging
地書	dei syu
地板	dei baan
地板磚	dei baan zyun
地核	dei hat
地標	dei biu
地檢署	dei gim cyu
地步	dei bou
地段	dei dyun
地殼	dei hok
地殼運動	dei hok wan dung
地毯	dei taan
地毯式轟炸	dei taan sik gwang zaa
地毯拖鞋	dei taan to haai
地氈	dei zin
地水	dei seoi
地水先生	dei seoi sin saang
地波	dei bo
地洞	dei dung
地溝油	dei kau jau
地滑	dei waat
地滾球	dei gwan kau
地漏	dei lau
地熱	dei jit
地熱發電廠	dei jit faat din cong
地熱能	dei jit nang
地熱資源	dei jit zi jyun
地熱電站	dei jit din zaam
地爐	dei lou
地牢	dei lou
地牢商場	dei lou soeng coeng
地獄	dei juk
地球	dei kau
地球人	dei kau jan
地球儀	dei kau ji
地球化學	dei kau faa hok
地球大氣	dei kau daai hei
地球日	dei kau jat
地球村	dei kau cyun
地球物理	dei kau mat lei
地球物理學	dei kau mat lei hok
地球磁場	dei kau ci coeng
地球科學	dei kau fo hok
地球軌道	dei kau gwai dou
地理	dei lei
地理位置	dei lei wai zi
地理學	dei lei hok
地理學家	dei lei hok gaa
地理極	dei lei gik
地理環境	dei lei waan ging
地理緯度	dei lei wai dou
地瓜	dei gwaa
地瓜面	dei gwaa min
地產	dei caan
地產大亨	dei caan daai hang
地產霸權	dei caan baa kyun
地畝	dei mau
地痞	dei mau
地皮	dei pei
地盤	dei pun
地盤工人	dei pun gung jan
地磁	dei ci
地磁場	dei ci coeng
地磚	dei zyun
地祇	dei kei
地租	dei zou
地租收入	dei zou sau jap
地稅	dei seoi
地積	dei zik
地積單	dei zik daan
地窖	dei gaau
地窨	dei jam
地窨子	dei jam zi
地糊	dei wu
地級	dei kap
地級市	dei kap si
地線	dei sin
地緣	dei jyun
地緣戰略	dei jyun zin loek
地緣政治	dei jyun zing zi
地緣政治學	dei jyun zing zi hok
地羊	dei joeng
地老天荒	dei lou tin fong
地脈	dei mak
地腳	dei goek
地膽	dei daam
地藏	dei zong
地藏王菩薩	dei zong wong pou saat
地藏菩薩	dei zong pou saat
地處	dei cyu
地衣	dei ji
地表	dei biu
地表水	dei biu seoi
地西泮	dei sai pun
地角天涯	dei gok tin ngaai
地調	dei diu
地貌	dei maau
地質	dei zat
地質力學	dei zat lik hok
地質學	dei zat hok
地質學家	dei zat hok gaa
地質年代表	dei zat nin doi biu
地質年表	dei zat nin biu
地踎	dei mau
地踎館	dei mau gun
地躺拳	dei tong kyun
地軸	dei zuk
地速	dei cuk
地道	dei dou
地鄰	dei leon
地錢	dei cin
地鐵	dei tit
地鐵站	dei tit zaam
地陪	dei pui
地雷	dei leoi
地震	dei zan
地震中	dei zan zung
地震儀	dei zan ji
地震區	dei zan keoi
地震學	dei zan hok
地震學家	dei zan hok gaa
地震局	dei zan guk
地震帶	dei zan daai
地震波	dei zan bo
地震活動帶	dei zan wut dung daai
地震烈度	dei zan lit dou
地震預報	dei zan jyu bou
地面	dei min
地面化	dei min faa
地面層	dei min cang
地面控制	dei min hung zai
地面核爆炸	dei min hat baau zaa
地面氣壓	dei min hei aat
地面水	dei min seoi
地面灌溉	dei min gun koi
地面部隊	dei min bou deoi
地面零點	dei min ling dim
地頭	dei tau
地頭蛇	dei tau se
地頭蟲	dei tau cung
地鱉	dei bit
地黃	dei wong
地點	dei dim
均一	gwan jat
均值	gwan zik
均分	gwan fan
均勢	gwan sai
均勻	gwan wan
均勻性	gwan wan sing
均可	gwan ho
均差	gwan caa
均攤	gwan taan
均方	gwan fong
均日照	gwan jat ziu
均沾	gwan zim
均濕	gwan sap
均熱	gwan jit
均田制	gwan tin zai
均真	gwan zan
均等	gwan dang
均等化	gwan dang faa
均線	gwan sin
均線指標	gwan sin zi biu
均腐土	gwan fu tou
均衡	gwan hang
均變論	gwan bin leon
均質	gwan zat
坊子	fong zi
坊子區	fong zi keoi
坊間	fong gaan
坊間傳言	fong gaan cyun jin
坋粒	fan lap
坍塌	taan taap
坍方	taan fong
坎兒	ham ji
坎兒井	ham ji zeng
坎坎	ham ham
坎坷	ham ho
坎坷不平	ham ho bat ping
坎坷多舛	ham ho do cyun
坎城	ham sing
坎培拉	ham pui laai
坎塔布連	ham taap bou lin
坎塔布連山脈	ham taap bou lin saan mak
坎塔布連海	ham taap bou lin hoi
坎塔布里亞	ham taap bou lei aa
坎壈	ham lam
坎大哈	ham daai haa
坎大哈省	ham daai haa saang
坎子	ham zi
坎帕拉	ham paak laai
坎德拉	ham dak laai
坎昆	ham gwan
坎特伯雷	ham dak baak leoi
坎特伯雷大主教	ham dak baak leoi daai zyu gaau
坎特伯雷故事集	ham dak baak leoi gu si zaap
坎肩	ham gin
坎肩兒	ham gin ji
坎貝爾	ham bui ji
坎貝爾侏儒倉鼠	ham bui ji zyu jyu cong syu
坐一望二	zo jat mong ji
坐下	co haa
坐不住	co bat zyu
坐不垂堂	zo bat seoi tong
坐井觀天	co zeng gun tin
坐享	zo hoeng
坐享其成	co hoeng kei sing
坐以待斃	zo ji doi bai
坐低	zo dai
坐便器	zo bin hei
坐像	zo zoeng
坐冷板凳	co laang baan dang
坐力	zo lik
坐化	zo faa
坐台小姐	co toi siu ze
坐吃享福	zo hek hoeng fuk
坐唔定	co m ding
坐商	zo soeng
坐坡	zo bo
坐埋一條船	co maai jat tiu syun
坐墊	zo zin
坐墩	zo deon
坐夜	co je
坐失	zo sat
坐失機宜	zo sat gei ji
坐失良機	co sat loeng gei
坐好	zo hou
坐定	zo ding
坐定定	co ding ding
坐定粒六	zo ding nap luk
坐山觀虎鬥	co saan gun fu dau
坐席	zo zik
坐廁	zo ci
坐廁墊	zo ci zin
坐探	zo taam
坐收漁人之利	zo sau jyu jan zi lei
坐收漁利	zo sau jyu lei
坐月	co jyut
坐月子	co jyut zi
坐果	zo gwo
坐梗	co gang
坐椅	zo ji
坐標	co biu
坐正	co zeng
坐波監	co bo gaam
坐牢	co lou
坐班	co baan
坐班房	co baan fong
坐監	co gaam
坐禪	zo sim
坐移民監	co ji man gaam
坐穩船	co wan syun
坐穩車	co wan ce
坐穩釣魚船	zo wan diu jyu syun
坐立不安	co laap bat on
坐立難安	zo laap naan on
坐等	zo dang
坐而論道	zo ji leon dou
坐臥不寧	zo ngo bat ning
坐臺	co toi
坐船	co syun
坐花廳	co faa teng
坐落	co lok
坐藥	zo joek
坐蠟	zo laap
坐視	zo si
坐視不理	zo si bat lei
坐視無睹	zo si mou dou
坐觀成敗	zo gun sing baai
坐起身	co hei san
坐車	co ce
坐鎮	zo zan
坐霸王車	co baa wong ce
坐飛機	co fei gei
坐飛機位	co fei gei wai
坐食山崩	zo sik saan bang
坐館	zo gun
坐騎	zo ke
坐骨	zo gwat
坐骨神經	zo gwat san ging
坐骨神經痛	zo gwat san ging tung
坑井	haang zeng
坑人	haang jan
坑口	haang hau
坑坎	haang ham
坑坑窪窪	haang haang waa waa
坑害	haang hoi
坑木	haang muk
坑殺	haang saat
坑洞	haang dung
坑渠	haang keoi
坑渠油	haang keoi jau
坑渠老鼠	haang keoi lou syu
坑爹	haang de
坑窪	haang waa
坑腩	haang naam
坑蒙	haang mung
坑蒙拐騙	haang mung gwaai pin
坑道	haang dou
坑騙	haang pin
坡壘	bo leoi
坡度	bo dou
坡紙	bo zi
坡路	bo lou
坡道	bo dou
坡頭	bo tau
坡頭區	bo tau keoi
坡鹿	bo luk
坤甸	kwan din
坦佩雷	taan pui leoi
坦克	taan hak
坦克車	taan hak ce
坦博拉	taan bok laai
坦噶尼喀	taan gaa nei kaa
坦噶尼喀湖	taan gaa nei kaa wu
坦尚尼亞	taan soeng nei aa
坦承	taan sing
坦桑尼亞	taan song nei aa
坦桑尼亞聯合共和國	taan song nei aa lyun hap gung wo gwok
坦然	taan jin
坦然無懼	taan jin mou geoi
坦率	taan seot
坦白	taan baak
坦蕩	taan dong
坦誠	taan sing
坦誠相見	taan sing soeng gin
坦途	taan tou
坦陳	taan can
坨兒	to ji
坨子	to zi
坩堝	ham wo
坪林	ping lam
坪林鄉	ping lam hoeng
坪洲	ping zau
坯件	pui gin
坯子	pui zi
坯布	pui bou
坯料	pui liu
坯模	pui mou
坳胡	aau wu
坳胡婆	aau wu po
坳陷	aau haam
坷垃	ho laap
垂下	seoi haa
垂危	seoi ngai
垂垂	seoi seoi
垂幕	seoi mok
垂感	seoi gam
垂懸分詞	seoi jyun fan ci
垂手可得	seoi sau ho dak
垂掛	seoi gwaa
垂暮之年	seoi mou zi nin
垂柳	seoi lau
垂楊柳	seoi joeng lau
垂死	seoi sei
垂死掙扎	seoi sei zang zaat
垂泣	seoi jap
垂涎	seoi jin
垂涎三尺	seoi jin saam cek
垂涎欲滴	seoi jin juk dik
垂淚	seoi leoi
垂直	seoi zik
垂直和短距起落飛機	seoi zik wo dyun keoi hei lok fei gei
垂直搜索	seoi zik sau saak
垂直線	seoi zik sin
垂直起落飛機	seoi zik hei lok fei gei
垂直軸	seoi zik zuk
垂簾聽政	seoi lim ting zing
垂老	seoi lou
垂釣	seoi diu
垂青	seoi cing
垂頭喪氣	seoi tau song hei
垂體	seoi tai
垂髫	seoi tiu
垃圾	laap saap
垃圾佬	laap saap lou
垃圾嘢	laap saap je
垃圾堆	laap saap deoi
垃圾崗	laap saap gong
垃圾工	laap saap gung
垃圾桶	laap saap tung
垃圾筒	laap saap tung
垃圾箱	laap saap soeng
垃圾篸	laap saap caam
垃圾股	laap saap gu
垃圾蟲	laap saap cung
垃圾袋	laap saap doi
垃圾車	laap saap ce
垃圾郵件	laap saap jau gin
垃圾鏟	laap saap caan
垃圾電郵	laap saap din jau
垃圾食品	laap saap sik ban
型仔	jing zai
型到痹	jing dou bei
型式	jing sik
型態	jing taai
型材	jing coi
型板	jing baan
型狀	jing zong
型男	jing naam
型男索女	jing naam sok neoi
型號	jing hou
型錄	jing luk
垓下	goi haa
垛口	do hau
垝垣	gwai wun
垣曲	wun kuk
垣曲縣	wun kuk jyun
垣衣	wun ji
垮塌	kwaa taap
垮臺	kwaa toi
埂子	gang zi
埃克托	aai hak tok
埃利斯島	aai lei si dou
埃加迪群島	oi gaa dik kwan dou
埃博拉	aai bok laai
埃博拉病毒	aai bok laai beng duk
埃及	aai kap
埃及人	aai kap jan
埃及古物學	oi kap gu mat hok
埃及古物學者	oi kap gu mat hok ze
埃及夜鷹	aai kap je jing
埃及豆	oi kap dau
埃因霍溫	aai jan fok wan
埃塔	aai taap
埃塞俄比亞	aai coi ngo bei aa
埃塞俄比亞語	aai coi ngo bei aa jyu
埃夫伯里	aai fu baak lei
埃奧羅斯	aai ou lo si
埃居	aai geoi
埃布羅	aai bou lo
埃布羅河	aai bou lo ho
埃弗頓	aai fat deon
埃德	aai dak
埃德加	aai dak gaa
埃德蒙頓	aai dak mung deon
埃拉托塞尼斯	aai laai tok coi nei si
埃拉特	aai laai dak
埃敘	aai zeoi
埃文	aai man
埃文斯	aai man si
埃文河畔斯特拉特福	aai man ho bun si dak laai dak fuk
埃文茅斯	aai man maau si
埃斯庫多	aai si fu do
埃斯庫羅斯	aai si fu lo si
埃斯特哈齊	aai si dak haa cai
埃斯特朗	aai si dak long
埃格爾松	aai gaak ji cung
埃森	aai sam
埃森哲	aai sam zit
埃森納赫	aai sam naap haak
埃涅阿斯	aai nip aa si
埃涅阿斯紀	aai nip aa si gei
埃爾南德斯	aai ji naam dak si
埃爾多安	aai ji do on
埃爾帕索	aai ji paak sok
埃爾朗根	aai ji long gan
埃爾朗根綱領	aai ji long gan gong ling
埃爾福特	aai ji fuk dak
埃爾金	aai ji gam
埃爾金大理石	aai ji gam daai lei sek
埃特納火山	aai dak naap fo saan
埃琳娜	aai lam naa
埃米爾	aai mai ji
埃菲爾鐵塔	aai fei ji tit taap
埃蕾	aai leoi
埃迪卡拉	aai dik kaa laai
埃迪卡拉紀	aai dik kaa laai gei
埃里溫	aai lei wan
埇橋	jung kiu
埇橋區	jung kiu keoi
埋伏	maai fuk
埋位	maai wai
埋便	maai bin
埋去	maai heoi
埋口	maai hau
埋名	maai ming
埋單	maai daan
埋嚟	maai lai
埋堆	maai deoi
埋天怨地	maai tin jyun dei
埋尾	maai mei
埋岸	maai ngon
埋席	maai zik
埋怨	maai jyun
埋手	maai sau
埋手打三更	maai sau daa saam gaang
埋數	maai sou
埋棧	maai zaan
埋櫃	maai gwai
埋欄	maai laan
埋汰	maai taai
埋沒	maai mut
埋牙	maai ngaa
埋站	maai zaam
埋籠	maai lung
埋線	maai sin
埋葬	maai zong
埋藏	maai cong
埋街	maai gaai
埋街食井水	maai gaai sik zeng seoi
埋身	maai san
埋閘	maai zaap
埋頭	maai tau
埋頭埋腦	maai tau maai nou
埋頭苦幹	maai tau fu gon
城中區	sing zung keoi
城中村	sing zung cyun
城北區	sing bak keoi
城區	sing keoi
城口	sing hau
城口縣	sing hau jyun
城固	sing gu
城固縣	sing gu jyun
城址	sing zi
城垣	sing wun
城域網	sing wik mong
城堡	sing bou
城外	sing ngoi
城子河	sing zi ho
城子河區	sing zi ho keoi
城巴	sing baa
城市	sing si
城市依賴症	sing si ji laai zing
城市化	sing si faa
城市區域	sing si keoi wik
城市熱島	sing si jit dou
城市生活	sing si sang wut
城市當代舞蹈團	sing si dong doi mou dou tyun
城市管理行政執法局	sing si gun lei hang zing zap faat guk
城市規劃	sing si kwai waak
城市運動會	sing si wan dung wui
城市電訊	sing si din seon
城府	sing fu
城廂	sing soeng
城廂區	sing soeng keoi
城東區	sing dung keoi
城樓	sing lau
城步	sing bou
城步縣	sing bou jyun
城步苗族自治縣	sing bou miu zuk zi zi jyun
城池	sing ci
城牆	sing coeng
城管	sing gun
城裡	sing leoi
城西區	sing sai keoi
城運會	sing wan wui
城邑	sing jap
城邦	sing bong
城郊	sing gaau
城郭	sing gwok
城鄉	sing hoeng
城鎮	sing zan
城鎮化	sing zan faa
城鎮化水平	sing zan faa seoi ping
城鐵	sing tit
城門	sing mun
城門失火殃及池魚	sing mun sat fo joeng kap ci jyu
城門水塘	sing mun seoi tong
城門河	sing mun ho
城門隧道	sing mun seoi dou
城闕	sing kyut
城關	sing gwaan
城關區	sing gwaan keoi
城關鎮	sing gwaan zan
城防	sing fong
城陽	sing joeng
城陽區	sing joeng keoi
城隍	sing wong
埔心	bou sam
埔心鄉	bou sam hoeng
埔里	bou lei
埔里鎮	bou lei zan
埔鹽	bou jim
埔鹽鄉	bou jim hoeng
埕埕塔塔	cing cing taap taap
埗頭	bou tau
埞方	deng fong
域名	wik meng
域名搶注	wik meng coeng zyu
域名服務器	wik meng fuk mou hei
域名註冊	wik meng zyu caak
域外	wik ngoi
域多利皇后	wik do lei wong hau
埠頭	fau tau
埡口	aa hau
埤頭	pei tau
埤頭鄉	pei tau hoeng
執事	zap si
執二攤	zap ji taan
執人口水尾	zap jan hau seoi mei
執人口水溦	zap jan hau seoi mei
執仔	zap zai
執仔婆	zap zai po
執位	zap wai
執倒	zap dou
執到	zap dou
執到寶	zap dou bou
執到正	zap dou zeng
執到都喊三聲	zap dou dou haam saam sing
執勤	zap kan
執包袱	zap baau fuk
執嘢	zap je
執地	zap dei
執委會	zap wai wui
執媽	zap maa
執字粒	zap zi lap
執導	zap dou
執屍	zap si
執平嘢	zap ping je
執床	zap cong
執意	zap ji
執房	zap fong
執手	zap sau
執手尾	zap sau mei
執拗	zap aau
執拾	zap sap
執掌	zap zoeng
執政	zap zing
執政官	zap zing gun
執政方式	zap zing fong sik
執政者	zap zing ze
執政能力	zap zing nang lik
執政黨	zap zing dong
執教	zap gaau
執業	zap jip
執正	zap zeng
執死雞	zap sei gai
執死雞仔	zap sei gai zai
執法	zap faat
執法如山	zap faat jyu saan
執滯	zap zai
執漏	zap lau
執照	zap ziu
執生	zap saang
執番條命	zap faan tiu ming
執碟	zap dip
執私	zap si
執笠	zap lap
執筆	zap bat
執筆忘字	zap bat mong zi
