一個	yrt go
一氣之下	yrt hei zi ha
眼巴巴	jan ba ba
盡職盡責	z;n zik z;n zak
寫明	se mij
招攬	ziu lam
橘子	xrt zi
酷熱	huk yid
種族主義	zuj zuk zv yi
北非	brk fei
遠航	yvn hoj
老到	lou dou
日臻	yrt z;n
交火	gau fo
扣分	kru frn
雜亂無章	zap lvn mou z;j
齊備	cri bei
巨大影響	g;i dai yij h;j
七夕	crt zik
晦暗	fui rm
勳爵	frn z;k
楊振寧	y;j zrn nij
造勢	zou sri
入迷	yrp mri
瘦長	sru c;j
付清	fu cij
應驗	yij yim
險境	him gij
奪眶而出	dvt hoj yi c;d
名句	mij g;i
板藍根	ban lam grn
德陽	drk y;j
信步	s;n bou
講法	goj fad
莫桑比克	mok soj bei hrk
頤和園	yi wo yvn
騰騰	trj trj
脊背	zek bui
病案	bej on
點歌	dim go
海潮	hoi ciu
輕靈	hij lij
凱撒	hoi sad
揚名	y;j mij
復出	fuk c;d
大無畏	dai mou wri
漢江	hon goj
解渴	gai hod
怨天尤人	yvn tin yru yrn
金槍魚	grm c;j yv
頂頭	dij tru
養路費	y;j lou fri
門牌	mun pai
俠客	hrp hak
太醫	tai yi
灑水	sa s;i
吊車	diu ce
思鄉	si h;j
寄養	gei y;j
家子	ga zi
後輩	hru bui
批發價	pri fat ga
辣醬	lat z;j
坐船	co svn
泰戈爾	tai xo yi
大有人在	dai yru yrn zoi
老佛爺	lou frt ye
亙古	grj gu
互連	wu lin
棺木	gun muk
禿頂	tuk dej
奴僕	nou buk
碰壁	puj bik
反悔	fan fui
白米	bak mri
觀感	gun grm
有請	yru cij
故宮博物院	gu guj bok mrt yvn
過來人	xo loi yrn
溢於言表	yrt yv yin biu
轉來轉去	zvn loi zvn h;i
曲阜	kuk fru
賠禮	pui lri
精讀	zij duk
標杆	biu gon
攀爬	pan pa
先天不足	sin tin brt zuk
自足	zi zuk
煲湯	bou toj
論題	l;n tri
五洲	j zru
匯豐	wui fuj
淺見	cin gin
緊鄰	grn l;n
收割機	sru got gei
燭臺	zuk toi
寶刀	bou dou
多寡	do xa
氣人	hei yrn
倒掛	dou xa
過氣	xo hei
王莽	woj moj
歌詠	go wij
大老遠	dai lou yvn
啞口無言	a hru mou yin
兵營	bij yij
稅務	s;i mou
彌勒	nei lrk
違憲	wri hin
正名	zij mij
扳機	pan gei
既得利益	gei drk lei yik
主播	zv bo
才藝	coi jri
正眼	zij jan
梅雨	mui yv
千山萬水	cin san man s;i
語種	yv zuj
受訓	sru frn
卡介苗	ka gai miu
禁運	grm wrn
戶主	wu zv
劃線	wak sin
切變	cit bin
陪審團	pui srm tvn
國家大事	xok ga dai si
後任	hru yrm
商船	s;j svn
次方	ci foj
斂財	lim coi
夜以繼日	ye yi gri yrd
馬戲團	ma hei tvn
地老天荒	dei lou tin foj
事端	si dvn
外線	joi sin
壯美	zoj mei
嬌嗔	giu crn
田螺	tin lo
凡夫	fan fu
視作	si zok
擦亮	cat l;j
失地	srt dei
頭等艙	tru drj coj
如斯	yv si
對答	d;i dap
南區	nam k;i
早衰	zou s;i
寄主	gei zv
宋史	suj si
揉搓	yru co
冷嘲熱諷	laj zau yit fuj
元凶	yvn huj
沙皇	sa woj
郵遞	yru dri
舞池	mou ci
散播	san bo
積分榜	zik frn boj
美名	mei mij
進學	z;n hok
挾持	hip ci
偏袒	pin tan
勁風	gij fuj
降生	goj srj
無怪	mou xai
柴火	cai fo
照抄	ziu cau
劈腿	pek t;i
比索	bei sok
落榜	lok boj
副官	fu gun
豆奶	dru nai
照理	ziu lei
鼻翼	bei yik
臨界點	lrm gai dim
挨家	ai ga
悲愴	bei coj
右轉	yru zvn
筆名	brt mej
入時	yrp si
新大陸	srn dai luk
怒不可遏	nou brt ho ad
工友	guj yru
陰風	yrm fuj
申辯	srn bin
輕生	hij srj
屁眼	pei jan
鐵礦石	tit qoj sek
插槽	cap cou
闖紅燈	coj huj drj
體校	tri hau
三廢	sam fri
平白	pij bak
水龍頭	s;i luj tru
銷聲匿跡	siu sij nik zik
橡樹	z;j sv
告退	gou t;i
髮廊	fat loj
爪牙	zau ja
搜狗	sru gru
苦功	fu guj
開票	hoi piu
球類	kru l;i
光波	xoj bo
古典文學	gu din mrn hok
老翁	lou yuj
天昏地暗	tin frn dei rm
噴墨	prn mrk
貝類	bui l;i
情場	cij c;j
銅礦	tuj qoj
望而卻步	moj yi k;k bou
土鱉	tou bid
兩敗俱傷	l;j bai k;i s;j
水到渠成	s;i dou k;i sij
板書	ban sv
不聲不響	brt sij brt h;j
副詞	fu ci
平順	pij s;n
快件	fai gin
空餘	huj yv
生父	srj fu
躺椅	toj yi
冬令	duj lij
綢緞	cru dvn
試聽	si tij
斯坦福	si tan fuk
蕭瑟	siu srd
青瓷	cij ci
逃難	tou nan
嚎啕	hou tou
連理	lin lei
袖手旁觀	zru sru poj gun
老臉	lou lim
乾淨利落	gon zej lei lok
塞外	coi joi
名模	mij mou
金瓶梅	grm pij mui
捉拿	zuk na
扎伊爾	zat yi yi
議價	yi ga
驗算	yim svn
土生土長	tou srj tou z;j
電視片	din si pin
生境	srj gij
重讀	cuj duk
辯護人	bin wu yrn
奸詐	gan za
開方	hoi foj
洋酒	y;j zru
民意調查	mrn yi diu ca
氤氳	yrn wrn
複試	fuk si
高見	gou gin
地洞	dei duj
專刊	zvn hon
哈密瓜	ha mrt xa
本家	bun ga
經不住	gij brt zv
左顧右盼	zo gu yru pan
殯葬	brn zoj
激光器	gik xoj hei
搖身	yiu srn
讚頌	zan zuj
重提	cuj tri
倒轉	dou zvn
變軟	bin yvn
戲法	hei fad
雙乳	s;j yv
測度	cak dok
料子	liu zi
權宜	kvn yi
主將	zv z;j
無際	mou zri
剛烈	goj lid
名望	mij moj
拒之門外	k;i zi mun joi
董卓	duj c;k
豐盈	fuj yij
連續不斷	lin zuk brt dvn
疏漏	so lru
龜裂	xrn lid
留校	lru hau
莽撞	moj zoj
矇騙	muj pin
清茶	cij ca
冷酷無情	laj huk mou cij
遞進	dri z;n
休止	yru zi
眼罩	jan zau
水母	s;i mou
常綠	s;j luk
冒昧	mou mui
打呼嚕	da fu lou
等距	drj k;i
片頭	pin tru
物價指數	mrt ga zi sou
單身漢	dan srn hon
債主	zai zv
營養品	yij y;j brn
浪蕩	loj doj
怡然	yi yin
效驗	hau yim
膽戰心驚	dam zin srm gij
烈酒	lit zru
蝸桿	wo gon
懷柔	wai yru
商業區	s;j yip k;i
編組	pin zou
草皮	cou pei
預覽	yv lam
赤誠	cek sij
明達	mij dad
圓環	yvn wan
禮義	lri yi
石河子	sek ho zi
聾子	luj zi
勢力範圍	sri lik fan wri
生蠔	saj hou
鄉愁	h;j sru
出籠	c;t luj
百合花	bak hrp fa
惡棍	ok xrn
海牙	hoi ja
農莊	nuj zoj
狡黠	gau hrd
棉紗	min sa
化學武器	fa hok mou hei
阿塞拜疆	a coi bai g;j
德高望重	drk gou moj zuj
鹿角	luk gok
承蒙	sij muj
開脫	hoi tvd
天壤之別	tin y;j zi bid
要價	yiu ga
特設	drk cid
衣袋	yi doi
識相	sik s;j
設身處地	cit srn cv dei
何曾	ho crj
晶亮	zij l;j
悔過	fui xo
神化	srn fa
講評	goj pij
調色	tiu sik
城府	sij fu
坯料	pui liu
瞠目結舌	caj muk git sid
性急	sij grp
精誠	zij sij
鬼叫	xri giu
逆時針	yik si zrm
必經之路	bit gij zi lou
飄飄然	piu piu yin
房事	foj si
擊傷	gik s;j
肉餡	yuk ham
供認	guj yij
停息	tij sik
望京	moj gij
防身	foj srn
再版	zoi ban
禮樂	lri lok
失守	srt sru
道場	dou c;j
求知慾	kru zi yuk
黑海	hrk hoi
寧肯	nij hrj
外推	joi t;i
後來居上	hru loi g;i s;j
攪動	gau duj
拉丁文	lai dij mrn
自白	zi bak
准考證	z;n hau zij
偷工減料	tru guj gam liu
主樓	zv lru
旅遊團	l;i yru tvn
大興安嶺	dai hij on lij
真實感	zrn srt grm
另加	lij ga
轉口	zvn hru
山雞	san gri
德文	drk mrn
嬗變	sin bin
大開眼界	dai hoi jan gai
上坡	s;j bo
嵩山	suj san
外掛	joi xa
高加索	gou ga sok
盛衰	sij s;i
赫茲	hak zi
惡霸	ok ba
曇花一現	tam fa yrt yin
嘰嘰喳喳	gei gei za za
悔改	fui goi
執迷不悟	zrp mri brt j
生辰	saj srn
男雙	nam s;j
斷橋	dvn kiu
棲息地	cri sik dei
永續	wij zuk
險勝	him sij
拘禁	k;i grm
結舌	git sid
文言文	mrn yin mrn
勞損	lou svn
大汗淋漓	dai hon lrm lei
守時	sru si
拙劣	zvt lvd
含混	hrm wrn
繼任	gri yrm
高飛	gou fei
墓誌銘	mou zi mij
勸導	hvn dou
來勁	loi gij
遊藝	yru jri
名酒	mij zru
待定	doi dij
善人	sin yrn
忠心耿耿	zuj srm grj grj
賑災	zrn zoi
司長	si z;j
裸照	lo ziu
外帶	joi dai
扯蛋	ce dan
徹頭徹尾	cit tru cit mei
任勞任怨	yrm lou yrm yvn
創世	coj sri
偶發	jru fad
際會	zri wui
地牢	dei lou
土星	tou sij
解鎖	gai so
棟樑	duj l;j
校訓	hau frn
私生子	si srj zi
慈母	ci mou
談笑風生	tam siu fuj srj
聚氯乙烯	z;i luk yvt hei
八哥	bat go
不由分說	brt yru frn svd
風土人情	fuj tou yrn cij
寵壞	cuj wai
包工頭	bau guj tru
鋼製	goj zri
舞臺劇	mou toi kek
抒寫	sv se
植皮	zik pei
相異	s;j yi
停步	tij bou
馴化	s;n fa
賀詞	ho ci
苗圃	miu pou
土改	tou goi
蜂巢	fuj cau
產房	can foj
葬送	zoj suj
大排檔	dai pai doj
賣藝	mai jri
求之不得	kru zi brt drk
學區	hok k;i
吹散	c;i san
手語	sru yv
撤併	cit bij
好勝	hou sij
不省人事	brt sij yrn si
當政	doj zij
長裙	c;j qrn
膀子	poj zi
不倫不類	brt l;n brt l;i
活脫	wut tvd
漲落	z;j lok
邊陲	bin s;i
鋼廠	goj coj
牟利	mru lei
鬱鬱蔥蔥	wrt wrt cuj cuj
五糧液	j l;j yik
洪武	huj mou
易碎	yi s;i
定海	dij hoi
婚嫁	frn ga
忘形	moj yij
記恨	gei hrn
勒令	lrk lij
阿姆斯特丹	a mou si drk dan
戲子	hei zi
天翻地覆	tin fan dei fuk
濃稠	nuj cru
時針	si zrm
燈會	drj wui
冰球	bij kru
北區	brk k;i
巡遊	c;n yru
大煙	dai yin
加寬	ga fun
初潮	co ciu
闊別	fut bid
從頭開始	cuj tru hoi ci
啟航	kri hoj
奇景	kei gij
點明	dim mij
臨頭	lrm tru
皇族	woj zuk
罐裝	gun zoj
失實	srt srd
擊劍	gik gim
形象化	yij z;j fa
監視器	gam si hei
轉行	zvn hoj
曲柄	kuk bej
狂怒	qoj nou
等第	drj dri
熒光屏	yij xoj pij
震中	zrn zuj
未央	mei y;j
吉林大學	grt lrm dai hok
點撥	dim bud
安保	on bou
勾心鬥角	jru srm dru gok
選美	svn mei
登基	drj gei
馬廄	ma gru
駙馬	fu ma
替代品	tri doi brn
虹膜	huj mok
置放	zi foj
巍巍	jri jri
劈開	pik hoi
招貼	ziu tip
航向	hoj h;j
文法	mrn fad
敗北	bai brk
翌年	yik nin
播音員	bo yrm yvn
自慚形穢	zi cam yij wri
次第	ci dri
斜陽	ce y;j
交口	gau hru
修配	sru pui
有說有笑	yru svt yru siu
中國建設銀行	zuj xok gin cit jrn hoj
發愣	fat lij
接續	zip zuk
狀告	zoj gou
會師	wui si
償付	s;j fu
邊城	bin sij
蜜餞	mrt zin
負電	fu din
側目	zrk muk
經濟體系	gij zri tri hri
威爾士	wri yi si
相持	s;j ci
莫如	mok yv
三言兩語	sam yin l;j yv
霜凍	s;j duj
罪狀	z;i zoj
鋼琴家	goj krm ga
棧道	zan dou
捨身	se srn
候車室	hru ce srd
仇家	sru ga
從今以後	cuj grm yi hru
級差	krp ca
維納斯	wri nap si
降火	goj fo
馬太	ma tai
百思不得其解	bak si brt drk kei gai
三人行	sam yrn hrj
製版	zri ban
要挾	yiu hip
今世	grm sri
工業國	guj yip xok
緊抱	grn pou
肉鬆	yuk suj
見證人	gin zij yrn
斥資	cik zi
紀元	gei yvn
規勸	qri hvn
惡行	ok hrj
暈頭轉向	wrn tru zvn h;j
魚水	yv s;i
紅毛	huj mou
麻木不仁	ma muk brt yrn
量綱	l;j goj
尼古丁	nei gu dij
實景	srt gij
好傢伙	hou ga fo
百折不撓	bak zit brt nau
螳螂	toj loj
燒到	siu dou
醉意	z;i yi
親密無間	crn mrt mou gan
代詞	doi ci
人格化	yrn gak fa
試穿	si cvn
智育	zi yuk
意會	yi wui
給養	krp y;j
講堂	goj toj
臥虎藏龍	jo fu coj luj
頓覺	d;n gok
事到如今	si dou yv grm
跟頭	grn tru
書稿	sv gou
銅管	tuj gun
菜園	coi yvn
驗證碼	yim zij ma
故地	gu dei
盡善盡美	z;n sin z;n mei
獰笑	nij siu
拖把	to ba
本溪	bun kri
紋飾	mrn sik
馬自達	ma zi dad
軍分區	xrn frn k;i
金沙江	grm sa goj
鑽牛角尖	zvn jru gok zim
指指點點	zi zi dim dim
撇下	pit ha
舌戰	sit zin
自然經濟	zi yin gij zri
立定	lap dij
保險櫃	bou him xri
坐視	zo si
一勞永逸	yrt lou wij yrd
目不暇接	muk brt ha zip
照面	ziu min
安全區	on cvn k;i
潰散	kui san
炮擊	pau gik
排解	pai gai
反社會	fan se wui
七嘴八舌	crt z;i bat sid
雲龍	wrn luj
住持	zv ci
強風	k;j fuj
觀世音	gun sri yrm
暴徒	bou tou
黑手黨	hrk sru doj
民意測驗	mrn yi cak yim
香爐	h;j lou
苔蘚	toi sin
掃墓	sou mou
自相矛盾	zi s;j mau t;n
合攏	hrp luj
參考資料	cam hau zi liu
宦官	wan gun
密友	mrt yru
翻修	fan sru
厭世	yim sri
面額	min jak
池子	ci zi
濱州	brn zru
申請表	srn cij biu
見怪不怪	gin xai brt xai
河堤	ho tri
品學兼優	brn hok gim yru
男嬰	nam yij
白蟻	bak jri
齊白石	cri bak sek
超支	ciu zi
固件	gu gin
蹩腳	bit g;k
佩帶	pui dai
誣衊	mou mid
雄心壯志	huj srm zoj zi
龍遊	luj yru
朝政	ciu zij
一舉成名	yrt g;i sij mij
法家	fat ga
明燈	mij drj
定語	dij yv
手淫	sru yrm
亂搞	lvn gau
驢子	lou zi
師從	si cuj
指手畫腳	zi sru wak g;k
智囊	zi noj
道學	dou hok
動怒	duj nou
不置可否	brt zi ho fru
崑崙山	qrn l;n san
告之	gou zi
版式	ban sik
諸事	zv si
驟降	zau goj
開花結果	hoi fa git xo
男孩兒	nam hai yi
慌慌張張	foj foj z;j z;j
寬窄	fun zak
家業	ga yip
安國	on xok
皎潔	gau gid
首屈一指	sru wrt yrt zi
嬌弱	giu y;k
侏儒	zv yv
期許	kei h;i
芥菜	gai coi
靜候	zij hru
小民	siu mrn
果醬	xo z;j
貴金屬	xri grm suk
冀州	kei zru
日耳曼	yrt yi man
風起雲湧	fuj hei wrn yuj
檢點	gim dim
律令	l;t lij
人傑	yrn gid
俗人	zuk yrn
臣民	srn mrn
大提琴	dai tri krm
井噴	zej prn
擊毀	gik wri
暢想	c;j s;j
國君	xok xrn
前哨	cin sau
商代	s;j doi
偵察機	zij cat gei
誘使	yru si
工事	guj si
面紅耳赤	min huj yi cek
老媽子	lou ma zi
港股	goj gu
暖風	nvn fuj
守舊	sru gru
賽特	coi drk
外祖父	joi zou fu
年譜	nin pou
手術檯	sru s;t toi
攔網	lan moj
相離	s;j lei
各樣	gok y;j
謎語	mri yv
緊要關頭	grn yiu xan tru
魚肝油	yv gon yru
半途而廢	bun tou yi fri
戰況	zin foj
盟軍	mrj xrn
吸食	krp sik
拘捕	k;i bou
白話文	bak wa mrn
大錯特錯	dai co drk co
哈根達斯	ha grn dat si
糧倉	l;j coj
甜蜜蜜	tim mrt mrd
論爭	l;n zrj
陽朔	y;j sok
賣場	mai c;j
泳衣	wij yi
打烊	da y;j
酸澀	svn gip
稍等	sau drj
切中	cit zuj
陰魂	yrm wrn
石像	sek z;j
原封	yvn fuj
赦免	se min
上策	s;j cak
樹蔭	sv yrm
科技大學	fo gei dai hok
眾說紛紜	zuj svt frn wrn
雄鷹	huj yij
洪亮	huj l;j
跨欄	qa lan
收支平衡	sru zi pij hrj
銀票	jrn piu
機不可失	gei brt ho srd
益陽	yik y;j
感懷	grm wai
聲卡	sij kad
遠門	yvn mun
嚴於律己	yim yv l;t gei
品茶	brn ca
輕風	hij fuj
鐵絲網	tit si moj
提款	tri fun
生冷	saj laj
通曉	tuj hiu
大駕	dai ga
成群結隊	sij qrn git d;i
啊喲	a yo
車駕	ce ga
圓珠筆	yvn zv brd
火葬	fo zoj
鬼怪	xri xai
拘役	k;i yik
先聲	sin sij
素菜	sou coi
玉山	yuk san
混紡	wrn foj
轉接	zvn zip
軍樂	xrn jok
立夏	lap ha
似是而非	ci si yi fei
落枕	lok zrm
愁苦	sru fu
靈寶	lij bou
請願	cij yvn
成數	sij sou
竊竊私語	sit sit si yv
女警	n;i gij
伊斯坦布爾	yi si tan bou yi
領班	lij ban
衛生條件	wri srj tiu gin
聖地亞哥	sij dei a go
同窗	tuj c;j
情詩	cij si
罕有	hon yru
探聽	tam tij
人滿為患	yrn mun wri wan
俗套	zuk tou
絕壁	zvt bik
狐狸精	wu lei zij
廉恥	lim ci
瑞雪	s;i svd
橫貫	waj gun
李安	lei on
次品	ci brn
姑母	gu mou
停擺	tij bai
露宿	lou suk
十字繡	srp zi sru
情事	cij si
爭鳴	zrj mij
歌廳	go tej
尊稱	zvn cij
儲蓄所	cv cuk so
翩翩起舞	pin pin hei mou
牟取暴利	mru c;i bou lei
日積月累	yrt zik yvt l;i
以點帶面	yi dim dai min
核磁共振	hrt ci guj zrn
北川	brk cvn
耳熟能詳	yi suk nrj c;j
奪金	dvt grm
沼澤地	ziu zak dei
打退	da t;i
嫌惡	yim wu
離世	lei sri
房主	foj zv
變本加厲	bin bun ga lri
水波	s;i bo
身孕	srn yrn
供過於求	guj xo yv kru
侃侃而談	hon hon yi tam
華表	wa biu
玄妙	yvn miu
大聲疾呼	dai sij zrt fu
海德格爾	hoi drk gak yi
影壇	yij tan
中國話	zuj xok wa
財神爺	coi srn ye
風琴	fuj krm
精疲力竭	zij pei lik kid
迎面而來	yij min yi loi
哥本哈根	go bun ha grn
處男	cv nam
蔚然成風	wri yin sij fuj
出使	c;t si
型男	yij nam
一往情深	yrt woj cij srm
斬首	zam sru
報請	bou cij
熟女	suk n;i
不可告人	brt ho gou yrn
崑劇	qrn kek
尺子	cek zi
冥王	mij woj
密謀	mrt mru
托爾斯泰	tok yi si tai
利比里亞	lei bei lei a
何樂而不為	ho lok yi brt wri
記事本	gei si bun
硬漢	jaj hon
不期而遇	brt kei yi yv
水印	s;i yrn
泛指	fan zi
序曲	z;i kuk
厚顏	hru jan
吊死	diu sei
自序	zi z;i
翻山越嶺	fan san yvt lej
條幅	tiu fuk
人見人愛	yrn gin yrn oi
守信用	sru s;n yuj
梨園	lei yvn
貪贓	tam zoj
高盛	gou sij
正題	zij tri
兩棲	l;j cri
撫摩	fu mo
熟透	suk tru
遙測	yiu cak
泥鰍	nri cru
幾何學	gei ho hok
福布斯	fuk bou si
鐵鍋	tit wo
撤除	cit c;i
賈寶玉	ga bou yuk
剩飯	zij fan
悶氣	mun hei
就範	zru fan
垮臺	qa toi
雪崩	svt brj
片名	pin mej
約克	y;k hrk
崗位培訓	goj wri pui frn
前前後後	cin cin hru hru
遠大理想	yvn dai lei s;j
點穴	dim yvd
沉默寡言	crm mrk xa yin
哭喪	huk soj
黑熊	hrk huj
棲身	cri srn
公文包	guj mrn bau
張狂	z;j qoj
語意	yv yi
散心	san srm
冒泡	mou pou
暖洋洋	nvn y;j y;j
金三角	grm sam gok
甘苦	grm fu
活路	wut lou
遊俠	yru hrp
連手	lin sru
心地善良	srm dei sin l;j
裝嫩	zoj nvn
凌駕於	lij ga yv
伶俐	lij lei
某事	mru si
滿座	mun zo
囑託	zuk tok
戒律	gai l;d
境內外	gij noi joi
擊打	gik da
見死不救	gin sei brt gru
展覽館	zin lam gun
炎帝	yim dri
李逵	lei qri
章子怡	z;j zi yi
介紹信	gai siu s;n
望月	moj yvd
床頭櫃	coj tru xri
漢陽	hon y;j
中心點	zuj srm dim
發號施令	fat hou si lij
定時炸彈	dij si za dan
猝不及防	cvt brt krp foj
引以為戒	yrn yi wri gai
套話	tou wa
救援隊	gru wun d;i
映像	yij z;j
串燒	cvn siu
獨到之處	duk dou zi cv
榆樹	yv sv
苦行	fu hrj
驕陽	giu y;j
汁液	zrp yik
啼哭	tri huk
墨盒	mrk hrp
工作狂	guj zok koj
開價	hoi ga
消暑	siu sv
田亮	tin l;j
迅雷不及掩耳	s;n l;i brt krp yim yi
昏沉	frn crm
久留	gru lru
手包	sru bau
正當防衛	zij doj foj wri
死罪	sei z;i
滴下	dik ha
富麗堂皇	fu lri toj woj
特別行政區	drk bit hrj zij k;i
儀態	yi tai
紛擾	frn yiu
野餐	ye can
客隊	hak d;i
傾力	kij lik
臥式	jo sik
無人問津	mou yrn mrn z;n
不受歡迎	brt sru fun yij
風塵僕僕	fuj crn buk buk
徵購	zij kru
傾盆	kij pun
雙星	s;j sij
勃發	but fad
清廷	cij tij
炒麵	cau min
金榜	grm boj
榛子	z;n zi
食言	sik yin
漆器	crt hei
包羅	bau lo
抵扣	dri kru
木炭	muk tan
曾國藩	zrj xok fan
立憲	lap hin
毀損	wri svn
絆腳	bun g;k
甘泉	grm cvn
馬隊	ma d;i
三國志	sam xok zi
尤物	yru mrd
客輪	hak l;n
記者站	gei ze zam
房車	foj ce
牙科	ja fo
別名	bit mej
羅網	lo moj
神傷	srn s;j
外鄉	joi h;j
生老病死	srj lou bej sei
繁茂	fan mru
說白了	svt bak liu
陪葬	pui zoj
駭人聽聞	hai yrn tij mrn
夏至	ha zi
城邦	sij boj
兩粒	l;j nrp
黑壓壓	hrk at ad
印刷廠	yrn cat coj
街市	gai si
營收	yij sru
大庭廣眾	dai tij xoj zuj
瀟湘	siu s;j
海獅	hoi si
淪喪	l;n soj
同門	tuj mun
火警	fo gij
鎖鏈	so lin
墊上	din s;j
目眩	muk yvn
樂在其中	lok zoi kei zuj
多言	do yin
修造	sru zou
公訴人	guj sou yrn
灰飛煙滅	fui fei yin mid
吐氣	tou hei
風雨無阻	fuj yv mou zo
造紙廠	zou zi coj
舒淇	sv kei
仙鶴	sin hok
何首烏	ho sru wu
誤傷	j s;j
附身	fu srn
參照系	cam ziu hri
砸死	zap sei
過去時	xo h;i si
封印	fuj yrn
考據	hau g;i
軋鋼	zat goj
窮追	kuj z;i
兵馬俑	bij ma yuj
擺渡	bai dou
筆劃	brt wak
叩頭	kru tru
高利貸	gou lei tai
營口	yij hru
大建	dai gin
圓球	yvn kru
壁掛	bik xa
害臊	hoi sou
行裝	hrj zoj
信物	s;n mrd
彈道導彈	dan dou dou dan
二鍋頭	yi wo tru
天干	tin gon
漢語拼音	hon yv pij yrm
嶄露頭角	zam lou tru gok
剽竊	piu sid
禁慾	grm yuk
妙不可言	miu brt ho yin
經心	gij srm
纖毛	cim mou
古風	gu fuj
古色古香	gu sik gu h;j
地租	dei zou
逗笑	dru siu
平行線	pij hrj sin
吊起	diu hei
屠宰場	tou zoi c;j
反目	fan muk
鞭打	bin da
鹹蛋	ham dan
教師節	gau si zid
小叔	siu suk
時興	si hij
中農	zuj nuj
呼風喚雨	fu fuj wun yv
輔佐	fu zo
民宅	mrn zak
殺生	sat srj
木樁	muk zoj
亂石	lvn sek
鴉雀無聲	a z;k mou sij
不肖	brt ciu
鳴叫	mij giu
迷彩	mri coi
摔傷	s;t s;j
核潛艇	hrt cim tej
邊檢	bin gim
郵差	yru cai
炫目	yvn muk
鮮亮	sin l;j
可歌可泣	ho go ho yrp
做伴	zou pun
詐騙罪	za pin z;i
花言巧語	fa yin hau yv
一文不值	yrt mrn brt zik
內奸	noi gan
祁連山	kei lin san
揶揄	ye yv
打攪	da gau
等比	drj bei
細胞壁	sri bau bik
警戒線	gij gai sin
有情人終成眷屬	yru cij yrn zuj sij gvn suk
膾炙人口	kui zek yrn hru
海龜	hoi xri
單親	dan crn
親兄弟	crn hij dri
桌布	c;k bou
回心轉意	wui srm zvn yi
鴨肉	ap yuk
後日	hru yrd
刮痧	xat sa
東城區	duj sij k;i
陪襯	pui crn
臉譜	lim pou
索道	sok dou
肉餅	yuk bej
司馬懿	si ma yi
機會主義	gei wui zv yi
道觀	dou gun
閃存	sim cvn
信號燈	s;n hou drj
無神論	mou srn l;n
浪跡	loj zik
履歷	lei lik
家法	ga fad
宗派	zuj pai
解悶	gai mun
鱗片	l;n pin
籌款	cru fun
筆會	brt wui
單程	dan cij
開場白	hoi c;j bak
輪轉	l;n zvn
層級	crj krp
尼羅河	nei lo ho
農婦	nuj fu
多爾	do yi
把妹	ba mui
捷達	zit dad
走樣	zru y;j
山麓	san luk
寒潮	hon ciu
抗訴	koj sou
抹胸	mut huj
短視	dvn si
咸豐	ham fuj
烈性	lit sij
學名	hok mej
粒粒	lrp lrp
知悉	zi sik
特種部隊	drk zuj bou d;i
傳真機	cvn zrn gei
扇貝	sin bui
廠子	coj zi
玩世不恭	wun sri brt guj
不謀而合	brt mru yi hrp
嘌呤	piu lij
賬面	z;j min
針筒	zrm tuj
狼吞虎嚥	loj trn fu yin
搜捕	sru bou
姊夫	zi fu
雋永	svn wij
放貸	foj tai
裡海	l;i hoi
後手	hru sru
接收機	zip sru gei
作陪	zok pui
大乘	dai sij
賞罰	s;j frd
力士	lik si
複製品	fuk zri brn
磁浮	ci fru
無干	mou gon
叔本華	suk bun wa
紫蘇	zi sou
久別	gru bid
鬼才	xri coi
拉高	lai gou
半壁江山	bun bik goj san
人盡其才	yrn z;n kei coi
支路	zi lou
刺穿	ci cvn
金條	grm tiu
秧歌	y;j go
姦情	gan cij
華國鋒	wa xok fuj
分門別類	frn mun bit l;i
直爽	zik soj
溫潤	wrn y;n
血案	hvt on
保守黨	bou sru doj
黃鶴樓	woj hok lru
花生油	fa srj yru
泡吧	pou ba
把風	ba fuj
拖住	to zv
臭氧層	cru y;j crj
花圃	fa pou
太陽鏡	tai y;j gej
鹽業	yim yip
聲母	sij mou
錯落有致	cok lok yru zi
找麻煩	zau ma fan
梯級	tri krp
先發制人	sin fat zri yrn
管仲	gun zuj
律動	l;t duj
叛變	bun bin
姨夫	yi fu
碑文	bei mrn
點破	dim po
活動家	wut duj ga
浴池	yuk ci
家學	ga hok
定標	dij biu
徐克	c;i hrk
美工	mei guj
一籌莫展	yrt cru mok zin
明火	mij fo
暗瘡	rm coj
首任	sru yrm
滴答	dik dap
燈管	drj gun
桃花源	tou fa yvn
槐樹	wai sv
座無虛席	zo mou h;i zik
店堂	dim toj
黃興	woj hij
勞逸	lou yrd
榮華富貴	wij wa fu xri
雙語	s;j yv
填飽	tin bau
玉環	yuk wan
跨步	qa bou
所剩無幾	so sij mou gei
橄欖球	gam lam kru
臺式機	toi sik gei
用心良苦	yuj srm l;j fu
鴻運	huj wrn
里約熱內盧	lei y;k yit noi lou
忍氣吞聲	yrn hei trn sej
漁網	yv moj
司令官	si lij gun
魯班	lou ban
樂聲	lok sij
按理說	on lei svd
沉湎	crm min
夙願	suk yvn
反之亦然	fan zi yik yin
酸棗	svn zou
多才多藝	do coi do jri
名篇	mij pin
找對象	zau d;i z;j
綠水	luk s;i
堅貞	gin zij
山勢	san sri
怪誕	xai dan
居安思危	g;i on si jri
煤球	mui kru
李四	lei sei
雄心勃勃	huj srm but bud
神戶	srn wu
拖車	to ce
村寨	cvn zai
辭海	ci hoi
壯年	zoj nin
