一个	yrt go
僵持	g;j ci
难以理解	nan yi lei gai
汉斯	hon si
初学者	co hok ze
单细胞	dan sri bau
计分	gri frn
竖立	sv lap
辨析	bin sik
合不拢嘴	hrp brt luj z;i
一路平安	yrt lou pij on
账目	z;j muk
大白天	dai bak tin
亭子	tij zi
苦味	fu mei
肺气肿	fri hei zuj
十月革命	srp yvt gak mij
一言九鼎	yrt yin gru dij
小精灵	siu zij lij
听得见	tij drk gin
投机倒把	tru gei dou ba
英汉	yij hon
防患于未然	foj wan yv mei yin
老花	lou fa
开拓者	hoi tok ze
图文并茂	tou mrn bij mru
内能	noi nrj
走过场	zru xo c;j
暗箱	rm s;j
风物	fuj mrt
定睛	dij zij
惹不起	ye brt hei
脱手	tvt sru
失色	srt sik
极光	gik xoj
傲气	jou hei
班机	ban gei
蜡笔小新	lap brt siu srn
鬼话	xri wa
肃穆	suk muk
婶婶	srm srm
嫂嫂	sou sou
遭殃	zou y;j
罗湖	lo wu
闪身	sim srn
假山	ga san
畏缩	wri suk
团团转	tvn tvn zvn
孵化器	fu fa hei
嫌犯	yim fan
坐镇	zo zrn
允诺	wrn nok
急匆匆	grp cuj cuj
投案	tru on
柔道	yru dou
上进心	s;j z;n srm
游船	yru svn
风和日丽	fuj wo yrt lri
剩余价值	sij yv ga zik
怒目	nou muk
无期徒刑	mou kei tou yij
欠债	him zai
乘船	sij  svn
期末	kei mut
蹙眉	cuk mei
不可逆转	brt ho yik zvn
溶解度	yuj gai dou
礼记	lri gei
际遇	zri yv
柔嫩	yru nvn
大凡	dai fan
贵阳市	xri y;j si
宾语	brn yv
人情味	yrn cij mei
马屁	ma pei
呦呦	yru yru
自转	zi zvn
优柔	yru yru
食客	sik hak
巴蜀	ba suk
脱离实际	tvt lei srt zri
审计署	srm gri cv
儿戏	yi hei
指正	zi zij
翻动	fan duj
笔迹	brt zik
人烟	yrn yin
禽蛋	krm dan
细密	sri mrt
奄奄一息	yim yim yrt sik
立论	lap l;n
绽开	zan hoi
敲定	hau dij
花花公子	fa fa guj zi
副团长	fu tvn z;j
淮阴	wai yrm
昆曲	qrn kuk
牛郎	jru loj
票数	piu sou
笑靥	siu yip
斗鸡	dru gri
从无到有	cuj mou dou yru
悬疑	yvn yi
老抽	lou cru
汉文	hon mrn
针法	zrm fat
乱叫	lvn giu
变卖	bin mai
展期	zin kei
白毛	bak mou
敬老院	gij lou yvn
出其不意	c;t kei brt yi
联合国宪章	lvn hrp xok hin z;j
速滑	cuk wat
安全措施	on cvn cou si
铜像	tuj z;j
阻燃	zo yin
能动性	nrj duj sij
赵薇	ziu mei
开篇	hoi pin
灭火器	mit fo hei
溺水	nik s;i
求情	kru cij
五角场	j gok c;j
满城	mun sij
曲解	kuk gai
申明	srn mij
果肉	xo yuk
估值	gu zik
老大爷	lou dai ye
战舰	zin lam
欲火	yuk fo
通勤	tuj krn
最小值	z;i siu zik
软绵绵	yvn min min
拔地而起	brt dei yi hei
查收	ca sru
破天荒	po tin foj
脚本	g;k bun
野菜	ye coi
锲而不舍	kit yi brt se
费事	fri si
认罪	yij z;i
防毒	foj duk
得意洋洋	drk yi y;j y;j
保质期	bou zrt kei
天书	tin sv
豆沙	dru sa
水货	s;i fo
初等	co drj
重整	cuj zij
自然主义	zi yin zv yi
让位	y;j wri
考取	hau c;i
木棍	muk xrn
入球	yrp kru
头一回	tru yrt wui
合身	hrp srn
支座	zi zo
嘟囔	dou noj
重装	cuj zoj
亲信	crn s;n
双管	s;j gun
后腰	hru yiu
病危	bej jri
余光	yv xoj
滚落	xrn lok
易变	yi bin
成绩单	sij zik dan
新文化运动	srn mrn fa wrn duj
春意	c;n yi
植根	zik grn
嫁妆	ga zoj
软盘	yvn pun
长空	c;j huj
保育	bou yuk
幻灭	wan mit
教派	gau pai
酒醉	zru z;i
衣柜	yi xri
平定	pij dij
战马	zin ma
拔牙	brt ja
喜糖	hei toj
玉林	yuk lrm
盎司	on si
接壤	zip y;j
赌徒	dou tou
岛国	dou xok
盗用	dou yuj
大可不必	dai ho brt bit
强生	k;j srj
平安无事	pij on mou si
黑幕	hrk mok
拔节	brt zit
个体经济	go tri gij zri
无所不能	mou so brt nrj
油茶	yru ca
乐清	lok cij
交流电	gau lru din
欣喜若狂	yrn hei y;k qoj
本土化	bun tou fa
春雷	c;n l;i
脱胎换骨	tvt toi wun xrt
球体	kru tri
刚强	goj k;j
迅即	s;n zik
大赦	dai se
书签	sv cim
罐子	gun zi
录影	luk yij
佛门	frt mun
熟识	suk sik
花蕾	fa l;i
海员	hoi yvn
坐垫	zo zin
阵痛	zrn tuj
声讨	sij tou
卓着	c;k zv
发福	fat fuk
雨滴	yv dik
替身	tri srn
国耻	xok ci
肝火	gon fo
未知数	mei zi sou
呼噜	fu lou
绿肥	luk fei
憨厚	hrm hru
安葬	on zoj
倒车	dou ce
余粮	yv l;j
俗气	zuk hei
绝学	zvt hok
三藏	sam zoj
石窟	sek frt
噩耗	jok hou
算帐	svn z;j
首富	sru fu
有劳	yru lou
志士	zi si
中秋节	zuj cru zit
国际水平	xok zri s;i pij
端午	dvn j
雷鸣	l;i mij
不义	brt yi
涌进	yuj z;n
蜂箱	fuj s;j
异域	yi wik
鱼翅	yv ci
锐气	y;i hei
反观	fan gun
失言	srt yin
麾下	fri ha
大相径庭	dai s;j gij tij
周报	zru bou
独树一帜	duk sv yrt ci
减半	gam bun
立国	lap xok
好端端	hou dvn dvn
玉佩	yuk pui
流窜	lru cvn
武陵	mou lij
钱学森	cin hok srm
寻根	crm grn
大名鼎鼎	dai mij dij dij
浮上	fru s;j
水花	s;i fa
日见	yrt gin
气节	hei zit
偷偷摸摸	tru tru mo mo
无限制	mou han zri
天竺	tin zuk
座右铭	zo yru mij
变黑	bin hrk
老生	lou srj
沟渠	kru k;i
重压	cuj at
建功立业	gin guj lap yip
歪理	wai lei
河滩	ho tan
足月	zuk yvt
惨死	cam sei
奖赏	z;j s;j
红河	huj ho
文昌	mrn c;j
欺压	hei at
清点	cij dim
山峦	san lvn
撤消	cit siu
鄱阳湖	po y;j wu
行经	hrj gij
恳切	hrn cit
灵机	lij gei
体罚	tri frt
应届毕业生	yij gai brt yip srj
药片	y;k pin
卖完	mai yvn
真善美	zrn sin mei
小名	siu mej
临江	lrm goj
路痴	lou ci
西面	sri min
西双版纳	sri s;j ban nap
调集	diu zap
讯号	s;n hou
麻药	ma y;k
洞悉	duj sik
溜冰	lru bij
中伤	zuj s;j
心气	srm hei
门派	mun pai
碟子	dip zi
成材	sij coi
事由	si yru
油轮	yru l;n
输不起	sv brt hei
略略	l;k l;k
多嘴	do z;i
委实	wri srt
纳西	nap sri
声学	sij hok
白布	bak bou
第二季度	dri yi xri dou
事与愿违	si yv yvn wri
小资	siu zi
铃铛	lij doj
对打	d;i da
韩信	hon s;n
战犯	zin fan
先烈	sin lit
有碍	yru joi
赔款	pui fun
桃李	tou lei
谐音	hai yrm
落寞	lok mok
喜出望外	hei c;t moj joi
海关总署	hoi xan zuj cv
涨跌	z;j dit
精打细算	zij da sri svn
挨饿	jai jo
棉布	min bou
首付	sru fu
识得	sik drk
族长	zuk z;j
无恙	mou y;j
移情	yi cij
闲谈	han tam
光能	xoj nrj
少奶奶	siu nai nai
刽子手	kui zi sru
合十	hrp srp
圣殿	sij din
吉林市	grt lrm si
天伦	tin l;n
死难	sei nan
卢森堡	lou srm bou
止痛药	zi tuj y;k
飞碟	fei dip
酣畅	hrm c;j
阴凉	yrm l;j
黄道	woj dou
欢聚一堂	fun z;i yrt toj
寓所	yv so
心术	srm s;t
年事	nin si
缝制	fuj zri
江海	goj hoi
连翘	lin kiu
长岛	c;j dou
门缝	mun fuj
获救	wok gru
随遇而安	c;i yv yi on
套餐	tou can
下单	ha dan
洋装	y;j zoj
墓志	mou zi
责难	zak nan
漏掉	lru diu
据估计	g;i gu gri
枝条	zi tiu
智障	zi z;j
生财	srj coi
章法	z;j fat
满不在乎	mun brt zoi fu
子时	zi si
泰坦尼克号	tai tan nei hrk hou
源流	yvn lru
洞察力	duj cat lik
愁眉苦脸	sru mei fu lim
生产量	srj can l;j
七情	crt cij
出师	c;t si
五角大楼	j gok dai lru
眼药水	jan y;k s;i
转学	zvn hok
新军	srn xrn
食宿	sik suk
编印	pin yrn
花坛	fa tan
天晴	tin cij
法网	fat moj
道行	dou hrj
人寿保险	yrn sru bou him
碎屑	s;i sit
五脏六腑	j zoj luk fu
热身赛	yit srn coi
核糖	hrt toj
特派员	drk pai yvn
偷窃	tru sit
存档	cvn doj
垫子	zin zi
前晚	cin man
皆因	gai yrn
艾青	jai cij
雪中送炭	svt zuj suj tan
致歉	zi hip
不闻不问	brt mrn brt mrn
电镀	din dou
转正	zvn zij
冥想	mij s;j
凌驾	lij ga
放大镜	foj dai gej
花季	fa xri
花市	fa si
受审	sru srm
脱衣服	tvt yi fuk
真个	zrn go
电化学	din fa hok
风铃	fuj lij
摇奖	yiu z;j
皇马	woj ma
折价	zit ga
绝路	zvt lou
滤纸	l;i zi
游历	yru lik
品性	brn sij
背弃	bui hei
华润	wa y;n
房客	foj hak
文娱	mrn yv
蛊惑	gu wak
民权	mrn kvn
亲子	crn zi
盲从	maj cuj
方子	foj zi
大虾	dai ha
日剧	yrt kek
包涵	bau ham
年轻化	nin hij fa
百感交集	bak grm gau zap
菌丝	qrn si
聚拢	z;i luj
乳癌	yv jam
脱险	tvt him
夹板	gap ban
犒劳	hou lou
强攻	k;j guj
地头	dei tru
翰林	hon lrm
正比	zij bei
上臂	s;j bei
暴怒	bou nou
回电	wui din
心狠	srm hrn
补足	bou zuk
差事	cai si
贫苦	prn fu
孤寡	gu xa
老衲	lou nap
不雅	brt ja
临危	lrm jri
甜味	tim mei
从简	cuj gan
苦命	fu mej
耍赖	sa lai
孝心	hau srm
慢条斯理	man tiu si lei
断线	tvn sin
鱼粉	yv frn
猪八戒	zv bat gai
适可而止	sik ho yi zi
交通银行	gau tuj jrn hoj
冲浪	cuj loj
公允	guj wrn
农活	nuj wut
欠费	him fri
士官	si gun
协奏	hip zru
耶鲁	ye lou
采煤	coi mui
选编	svn pin
孪生	lvn saj
对冲	d;i cuj
闹腾	nau trj
分设	frn cit
好得多	hou drk do
优柔寡断	yru yru xa dvn
企划	kei wak
残杀	can sat
正义感	zij yi grm
滑石	wat sek
军衔	xrn ham
彭德怀	paj drk wai
惟恐	wri huj
越权	yvt kvn
求援	kru wun
上品	s;j brn
汇价	wui ga
丝光	si xoj
爱岗敬业	oi goj gij yip
整地	zij dei
天寒地冻	tin hon dei duj
潺潺	san san
疲累	pei l;i
假意	ga yi
偶然性	jru yin sij
牙医	ja yi
蠢事	c;n si
爱怜	oi lin
满堂	mun toj
兴味	hij mei
乙醚	yvt mri
板子	ban zi
检查站	gim ca zam
训练营	frn lin yij
不足为奇	brt zuk wri kei
死寂	sei zik
亚健康	a gin hoj
小卖部	siu mai bou
结婚证	git frn zij
所见所闻	so gin so mrn
夜校	ye hau
书香	sv h;j
尼桑	nei soj
外电	joi din
冷轧	laj zat
熟食	suk sik
课业	fo yip
字段	zi dvn
句型	g;i yij
较佳	gau gai
氢气	hij hei
物证	mrt zij
疗伤	liu s;j
落定	lok dej
肺活量	fri wut l;j
独尊	duk zvn
透顶	tru dej
科特迪瓦	fo drk dik ja
首当其冲	sru doj kei cuj
合为	hrp wri
侃侃	hon hon
焦灼	ziu c;k
苦海	fu hoi
落网	lok moj
划归	wak xri
进料	z;n liu
围栏	wri lan
鱼塘	yv toj
曾参	zrj srm
言喻	yin yv
莫扎特	mok zat drk
盐湖	yim wu
一无所获	yrt mou so wok
曼陀罗	man to lo
乘胜	sij sij
美容院	mei yuj yvn
好客	hou hak
信誓旦旦	s;n sri dan dan
萨拉热窝	sat lai yit wo
满腔热情	mun hoj yit cij
模子	mou zi
杨梅	y;j mui
燕窝	yin wo
出题	c;t tri
周长	zru c;j
停车位	tij ce wri
口述	hru s;t
待命	doi mij
好玩儿	hou wun yi
婢女	pei n;i
仓皇	coj woj
对偶	d;i jru
真经	zrn gij
篝火	gru fo
午间	j gan
亲缘	crn yvn
悠远	yru yvn
对局	d;i guk
恢宏	fui wrj
走光	zru xoj
影音	yij yrm
回廊	wui loj
姑奶奶	gu nai nai
保驾	bou ga
下凡	ha fan
同学会	tuj hok wui
穷尽	kuj z;n
效劳	hau lou
属地	suk dei
复读	fuk duk
纵横交错	zuj waj gau co
革命军	gak mij xrn
监制	gam zri
伤风	s;j fuj
求饶	kru yiu
遨游	jou yru
血汗钱	hvt hon cin
青绿	cej luk
满头大汗	mun tru dai hon
永别	wij bit
深恶痛绝	srm wu tuj zvt
空难	huj nan
全胜	cvn sij
纷至沓来	frn zi dap loi
浑厚	wrn hru
糖类	toj l;i
原样	yvn y;j
吐痰	tou tam
疾驰	zrt ci
百货公司	bak fo guj si
洒落	sa lok
周立波	zru lap bo
餐巾	can grn
舞姿	mou zi
生蛋	saj dan
一档	yrt 档:doj
沸沸扬扬	fri fri y;j y;j
时令	si lij
果皮	xo pei
唱戏	c;j hei
山歌	san go
白头偕老	bak tru gai lou
均等	xrn drj
夕阳西下	zik y;j sri ha
调价	tiu ga
脸盆	lim pun
曾祖	zrj zou
如释重负	yv sik cuj fu
欺凌	hei lij
土木工程	tou muk guj cij
考卷	hau gvn
青松	cij cuj
海平面	hoi pij min
凹凸	nrp drt
自傲	zi jou
评点	pij dim
雄浑	huj wrn
明理	mij lei
果敢	xo grm
甲子	gap zi
烤鸡	hau gri
粉饰	frn sik
补发	bou fat
务求	mou kru
遵命	z;n mij
导体	dou tri
多多少少	do do siu siu
打住	da zv
拉倒	lai dou
陆上	luk s;j
塌方	tap foj
赤子	cek zi
融汇	yuj wui
恍若	foj y;k
报告书	bou gou sv
执事	zrp si
楼主	lru zv
混为一谈	wrn wri yrt tam
史学家	si hok ga
吹捧	c;i puj
路透社	lou tru se
排涝	pai lou
优等	yru drj
夜行	ye hrj
大禹	dai yv
围护	wri wu
看客	hon hak
分属	frn suk
有机体	yru gei tri
渔夫	yv fu
呵欠	ho him
周游	zru yru
火辣辣	fo lat lat
冗长	yuj c;j
特快	drk fai
求同存异	kru tuj cvn yi
铺张浪费	pou z;j loj fri
飘渺	piu miu
潜力股	cim lik gu
明示	mij si
影印	yij yrn
因故	yrn gu
镇海	zrn hoi
树梢	sv sau
告急	gou grp
菱形	lij yij
吃苦耐劳	hek fu noi lou
要饭	yiu fan
善心	sin srm
交响曲	gau h;j kuk
百分数	bak frn sou
沃土	yuk tou
令尊	lij zvn
结缘	git yvn
邪说	ce svt
海陆	hoi luk
跃跃欲试	y;k y;k yuk si
圆通	yvn tuj
礼教	lri gau
实话实说	srt wa srt svt
阅兵	yvt bij
分家	frn ga
求索	kru sak
思想体系	si s;j tri hri
捏造	nip zou
南宁市	nam nij si
留作	lru zok
报效	bou hau
荞麦	kiu mrk
存留	cvn lru
官职	gun zik
犹疑	yru yi
献策	hin cak
平均主义	pij xrn zv yi
强敌	k;j dik
一而再	yrt yi zoi
常设	s;j cit
射箭	se zin
假借	ga ze
红娘	huj n;j
细粉	sri frn
东洋	duj y;j
城池	sij ci
口供	hru guj
长椅	c;j yi
古罗马	gu lo ma
不合法	brt hrp fat
遴选	l;n svn
军事基地	xrn si gei dei
逢年过节	fuj nin xo zit
减速器	gam cuk hei
亲历	crn lik
压榨	at za
死光	sei xoj
水军	s;i xrn
黑车	hrk ce
拆下	cak ha
退烧	t;i siu
王位	woj wri
浴血	yuk hvt
见不得人	gin brt drk yrn
辟邪	pik ce
昏厥	frn kvt
纳斯达克	nap si dat hrk
一臂之力	yrt bei zi lik
网页	moj yip
火车头	fo ce tru
西夏	sri ha
卧龙	jo luj
悲欢离合	bei fun lei hrp
雷击	l;i gik
名校	mij hau
牛腩	jru nam
皈依	xri yi
保卫祖国	bou wri zou xok
双刃	s;j yrn
右面	yru min
小天鹅	siu tin jo
水边	s;i bin
泼辣	put lat
撒旦	sat dan
般配	bun pui
继母	gri mou
甘于	grm yv
口臭	hru cru
名画	mij wa
多产	do can
自满	zi mun
龙潭	luj tam
带劲	dai gij
死尸	sei si
因数	yrn sou
北侧	brk zrk
公职人员	guj zik yrn yvn
菜鸟	coi niu
老样子	lou y;j zi
无可救药	mou ho gru y;k
江陵	goj lij
觊觎	gei yv
拳脚	kvn g;k
文化史	mrn fa si
方阵	foj zrn
大草原	dai cou yvn
碳纤维	tan cim wri
易燃	yi yin
内销	noi siu
摸爬滚打	mo pa xrn da
桎梏	zrt guk
新春佳节	srn c;n gai zit
美欧	mei ru
痞子	pei zi
调头	diu tru
对讲机	d;i goj gei
办妥	ban to
拦路	lan lou
赏赐	s;j ci
澳元	ou yvn
数量级	sou l;j krp
退换	t;i wun
女伴	n;i bun
确证	kok zij
不可抗拒	brt ho koj k;i
买断	mai tvn
知县	zi yvn
笔触	brt zuk
归路	xri lou
懦夫	no fu
铺盖	pou goi
痛感	tuj grm
仰卧起坐	y;j jo hei co
原稿	yvn gou
包住	bau zv
短跑	dvn pau
高居	gou g;i
度假村	dou ga cvn
异彩	yi coi
袖珍	zru zrn
投靠	tru kau
纳米技术	nap mri gei s;t
应战	yij zin
能事	nrj si
开机	hoi gei
浩大	hou dai
绕组	yiu zou
结巴	git ba
驯服	s;n fuk
临场	lrm c;j
争抢	zrj c;j
通史	tuj si
喷气	prn hei
烧焦	siu ziu
插口	cap hru
剪成	zin sij
花束	fa cuk
静寂	zij zik
泛泛	fan fan
若隐若现	y;k yrn y;k yin
深入浅出	srm yrp cin c;t
山海经	san hoi gij
商贾	s;j gu
集思广益	zap si xoj yik
施教	si gau
爱妻	oi cri
用字	yuj zi
塔吉克斯坦	tap grt hrk si tan
别具一格	bit g;i yrt gak
山东大学	san duj dai hok
内江	noi goj
卫生纸	wri srj zi
大有作为	dai yru zok wri
原煤	yvn mui
当权	doj  kvn
悄无声息	ciu mou sij sik
挑食	tiu sik
自尽	zi z;n
善哉	sin zoi
前传	cin cvn
不惑	brt wak
平头	pij tru
光驱	xoj k;i
火种	fo zuj
铜陵	tuj lij
近邻	grn l;n
春播	c;n bo
下届	ha gai
频度	prn dou
拨乱反正	but lvn fan zij
壮阳	zoj y;j
戏台	hei toi
恍如	foj yv
年轮	nin l;n
飘零	piu lij
木星	muk sij
出价	c;t ga
参考书	cam hau sv
脚踏车	g;k dap ce
国境	xok gij
居心	g;i srm
歌坛	go tan
站岗	zam goj
女娃	n;i wa
布景	bou gij
长海	c;j hoi
利刃	lei yrn
脱皮	tvt pei
至爱	zi oi
精锐	zij y;i
迷途	mri tou
拜见	bai gin
抹黑	mut hrk
有恃无恐	yru ci mou huj
胸有成竹	huj yru sij zuk
南边	nam bin
豆角	dru gok
连战	lin zin
指路	zi lou
九千	gru cin
洗衣粉	sri yi frn
恩情	yrn cij
窑洞	yiu duj
府上	fu s;j
罗纳尔多	lo nap yi do
福地	fuk dei
尊师	zvn si
陋习	lru zap
显像管	hin z;j gun
父辈	fu bui
阿飞	a fei
预估	yv gu
碍事	joi si
越位	yvt wri
鼓风	gu fuj
泪花	l;i fa
异端	yi dvn
试车	si ce
更生	grj srj
损友	svn yru
梦魇	muj yim
闲事	han si
讥笑	gei siu
麻利	ma lei
电感	din grm
酷刑	huk yij
仇敌	sru dik
紧追	grn z;i
曼联	man lvn
你死我活	nei sei jo wut
缉私	crp si
勤工俭学	krn guj gim hok
东晋	duj z;n
易懂	yi duj
听任	tij yrm
山泉	san cvn
飞机场	fei gei c;j
货品	fo brn
劳苦	lou fu
百色	bak sik
电瓶	din pij
吸尘	krp crn
官能	gun nrj
逐出	zuk c;t
黔江	kim goj
树苗	sv miu
兼备	gim bei
糊弄	wu luj
誓死	sri sei
循环系统	c;n wan hri tuj
利索	lei sok
偏食	pin sik
阴囊	yrm noj
心烦意乱	srm fan yi lvn
推陈出新	t;i crn c;t srn
热土	yit tou
杂念	zap nim
娇媚	giu mei
高尔基	gou yi gei
助学金	zo hok grm
弄堂	luj toj
冠冕	gun min
军事演习	xrn si yin zap
逝去	sri h;i
简练	gan lin
俏丽	ciu lri
分房	frn foj
欢天喜地	fun tin hei dei
碌碌	luk luk
云海	wrn hoi
兴修	hij sru
消费税	siu fri s;i
各自为政	gok zi wri zij
含税	hrm s;i
红萝卜	huj lo bak
深不可测	srm brt ho crk
亏欠	qri him
海角	hoi gok
鄂尔多斯	jok yi do si
象形	z;j yij
出招	c;t ziu
三流	sam lru
沉船	crm svn
包起	bau hei
如影随形	yv yij c;i yij
再婚	zoi frn
法门	fat mun
居首	g;i sru
独断	duk dvn
摆明	bai mij
抗美援朝	koj mei wun ciu
兰溪	lan kri
冷面	laj min
走投无路	zru tru mou lou
侠义	hrp yi
绿荫	luk yrm
阿拉斯加	a lai si ga
爱丽丝	oi lri si
彩民	coi mrn
决意	kvt yi
弹劾	tan hrt
邪道	ce dou
老酒	lou zru
飞逝	fei sri
寥寥无几	liu liu mou gei
针孔	zrm huj
受难	sru nan
解雇	gai gu
包月	bau yvt
执拗	zrp au
梅子	mui zi
营房	yij foj
后年	hru nin
卷曲	gvn kuk
意料之中	yi liu zi zuj
焦油	ziu yru
土司	tou si
跪倒	xri dou
角斗	gok dru
航空母舰	hoj huj mou lam
半世	bun sri
壮志	zoj zi
施压	si at
满天飞	mun tin fei
洗牌	sri pai
作客	zok hak
喂食	wri sik
四边	sei bin
校花	hau fa
怒骂	nou ma
岩层	jam crj
拨动	but duj
功利主义	guj lei zv yi
起死回生	hei sei wui srj
动人心魄	duj yrn srm pak
晨练	srn lin
旱情	hon cij
中子	zuj zi
由来已久	yru loi yi gru
昏昏欲睡	frn frn yuk s;i
幼女	yru n;i
泰达	tai dat
二流	yi lru
开掘	hoi xrt
小心谨慎	siu srm grn srn
固定电话	gu dij din wa
外宾	joi brn
儿孙	yi svn
娶妻	c;i cri
唱腔	c;j hoj
转圈	zvn hvn
轰炸机	xrj za gei
罗素	lo sou
僧侣	zrj l;i
阿爸	a ba
预谋	yv mru
封顶	fuj dej
青梅竹马	cij mui zuk ma
现代派	yin doi pai
屋脊	uk zek
安全检查	on cvn gim ca
然则	yin zrk
留情	lru cij
靠岸	kau jon
严冬	yim duj
消长	siu z;j
馆子	gun zi
植保	zik bou
旅游胜地	l;i yru sij dei
地方官	dei foj gun
忠厚	zuj hru
辗转反侧	zin zvn fan zrk
罚球	frt kru
美籍	mei zik
召见	ziu gin
分忧	frn yru
井然	zej yin
卡斯特罗	ka si drk lo
浓汤	nuj toj
团队精神	tvn d;i zij srn
军令	xrn lij
汇入	wui yrp
清道	cij dou
卸车	se ce
舞步	mou bou
功耗	guj hou
玩味	wun mei
灭口	mit hru
班会	ban wui
心领	srm lij
失落感	srt lok grm
消食	siu sik
自创	zi coj
衣原体	yi yvn tri
耻骨	ci xrt
对立面	d;i lap min
成衣	sij yi
奉陪	fuj pui
回绝	wui zvt
疼惜	trj sik
慈善事业	ci sin si yip
红木	huj muk
安全第一	on cvn dri yrt
航程	hoj cij
应聘者	yij pij ze
对半	d;i bun
轮训	l;n frn
郁结	wrt git
砾石	lik sek
榕树	yuj sv
好战	hou zin
佛家	frt ga
就位	zru wri
零花钱	lij fa cin
披萨	pei sat
干洗	gon sri
斡旋	wat svn
水运	s;i wrn
热敷	yit fu
分界线	frn gai sin
方寸	foj cvn
刚毅	goj jri
拨弄	but luj
条目	tiu muk
瑰宝	xri bou
蹉跎	co to
扩大再生产	qoj dai zoi srj can
门市部	mun si bou
纸板	zi ban
浅蓝	cin lam
天文馆	tin mrn gun
清汤	cij toj
煅烧	dvn siu
农奴	nuj nou
低廉	dri lim
亦然	yik yin
东营	duj yij
习气	zap hei
把儿	ba yi
热火朝天	yit fo ciu tin
物产	mrt can
就寝	zru crm
百万富翁	bak man fu yuj
栽植	zoi zik
赤峰	cek fuj
天真无邪	tin zrn mou ce
温习	wrn zap
最惠国	z;i wri xok
火腿肠	fo t;i c;j
空子	huj zi
外甥女	joi srj n;i
近处	grn cv
相较	s;j gau
细水长流	sri s;i c;j lru
请安	cij on
词人	ci yrn
魔女	mo n;i
旧情	gru cij
电磁场	din ci c;j
听者	tij ze
精于	zij yv
欧阳修	ru y;j sru
塔楼	tap lru
云烟	wrn yin
武装斗争	mou zoj dru zrj
蛤蟆	ha mou
恼羞成怒	nou sru sij nou
彬彬有礼	brn brn yru lri
训练有素	frn lin yru sou
雷阵雨	l;i zrn yv
排场	pai c;j
胡言乱语	wu yin lvn yv
多管闲事	do gun han si
乘积	sij zik
织布	zik bou
甚或	srm wak
乳剂	yv zri
下笔	ha brt
热乎乎	yit fu fu
嫦娥	s;j jo
大寿	dai sru
载客	zoi hak
水温	s;i wrn
发电厂	fat din coj
特辑	drk crp
潮汐	ciu zik
对焦	d;i ziu
南昌市	nam c;j si
坑人	haj yrn
豁免	kut min
大惊失色	dai gej srt sik
裂口	lit hru
尖刀	zim dou
饲草	zi cou
伏特加	fuk drk ga
藏品	zoj brn
关公	xan guj
防不胜防	foj brt sij foj
末尾	mut mei
剧作家	kek zok ga
横流	waj lru
先王	sin woj
音韵	yrm wrn
薏米	yi mri
对比度	d;i bei dou
天职	tin zik
责无旁贷	zak mou poj tai
不为所动	brt wri so duj
选区	svn k;i
香薰	h;j frn
薪金	srn grm
密林	mrt lrm
华师	wa si
奇人	kei yrn
无利	mou lei
鲸鱼	kij yv
可见光	ho gin xoj
祭坛	zri tan
葬身	zoj srn
双膝	s;j srt
卢湾区	lou wan k;i
法学院	fat hok yvn
合办	hrp ban
大雅	dai a
转账	zvn z;j
米酒	mri zru
焦距	ziu k;i
母性	mou sij
一揽子	yrt lam zi
玉皇	yuk woj
清真寺	cij zrn zi
沾沾自喜	zim zim zi hei
败诉	bai sou
狂风暴雨	qoj fuj bou yv
述评	s;t pij
子集	zi zap
远望	yvn moj
深红	srm huj
暗访	rm foj
闯关	coj xan
合议	hrp yi
菏泽	ho zak
障碍物	z;j joi mrt
江面	goj min
踏步	dap bou
军费	xrn fri
秃头	tuk tru
作假	zok ga
破格	po gak
豆花	dru fa
宰杀	zoi sat
过细	xo sri
尸首	si sru
摊贩	tan fan
手杖	sru z;j
身受	srn sru
阅卷	yvt gvn
婚恋	frn lvn
诗情画意	si cij wa yi
劳动能力	lou duj nrj lik
致函	zi ham
下体	ha tri
跆拳道	toi kvn dou
圣彼得堡	sij bei drk bou
月圆	yvt yvn
回暖	wui nvn
军长	xrn z;j
托福	tok fuk
着意	z;k yi
作大	zok dai
耗散	hou san
龙卷风	luj gvn fuj
鲜有	sin yru
格斗	gak dru
浴巾	yuk grn
跑遍	pau pin
赔付	pui fu
强烈反对	k;j lit fan d;i
充饥	cuj gei
央求	y;j kru
初稿	co gou
佝偻	kru lru
卫国	wri xok
劫机	gip gei
正传	zij zvn
蝉联	sim lvn
匍匐	pou bak
久等	gru drj
引人入胜	yrn yrn yrp sij
苦口	fu hru
露骨	lou xrt
毒手	duk sru
玉树	yuk sv
暖流	nvn lru
中产阶级	zuj can gai krp
车模	ce mou
象限	z;j han
多彩	do coi
正轨	zij xri
现象学	yin z;j hok
贸易壁垒	mru yik bik l;i
撒尿	sat niu
执笔	zrp brt
华贵	wa xri
无中生有	mou zuj srj yru
目中无人	muk zuj mou yrn
中暑	zuj sv
风云变幻	fuj wrn bin wan
敌机	dik gei
保送	bou suj
为伍	wri j
阿瑟	a srt
一声不响	yrt sij brt h;j
不以为意	brt yi wri yi
兴冲冲	hij cuj cuj
师范大学	si fan dai hok
极值	gik zik
雄风	huj fuj
不寒而栗	brt hon yi l;t
浅析	cin sik
鱼尾	yv mei
徒然	tou yin
行销	hrj siu
善事	sin si
淤血	yv hvt
图样	tou y;j
炸毁	za wri
矮子	ri zi
藻类	zou l;i
欢欣鼓舞	fun yrn gu mou
汉学	hon hok
