耬	olzl
懇	okfx
應	oykg
懌	oyix
懍	olbx
懐	ohkx
懟	odvx
懣	omfx
懨	oyjx
懲	oigx
懶	oljx
懷	ohkx
懸	oxrx
懺	oijx
懼	ojux
懾	ouex
戀	olmx
戇	oghx
戇	ovlx
戦	ovjg
戧	oqlr
戩	ojma
戯	oxig
戰	ovja
戲	oxiy
戶	ohud
戸	ohua
戻	olwh
払	ofuf
抜	obof
択	ozef
拋	opcf
拝	opdf
拠	oiuf
拠	oiuf
拠	ojuf
拠	ojuf
拡	oklf
挙	ojux
挾	ojxf
挾	oxpf
挿	oiaf
捗	obuf
捜	oszf
捨	ouef
捫	omff
掃	oscf
掄	olyf
掙	ovgf
掛	ogxf
採	ocdv
掲	oqpf
揀	ojmf
揚	oyhf
換	ohrf
揮	ohvf
揺	oycf
損	osyf
搖	oycf
搗	odcf
搵	owff
搶	oigf
搶	oqlf
摂	ouef
摑	ogof
摜	ogrf
摟	olzf
摯	oviu
摳	okzf
摶	otrf
摻	oijf
摻	oujf
摻	oxmf
撃	ojiu
撈	olcf
撐	oigf
撓	oncf
撝	owwf
撟	ojnf
撣	odjf
撣	oujf
撥	obof
撫	ofuf
撲	opuf
撳	oqbf
撻	otaf
撾	ovxf
撾	owof
撿	ojmf
擁	oysf
擄	oluf
擇	ovdf
擇	ozef
擊	ojia
擋	odhf
擓	okkf
擔	odjf
據	ojuf
擠	ojif
擡	otdf
擬	onif
擯	obbf
擰	onkf
擱	ogef
擲	ovif
擴	okof
擷	oxpf
擺	obdf
擻	oszf
擼	oluf
擾	orcf
攄	ouuf
攆	onmf
攏	olsf
攔	oljf
攖	oykf
攙	oijf
攛	ocrf
攜	oxpf
攝	onpf
攝	ouef
攢	ocrf
攢	ozjf
攣	olrw
攤	otjf
攪	ojnf
攬	oljf
敗	obdw
敘	oxur
敵	odiw
數	ouuw
斂	olmw
斃	obia
斉	oqiw
斎	ovdw
斕	oljw
斬	ovji
斷	odrm
時	ouio
晉	ojba
晝	ovzu
晩	owjo
暁	oxno
暈	oyyo
暉	ohvo
暘	oyho
暢	oiha
暦	olii
暫	ozjo
曄	oyeo
曇	otjo
曉	oxno
曖	oaio
曠	oklo
曬	oudo
書	ouuv
曽	ocgb
會	ohvr
會	okkr
朧	olso
東	odsa
杴	oxmj
枠	ozvm
柵	ocem
柵	oujm
柵	ovam
査	oiam
栃	olim
栄	orsx
桜	oykm
桟	ovjm
梔	ovim
梘	ojmm
條	otnw
梟	oxnn
棄	oqiw
棖	oigm
棗	ozca
棟	odsm
棡	oghm
棧	ovjm
棲	oqim
棲	oxim
椏	oyam
検	ojmm
楊	oyhm
楓	ofgm
楨	ovfm
業	oyea
極	ojim
楽	olwm
榪	omam
榮	orsc
榲	owfm
榿	oqim
構	ogzm
槍	oqlm
槓	oghm
様	oyhm
槤	olmm
槧	oqmm
槨	ogom
槳	ojlm
樁	ovlm
樂	olep
樂	oytp
樅	ocsm
樅	ozsm
樑	ollm
樓	olzm
標	obnm
樞	ouum
樣	oyhm
権	oqrm
樸	opnm
樸	opom
樸	opum
樹	ouum
樺	ohxm
橈	oncm
橈	orcm
橋	oqnm
機	ojim
橢	otom
橫	ohgm
檁	olbm
檉	oigm
檔	odhm
檜	ogvm
檜	ohvm
檢	ojmm
檣	oqlm
檮	odcm
檮	oizm
檮	otcm
檳	obbm
檳	obkm
檸	onkm
檻	ojmm
檻	okjm
檾	oqkc
檾	oqkc
櫃	ogvm
櫃	ojum
櫓	olum
櫚	olvm
櫛	ovim
櫝	odum
櫞	oyrm
櫟	olim
櫟	oytm
櫥	oium
櫧	ovum
櫨	olum
櫪	olim
櫫	ovum
櫬	oifm
櫱	onpc
櫳	olsm
櫸	ojum
櫺	olkm
櫻	oykm
欄	oljm
權	oqrm
欏	olom
欒	olrw
欖	oljm
欽	oqbj
歐	oouk
歓	ohrq
歟	oyua
歡	ohry
歩	obuv
歯	oiiv
歲	osve
歳	osvv
歴	olii
歷	olii
歸	ogva
歿	omod
殘	ocjd
殞	oyyd
殤	ouhd
殫	odjd
殮	olmd
殯	obbd
殲	ojmd
殺	ouax
殻	okeu
殼	okeu
殼	oqnu
毀	ohvp
毆	oouk
毎	omwr
毿	osjs
氈	ovjm
氌	olum
気	oqiq
氣	oqir
氫	oqkq
氬	oyaq
氳	oyyq
氷	obkd
汎	ofjd
汙	owud
汚	owud
決	ojtd
沒	omod
沒	omwd
沖	oisd
沢	ozed
況	okld
洩	oxpd
洶	oxsd
浄	ojkd
浹	ojxd
涇	ojkd
涙	olwd
涼	olld
淚	olwd
淥	olud
淨	ojkd
淪	olyd
淵	oyrd
淶	oldd
淺	oqmd
渇	oked
済	ojid
渉	oued
渋	osed
渓	oxid
渙	ohrd
減	ojmd
渦	ogod
渦	owod
測	oced
渾	ohyd
湊	oczd
湞	ovfd
湧	oysd
湯	othd
満	omjd
溈	owwd
準	ovyd
溝	ogzd
溫	owfd
溮	ouid
溳	oyyd
溼	ouid
滄	ochd
滅	ompa
滌	odid
滎	oxkc
滎	oykc
滝	olsd
滬	ohud
滯	ovid
滲	oufd
滷	olua
滸	ohud
滸	oxud
滻	oijd
滾	ogyd
滿	omjd
漁	oyud
漚	ooud
漢	ohjd
漣	olmd
漬	ozid
漲	ovhd
漵	oxud
漸	ojmd
漿	ojld
潁	oykp
潑	opod
潔	ojpd
潛	oqmd
潤	oryd
潯	oxyd
潰	okvd
潷	obid
潿	owwd
澀	osed
澆	ojnd
澇	olcd
澗	ojmd
澠	ommd
澠	ougd
澤	ozed
澦	oyud
澩	oxtx
澮	ohvd
澮	okkd
澱	odmd
澾	odad
濁	ovod
濃	onsd
濘	onkd
濟	ojid
濤	otcd
濫	oljd
濰	owwd
濱	obbd
濺	ojmd
濼	olod
濾	olvd
瀅	oykd
瀆	odud
瀉	oxpd
瀋	oufd
瀏	olqd
瀕	obbd
瀘	olud
瀝	olid
瀟	oxnd
瀠	oykd
瀦	ovud
瀧	olsd
瀧	ould
瀨	oldd
瀬	oldd
瀲	olmd
瀾	oljd
灃	ofgd
灄	oued
灑	osad
灘	otjd
灝	ohcd
灠	oljd
灣	owjd
灤	olrd
灩	oyjd
災	ozdb
為	owwl
烏	owup
烴	otkh
無	omoa
無	owua
焼	oych
煉	olmh
煒	owwh
煙	oyjh
煢	oqsc
煥	ohrh
煩	ofjh
煬	oyhh
熒	oykc
熗	oqlh
熱	oreh
熾	oiih
燁	oyeh
燈	odgh
燉	odyh
燒	ouch
燙	othh
燜	omfh
營	oykc
燦	ocjh
燭	ovuh
燴	ohvh
燶	onsh
燼	ojbh
燾	odch
燾	otch
爍	ouoh
爐	oluh
爛	oljh
爭	ovgd
爺	oyef
爾	oerd
牆	oqlt
牘	odup
牽	oqmd
犖	oloc
犠	oxin
犢	odun
犧	oxin
狀	ovld
狹	oxxq
狽	obwq
猙	ovgq
猟	olpq
猶	oyzq
猻	osyq
獁	omaq
獄	oyuq
獅	ouiq
獎	ojld
獣	ouzq
獨	oduq
獪	okkq
獫	oxmq
獮	oxmq
獰	onkq
獲	ohoc
獵	olpq
獷	oglq
獸	ouzb
獺	otaq
獻	oxmu
獼	omiq
玀	oloq
現	oxmw
琺	ofaw
琿	ohvw
琿	ohyw
瑋	owww
瑠	olqw
瑣	osow
瑤	oycw
瑩	oykc
瑪	omaw
瑲	ochw
瑲	oqlw
㑳	ovzr
璉	olmw
璣	ojiw
璦	oaiw
璫	odhw
環	ohrw
璵	oyuw
璽	oxid
瓊	oqsw
瓏	olsw
瓔	oykw
瓚	ozjw
甌	oouk
甕	owgb
產	oijl
産	oijl
畝	omuw
畢	obiu
畫	ohxa
異	oyiv
畳	otpt
當	odhx
疇	oizt
疊	odpy
疎	ouuv
痙	ojkb
痩	ouzb
痺	obib
痺	obwb
痺	opib
瘂	oyab
瘋	ofgb
瘍	oyhb
瘓	ohrb
㘚	ohjk
瘞	oyib
瘡	oilb
瘧	ontb
瘧	oycb
瘻	olzb
療	olnb
癆	olcb
癇	oxmb
癉	odjb
癒	oyub
癘	olib
癟	obpb
癢	oyhb
癤	ojpb
癧	olib
癩	oldb
癬	oxrb
癭	oykb
癮	oybb
癰	oysb
癱	otjb
癲	odmb
発	ofav
發	ofav
皁	ozcb
皚	oaib
皰	opcb
皸	ojyb
皺	ovzd
盜	odcm
盞	ovjm
盡	ojbu
監	ojmm
盤	opjm
盧	olua
県	oxmj
眥	ozio
眾	ovsr
睜	ovgo
睞	oldo
睪	ogcp
瞘	okzo
瞞	omjo
瞼	ojmo
矚	ovuo
矯	ojnu
砕	osvu
硤	oxxu
硨	oieu
硯	oyju
碩	ouou
碭	odhu
確	oqtu
碼	omau
磚	ovru
磠	oluu
磣	oifu
磧	oqiu
磯	ojiu
磽	oqnu
礄	oqnu
礆	ojmu
礎	oiuu
礙	oaiu
礦	oklu
礪	oliu
礫	oliu
礬	ofju
礱	olsl
祕	obih
祕	omih
㥮	ovzx
祿	olup
禍	ohop
禎	ovfp
禕	oyip
禡	omap
禪	oijp
禪	oujp
禮	olip
禰	omip
禱	odcp
禿	otuh
秈	oxmm
稅	ouvh
稈	ogjh
稜	olgm
稜	olkm
稟	obkw
種	oish
種	ovsh
稱	oifh
稱	oigh
稲	odch
穀	oguu
穂	osvh
穌	osua
積	ojih
穎	oykp
穏	owfh
穠	onsh
穡	oseh
穢	ohvh
穩	owfh
穫	ohoh
穭	olvh
㩳	ossf
窓	oilb
窩	owob
窪	owad
窮	oqsb
窯	oycb
窶	ojub
窺	okvb
竄	ocrb
竅	oqnb
竇	odzb
竊	oqpb
竜	olsl
競	ojkl
筆	obiv
筍	osyv
筧	ojmv
箇	ogev
箋	ojmv
箏	ovgv
節	ojpc
範	ofjc
築	ovuv
篋	oqpv
篤	oduv
篩	oudv
篳	obiv
簀	ozev
簍	olzv
簞	odjv
簡	ojmv
簣	okvv
簫	oxnv
簾	olmb
籃	oljv
籌	oizv
籙	oluv
籜	otov
籟	oldv
籠	olsv
籤	oqmv
籩	obmv
籪	odrv
籬	oliv
籮	olov
籲	oxuk
籲	oyuk
粋	otvm
粛	oxuv
粧	ovlm
粵	oytp
糝	oufm
糞	offm
糧	ollm
糲	olim
糴	odir
糶	otne
糾	ojqs
紀	ojis
紂	ovzs
紅	ohss
紆	oyus
紇	oges
紇	ohes
紈	owjs
紉	orfs
紋	owfs
納	onas
紐	onqs
紓	ouus
純	oiys
紕	obis
紕	opis
紗	ouas
紙	ovis
級	ojis
紛	offs
紜	oyys
紝	orfs
紡	ofhs
細	oxis
紱	ofus
紲	oxps
紳	oufs
紵	ovus
紹	oucs
紺	ogjs
紼	ofus
紿	odds
絀	oius
終	ovss
組	ozus
絆	objs
経	ojks
絎	ohhs
結	ojps
絕	ojts
絛	otcs
絝	okus
絞	ojns
絡	olcs
絡	olos
絢	oxrs
給	ogws
給	ojis
絨	orss
絰	odps
統	otss
絲	osia
絳	ojls
絵	ohvs
絶	ojts
絹	ojrs
綁	obhs
綃	oxns
綆	oggs
綈	otis
綏	osvs
經	ojks
継	ojis
続	oxus
綜	ozss
綞	odos
綠	olus
綠	olvs
綢	oizs
綣	oqrs
綬	ouzs
維	owws
綰	owjs
綱	oghs
網	owhk
綴	ovvs
綸	ogrs
綸	olys
綹	olqs
綺	oqis
綻	ovjs
綽	oics
綽	oios
綾	olks
綿	omms
緄	ogys
緇	ozis
緊	ojbs
緋	ofws
総	ozss
緑	olvs
緒	oxus
緗	oxls
緘	ojms
緙	okes
線	oxms
緝	ojis
緞	odrs
締	odis
緡	ombs
緣	oyrs
緦	osis
編	obms
緩	ohrs
緬	omms
緯	owws
緱	ogzs
緲	omns
練	olms
緶	obms
緹	otis
緻	ovis
縁	oyrv
縄	ougs
縈	oykc
縉	ojbs
縊	oyis
縋	ovvs
縐	ovzs
縑	ojms
縕	owfs
縕	oyys
縛	ofus
縝	ovfs
縞	ogcs
縟	orus
縣	oxmq
縦	ozss
縫	ofgs
縭	olis
縮	osos
縱	ozss
縲	olws
縵	omjs
縶	ovis
縷	olvs
縹	opns
總	ozsx
績	ojis
繃	obgs
繅	oscs
繆	omns
繆	omqs
繆	omzs
繊	ovis
繒	ozgs
織	ovis
繕	oujs
繚	olns
繞	orcs
繡	oxqs
繢	ohvs
繩	ougs
繪	ohvs
繭	ojmc
繮	ojls
繯	ohrs
繰	oqns
繰	oscs
繳	ojns
繳	ovos
繹	oyis
繼	ojis
繽	obbs
繾	oqms
纈	oxps
纊	okls
續	oxus
纏	oijs
纓	oyks
纖	oqms
纖	oxms
纘	ozrs
纜	oljs
罌	oykf
罰	ofas
罵	omam
罷	obas
罷	opis
羅	olos
羆	opih
羈	ojis
羋	omia
羥	oqly
羨	oxmy
義	oyix
羶	odjo
羶	oujo
習	oxig
翬	ohvy
翹	oqna
