一下	yi xx
午夜	wu ye
午宴	wu yj
午时	wu ui
午间	wu jm
半价	bj jx
半决赛	bj jt sd
半唐番	bj th fj
半唐番	bj th pj
半圆形	bj yr xk
半壁江山	bj bi jl uj
半壁河山	bj bi he uj
半天吊	bj tm dn
半导体	bj dc ti
半封建	bj fg jm
半成品	bj ig pb
半文盲	bj wf mh
半旧	bj jq
半晌	bj uh
半月刊	bj yt kj
半点	bj dm
半球	bj qq
半自动	bj zi ds
半边天	bj bm tm
华为	hx ww
华工	hx gs
华灯初上	hx dg iu uh
华盛顿	hx ug dy
华硕	hx uo
华章	hx vh
华罗庚	hx lo gg
华语	hx yu
华贵	hx gv
华阴	hx yb
协作	xp zo
协力	xp li
协议书	xp yi uu
卓识	vo ui
卓跞	vo li
卓跞	vo lo
单个	dj ge
单产	dj ij
单企人	dj qi rf
单企人	ij qi rf
单企人	uj qi rf
单体	dj ti
单刀	dj dc
单单	dj dj
单吊西	dj dn xi
单吊西	ij dn xi
单吊西	uj dn xi
单子	dj zi
单干	dj gj
单打	dj da
单打独斗	dj da du dz
单打独斗	ij da du dz
单打独斗	uj da du dz
单机	dj ji
单片机	dj pm ji
单片机	ij pm ji
单片机	uj pm ji
单线	dj xm
单细胞	dj xi bc
单行本	dj xk bf
单衣	dj yi
单身汉	dj uf hj
单车径	dj ie jk
单车径	dj ju jk
单车径	ij ie jk
单车径	ij ju jk
单车径	uj ie jk
单车径	uj ju jk
单边	dj bm
单项	dj xl
卖主	md vu
卖仔莫摸头	md zd mo mo tz
卖仔莫摸头	md zi mo mo tz
卖价	md jx
卖儿鬻女	md er yu nv
卖剩蔗	md ug ve
卖咸鸭蛋	md xm ya dj
卖国贼	md go zw
卖埠	md bu
卖大包	md da bc
卖大包	md dd bc
卖家	md jx
卖方	md fh
卖猪仔	md vu zd
卖猪仔	md vu zi
卖飞	md fw
卖鱼佬洗身	md yu lc xi uf
南乳花生	nj ru hx ug
南京市	nj jk ui
南国	nj go
南宁市	nj nk ui
南安	nj an
南岭	nj lk
南平	nj pk
南昌市	nj ih ui
南朝鲜	nj ic xm
南朝鲜	nj vc xm
南海	nj hd
南纬	nj ww
南通	nj ts
南阳	nj yh
南面	nj mm
南麓	nj lu
博古知今	bo gu vi jb
博命	bo mk
博士后	bo ui hz
博士生	bo ui ug
博大	bo da
博学	bo xt
博施济众	bo ui ji vs
博物院	bo wu yr
博物馆	bo wu gr
博览	bo lj
博采众长	bo cd vs ih
卜卜脆	bo bo cv
卜卜脆	bo bu cv
卜卜脆	bu bo cv
卜卜脆	bu bu cv
占先	vj xm
占有量	vj yz ll
占领区	vj lk qu
卡特	ka te
卡特	qx te
卡罅	ka xx
卡罅	qx xx
卡脖子	qx bo zi
卡莉	ka li
卡莉	qx li
卢旺达	lu wh da
卢比	lu bi
卢氏	lu ui
卤水	lu uv
卧具	wo ju
卧车	wo ie
卫兵	ww bk
卫国	ww go
卫士	ww ui
卫戍	ww uu
卫戍区	ww uu qu
卫星城	ww xk ig
卫生员	ww ug yr
卫生所	ww ug so
卫生纸	ww ug vi
卫生部	ww ug bu
卫生间	ww ug jm
卫生院	ww ug yr
卫队	ww dv
卬卬	ah ah
卬卬	ah yh
卬卬	yh ah
卬卬	yh yh
印刷业	yb ux ye
印刷品	yb ux pb
印刷机	yb ux ji
印加	yb jx
印发	yb fa
印巴	yb ba
印数	yb uu
印油	yb yz
印泥	yb ni
印第安纳	yb di an na
印行	yb xk
印鉴	yb jm
危亡	ww wh
危危乎	ww ww hu
危及	ww ji
危害性	ww hd xk
危局	ww ju
危急	ww ji
危言危行	ww yj ww hh
危言危行	ww yj ww xk
危重	ww vs
危难	ww nj
即位	ji ww
即便	ji bm
即兴	ji xk
即刻	ji ke
即可	ji ke
即时	ji ui
即映即有	ji yk ji yz
即景	ji jk
即系	ji ji
即系	ji xi
卵细胞	lr xi bc
卷子	jr zi
卸膊	xp bo
厂主	ih vu
厂子	ih zi
厂方	ih fh
厂矿	ih kl
厂规	ih gv
厂部	ih bu
历任	li rf
历史剧	li ui ju
历史性	li ui xk
历史观	li ui gr
历届	li jp
历年	li nm
历时	li ui
历法	li fa
历险	li xm
厉兵秣马	li bk mo ma
压制	ya vi
压力锅	ya li go
压岁钱	ya sv qm
压强	ya ql
压缩机	ya so ji
压轴戏	ya vz xi
厘印	li yb
厘印税	li yb uv
厚实	hz ui
厚德载物	hz de zd wu
原主	yr vu
原则性	yr ze xk
原动力	yr ds li
原址	yr vi
原型	yr xk
原委	yr ww
原子	yr zi
原子核	yr zi he
原子钟	yr zi vs
原审	yr uf
原形	yr xk
原意	yr yi
原故	yr gu
原有	yr yz
原木	yr mu
原样	yr yh
原油	yr yz
原点	yr dm
原物	yr wu
原状	yr vl
原稿	yr gc
原粮	yr ll
原职	yr vi
原著	yr vu
去世	qu ui
去处	qu iu
去粗取精	qu cu qu jk
去职	qu vi
厾背脊	du bw ji
县城	xm ig
县委	xm ww
县市	xm ui
县志	xm vi
县政	xm vg
县级	xm ji
参事	cj ui
参战	cj vj
参拜	cj bd
参照系	cj vc xi
参编	cj bm
参编	uf bm
参考书	cj kc uu
参观团	cj gr tr
参议	cj yi
参议会	cj yi hv
参议员	cj yi yr
参议院	cj yi yr
参谋部	cj mz bu
参谋长	cj mz ih
参谋长	cj mz vh
参预	cj yu
参预	uf yu
叆叇	ai dd
又惊又喜	yz jk yz xi
又红又专	yz hs yz vr
叉电	ia dm
及其	ji qi
及早	ji zc
及时雨	ji ui yu
及格	ji ge
及至	ji vi
友人	yz rf
友协	yz xp
友谊赛	yz yi sd
友达	yz da
双人床	ul rf il
双人舞	ul rf wu
双企人	ul qi rf
双增双节	ul zg ul jp
双月刊	ul yt kj
双格床	ul ge il
双皮奶	ul pi nd
双程证	ul ig vg
双簧管	ul hl gr
双职工	ul vi gs
双轨	ul gv
反之	fj vi
反之亦然	fj vi yi rj
反党	fj dh
反动派	fj ds pd
反叼	fj dn
反响	fj xl
反对派	fj dv pd
反对票	fj dv pn
反应堆	fj yk dv
反悔	fj hv
反攻	fj gs
反潜	fj qm
反观	fj gr
反过来	fj go ld
反过来说	fj go ld uo
反霸	fj ba
反革命	fj ge mk
反黑组	fj hw zu
发令	fa lk
发令枪	fa lk ql
发包	fa bc
发吽哣	fa hs dz
发吽哣	fa hs pz
发嗡风	fa wg fg
发型	fa xk
发声	fa ug
发奋图强	fa ff tu ql
发姣	fa jn
发姣	fa xn
发嬲	fa nn
发展史	fa vj ui
发布会	fa bu hv
发开口梦	fa kd kz mg
发愤	fa ff
发愤图强	fa ff tu ql
发愤忘食	fa ff wh ui
发慌	fa hl
发抆憎	fa mf zg
发抆憎	fa wf zg
发报	fa bc
发掘	fa jt
发改委	fa gd ww
发明家	fa mk jx
发明者	fa mk ve
发泡胶	fa pc jn
发源	fa yr
发炎	fa yj
发烂渣	fa lj va
发球	fa qq
发生器	fa ug qi
发电厂	fa dm ih
发电机	fa dm ji
发电站	fa dm vj
发电量	fa dm ll
发病率	fa bk lv
发端	fa dr
发羊吊	fa yh dn
发脚	fa jn
发脾气	fa pi qi
发臭	fa iz
发花癫	fa hx dm
发茅	fa mc
发行量	fa xk ll
发言稿	fa yj gc
发证	fa vg
发达国家	fa da go jx
发迹	fa ji
发钱寒	fa qm hj
发问	fa wf
发青光	fa qk gl
发鸡盲	fa ji mh
发麻	fa ma
叔仔	uu zd
叔仔	uu zi
叔父	uu fu
取出	qu iu
取景	qu jk
取次	qu ci
取自	qu zi
取道	qu dc
取长补短	qu ih bu dr
受刑	uz xk
受命	uz mk
受审	uz uf
受害人	uz hd rf
受害者	uz hd ve
受敌	uz di
受权	uz qr
受气	uz qi
受灾	uz zd
受理	uz li
受益	uz yi
受益者	uz yi ve
受精	uz jk
受精卵	uz jk lr
受罚	uz fa
受贿	uz hv
受辱	uz ru
受阻	uz zu
受降	uz xl
变化无常	bm hx wu ih
变压器	bm ya qi
变幻	bm hr
变废为宝	bm fw ww bc
变异	bm yi
变性	bm xk
变戏法	bm xi fa
变电所	bm dm so
变电站	bm dm vj
变质	bm vi
变速器	bm su qi
叙事诗	xu ui ui
叙利亚	xu li ya
叙旧	xu jq
口响	kz xl
口哑哑	kz ya ya
口型	kz xk
口子	kz zi
口实	kz ui
口形	kz xk
口水溦	kz uv ww
口水肩	kz uv jm
口疏	kz uu
口痕	kz hf
口福	kz fu
口花花	kz hx hx
口香糖	kz xl th
口齿	kz ii
古书	gu uu
古井无波	gu jk wu bo
古仔	gu zd
古仔	gu zi
古已有之	gu yi yz vi
古拙	gu vo
古文	gu wf
古文字	gu wf zi
古时	gu ui
古月粉	gu yt ff
古灵精怪	gu lk jk gk
古物	gu wu
古生物	gu ug wu
古稀	gu xi
古籍	gu ji
古老石山	gu lc dj uj
古老石山	gu lc ui uj
古董	gu ds
古诗	gu ui
古话	gu hx
古迹	gu ji
古道热肠	gu dc re ih
古都	gu du
古风	gu fg
句式	ju ui
句钟	gz vs
句钟	ju vs
另一方面	lk yi fh mm
另行	lk xk
叨唠	dc lc
只得	vi de
只想	vi xl
只揪	vi jq
只是	vi ui
只眼开只眼闭	vi yj kd vi yj bi
只见	vi jm
只许	vi xu
只身	vi uf
只限	vi xm
只需	vi xu
只须	vi xu
只顾	vi gu
叫作	jn zo
叫做	jn zo
叫嚣	jn xn
叫好	jn hc
叫糊	jn hu
召回	vc hv
召妓	uc ji
召妓	vc ji
召集	vc ji
叮叮当当	dk dk dh dh
可亲可敬	ke qb ke jk
可以攻玉	ke yi gs yu
可使	ke ui
可信度	ke xb du
可卡因	ke ka yb
可可	ke ke
可喜	ke xi
可嘉	ke jx
可怒也	ke nu ye
可按	ke an
可望	ke wh
可疑	ke yi
可知	ke vi
可见光	ke jm gl
可观	ke gr
可视	ke ui
可读性	ke du xk
可鄙	ke bi
台中	td vs
台子	td zi
台属	td uu
台州	td vz
台柱子	td vu zi
台港	td gh
台湾省	td wj ug
台湾省	td wj xk
台独	td du
台盟	td mg
台积电	td ji dm
台联	td lm
台资	td zi
史书	ui uu
史册	ui ce
史前	ui qm
史努比	ui nu bi
史学	ui xt
史官	ui gr
史实	ui ui
史密斯	ui mi si
史料	ui ln
史籍	ui ji
史记	ui ji
史诗	ui ui
史话	ui hx
史迹	ui ji
右便	yz bm
右便	yz pm
右倾	yz qk
右翼	yz yi
右键	yz jm
叶脉	ye md
叶面	ye mm
号召力	hc vc li
号子	hc zi
号手	hc uz
号脉	hc md
司令官	si lk gr
司令部	si lk bu
司务长	si wu vh
司法部	si fa bu
司长	si vh
叹世界	tj ui jp
叻唔切	le wu qp
吁嗟	xu jp
吁嗟	yu jp
吃一堑	ii yi qm
吃不消	ii bu xn
吃老本	ii lc bf
吃苦头	ii ku tz
吃请	ii qk
吃香	ii xl
各业	ge ye
各个	ge ge
各县	ge xm
各大	ge da
各大	ge dd
各异	ge yi
各式	ge ui
各施各法	ge ui ge fa
各省	ge ug
各省	ge xk
各科	ge ke
各自为政	ge zi ww vg
各行其是	ge xk qi ui
吆呼	yc hu
合一	he yi
合乎	he hu
合伙人	he ho rf
合作化	he zo hx
合作社	he zo ue
合剂	he ji
合力	he li
合同制	he ts vi
合同工	he ts gs
合同期	ge ts qi
合同期	he ts qi
合唱团	he ih tr
合围	he ww
合家欢	he jx hr
合并症	he bk vg
合心水	ge xb uv
合心水	he xb uv
合抱	he bc
合格率	he ge lv
合流	he lq
合理化	he li hx
合理性	he li xk
合璧	he bi
合用	he ys
合眼缘	ge yj yr
合眼缘	he yj yr
合算	he sr
合署	he uu
合股	he gu
合肥市	ge fw ui
合肥市	he fw ui
合营	he yk
合订本	he dk bf
合金钢	he jb gh
合龙	he ls
吉信	ji xb
吉凶祸福	ji xs ho fu
吉利	ji li
吉它	ji ta
吉安	ji an
吉庆	ji qk
吉日	ji ri
吉普车	ji pu ie
吉林省	ji lb ug
吉祥	ji xl
吉祥物	ji xl wu
吉隆	ji ls
吉首	ji uz
吊味	dn ww
吊命	dn mk
吊唁	dn yj
吊威也	dn ww ye
吊尾	dn ww
吊环	dn hr
吊瘾	dn yb
吊盐水	dn yj uv
吊起嚟卖	dn qi li md
吊起嚟卖	dn qi lw md
同一性	ts yi xk
同义词	ts yi ci
同乡	ts xl
同事	ts ui
同位素	ts ww su
同化	ts hx
同城	ts ig
同安	ts an
同室操戈	ts ui cc ge
同年	ts nm
同心	ts xb
同心合意	ts xb ge yi
同心合意	ts xb he yi
同志	ts vi
同性	ts xk
同性恋	ts xk lm
同捞同煲	ts lc ts bc
同方	ts fh
同治	ts vi
同济	ts ji
同生共死	ts ug gs si
同盟会	ts mg hv
同盟军	ts mg jy
同盟国	ts mg go
同级	ts ji
同胞	ts bc
同船	ts ir
同道	ts dc
名位	mk ww
名医	mk yi
名古屋	mk gu wu
名噪一时	mk zc yi ui
名城	mk ig
名士	mk ui
名山	mk uj
名山大川	mk uj da ir
名手	mk uz
名次	mk ci
名胜	mk ug
名花	mk hx
名著	mk vu
后世	hz ui
后事	hz ui
后事之师	hz ui vi ui
后仔乸	hz zd na
后仔乸	hz zi na
后任	hz rf
后备军	hz bw jy
后尾枕	hz ww vf
后援	hz yr
后撤	hz ie
后生仔	hz ug zd
后生仔	hz ug zi
后生女	hz ug nv
后继有人	hz ji yz rf
后背	hz bw
后脚	hz jn
后腿	hz tv
后记	hz ji
后辈	hz bw
后进	hz jb
吏治	li vi
向北	xl bw
向导	xl dc
向心力	xl xb li
向日葵	xl ri kv
向着	xl ve
向阳	xl yh
吓倒	xx dc
君主立宪	jy vu li xm
吞吐量	ty tu ll
吞拿鱼	ty na yu
吞食	ty ui
吟沉	yb if
吟诗	yb ui
否决权	fz jt qr
含冤	hj yr
含垢纳污	hj gz na wu
含意	hj yi
含氧量	hj yh ll
含水量	hj uv ll
含笑	hj xn
含糊其词	hj hu qi ci
含羞	hj xq
听晚	tk wj
听朝	tk ic
听朝	tk vc
听朝早	tk ic zc
听朝早	tk vc zc
听诊器	tk vf qi
吮吸	uy xi
启事	qi ui
启功	qi gs
启发性	qi fa xk
启明	qi mk
启明星	qi mk xk
启示	qi ui
启航	qi hh
启运	qi yy
吱吱斟斟	vi vi vf vf
吴江	wu jl
吴牛喘月	wu nq ir yt
吸尘器	xi if qi
吸附	xi fu
吹吹打打	iv iv da da
吻合	wf he
吼声	hz ug
吽哣	hs dz
吽哣	hs pz
呃呃骗骗	ee ee pm pm
呃神骗鬼	ee uf pm gv
呃秤	ee ig
呆呆	dd dd
呆帐	dd vh
呆板	dd bj
呈报	ig bc
呈献	ig xm
呈请	ig qk
告急	gc ji
告慰	gc ww
告捷	gc jp
告终	gc vs
告罄	gc qk
呋喃	fu nj
呔盘	dd pj
呔盘	td pj
员额	yr ee
呜咽	wu ye
呢度	ne do
呢度	ne du
呢度	ni do
呢度	ni du
呢排	ne pd
呢排	ni pd
呢道	ne dc
呢道	ni dc
周口	vz kz
周易	vz yi
周期性	vz qi xk
周界	vz jp
周章	vz vh
周身刀冇张利	vz uf dc mc vh li
周身蚁	vz uf yi
呶呶	nc nc
呼之欲出	hu vi yu iu
呼吸道	hu xi dc
呼牛呼马	hu nq hu ma
命根子	mk gf zi
命水	mk uv
咀嚼	ju jt
咁上下	gj uh xx
咁上近	gj uh jb
咁好	gj hc
咁样	gj yh
咁滞	gj vi
和会	he hv
和头酒	he tz jq
和头酒	ho tz jq
和头酒	hu tz jq
和平共处	he pk gs iu
和平鸽	he pk ge
和煦	he xu
和约	he yt
和衷共济	he vs gs ji
和记	he ji
和记	ho ji
和记	hu ji
和面	ho mm
和黄	he hl
和黄	ho hl
和黄	hu hl
咏叹调	ys tj dn
咕咚	gu ds
咕哩	gu li
咕噜	gu lu
咖啡因	ka fw yb
咨文	zi wf
咪住	mi vu
咪嘴	mi zv
咬唔入	yc wu ru
咬牙切齿	yc ya qp ii
咬紧牙关	yc jb ya gr
咸丰	xm fg
咸唪唥	xm fg lh
咸宁	xm nk
咸湿	xm ui
咸湿佬	xm ui lc
咸肉粽	xm rz zs
咸苦	xm ku
咸虾	xm xx
咸鱼翻生	xm yu fj ug
咿哑	yi ya
咿唔	yi wu
品位	pb ww
品名	pb mk
品性	pb xk
品级	pb ji
哈萨克	ha sa ke
哈萨克族	ha sa ke zu
响声	xl ug
响应	xl yk
响当当	xl dh dh
响彻	xl ie
响音	xl yb
哑语	ya yu
哗变	hx bm
哗啦啦	hx la la
哥白尼	ge bd ni
哨位	uc ww
哨兵	uc bk
哨子	uc zi
哭叫	ku jn
哲学家	ve xt jx
哲理	ve li
哺乳	bu ru
哺乳动物	bu ru ds wu
哺育	bu yu
唁函	yj hj
唆使	so ui
唇枪舌战	iy ql ue vj
唐棣	th dd
唐棣	th di
唐棣	th ti
唐餐	th cj
唔中用	wu vs ys
唔争在	wu vg zd
唔似	wu ui
唔似样	wu ui yh
唔使	wu ui
唔使恨	wu ui hf
唔使慌	wu ui hl
唔使指拟	wu ui vi ni
唔使问阿贵	wu ui wf aa gv
唔使问阿贵	wu ui wf ee gv
唔关事	wu gr ui
唔制	wu vi
唔化	wu hx
唔化算	wu hx sr
唔单只	wu dj vi
唔单只	wu ij vi
唔单只	wu uj vi
唔啱	wu nj
唔啱	wu yj
唔嗲唔吊	wu dx wu dn
唔在讲	wu zd jl
唔够喉	wu gz hz
唔定	wu dk
唔开胃	wu kd ww
唔得掂	wu de dm
唔得掂	wu dw dm
唔得闲	wu de xm
唔得闲	wu dw xm
唔志在	wu vi zd
唔忿气	wu ff qi
唔怪之得	wu gk vi de
唔怪之得	wu gk vi dw
唔抵得	wu di de
唔抵得	wu di dw
唔拘	wu ju
唔捞	wu lc
唔汤唔水	wu th wu uv
唔清唔楚	wu qk wu iu
唔熟唔食	wu uu wu si
唔熟唔食	wu uu wu ui
唔熟唔食	wu uu wu yi
唔熟唔食	wu uz wu si
唔熟唔食	wu uz wu ui
唔熟唔食	wu uz wu yi
唔熟性	wu uu xk
唔熟性	wu uz xk
唔特止	wu te vi
唔生性	wu ug xk
唔知丑	wu vi iz
唔等使	wu dg ui
唔精神	wu jk uf
唔系人噉品	wu ji rf dj pb
唔系人噉品	wu xi rf dj pb
唔系嘅话	wu ji ge hx
唔系嘅话	wu xi ge hx
唔系路	wu ji lu
唔系路	wu xi lu
唔紧要	wu jb yc
唔经唔觉	wu jk wu jn
唔经唔觉	wu jk wu jt
唔自在	wu zi zd
唔觉意	wu jn yi
唔觉意	wu jt yi
唔觉眼	wu jn yj
唔觉眼	wu jt yj
唔话得	wu hx de
唔话得	wu hx dw
唔该你	wu gd ni
唔通气	wu ts qi
唞气	dz qi
唞气	tc qi
唧嘛	ji ma
售予	uz yu
售前	uz qm
售卖	uz md
售票员	uz pn yr
售票处	uz pn iu
售货	uz ho
售货员	uz ho yr
唯命是听	ww mk ui tk
唯我	ww wo
唯物	ww wu
唯物史观	ww wu ui gr
唯物论	ww wu ly
唱作人	ih zo rf
唱反调	ih fj dn
唱口	ih kz
唱和	ih he
唱喏	ih no
唱喏	ih re
唱段	ih dr
唱法	ih fa
唱片	ih pm
唱词	ih ci
唾面自干	to mm zi gj
啁啾	vz jq
啄木鸟	vo mu nn
商业界	uh ye jp
商会	uh hv
商住两用	uh vu ll ys
商务	uh wu
商品房	uh pb fh
商品粮	uh pb ll
商埠	uh bu
商报	uh bc
商机	uh ji
商界	uh jp
商船	uh ir
商议	uh yi
商贾	uh gu
啦啦声	la la ug
啦啦队	la la dv
啰啰挛	lo lo lr
啰噃	lo bo
啰柚	lo yz
啱先	nj xm
啱先	yj xm
啱听	nj tk
啱听	yj tk
啱啱	nj nj
啱啱	nj yj
啱啱	yj nj
啱啱	yj yj
啲咁多	di gj do
喀嚓	ka ia
善人	uj rf
善有善报	uj yz uj bc
善本	uj bf
善气迎人	uj qi yk rf
善长仁翁	uj ih rf wg
善长仁翁	uj vh rf wg
喊包	hj bc
喊惊	hj jk
喊苦喊忽	hj ku hj hu
喊话	hj hx
喐亲	yu qb
喐亲	yu qk
喐手	yu uz
喘气	ir qi
喜出望外	xi iu wh wd
喜剧片	xi ju pm
喜报	xi bc
喜气	xi qi
喜洋洋	xi yh yh
喜滋滋	xi zi zi
喜闻	xi wf
喜雨	xi yu
喜鹊	xi qt
喷吐	pf tu
喷漆	pf qi
喷雾器	pf wu qi
喽口	lz kz
嗓子眼	sh zi yj
嗣后	si hz
嗰头近	ge tz jb
嗰度	ge do
嗰度	ge du
嗰排	ge pd
嗰道	ge dc
嗰阵	ge vf
嘀咕	di gu
嘅啫	ge ui
嘅啫	ge ve
嘅嗻	ge ve
嘅嗻	ge vu
嘈喧巴闭	cc xr ba bi
嘈嘈闭	cc cc bi
嘈生晒	cc ug ud
嘉兴	jx xk
嘉峪关	jx yu gr
嘉陵	jx lk
嘥心机	sd xb ji
嘥气	sd qi
嘱咐	vu fu
嘲哳	ic va
嘲哳	vc va
噉样	dj yh
噍噍	jn jn
器乐	qi yt
器件	qi jm
器物	qi wu
器重	qi vs
嚆矢	hc ui
嚎啕	hc tc
嚎啕大哭	hc tc da ku
嚎啕大哭	hc tc dd ku
囊萤照读	nh yk vc du
囊萤照读	nh yk vc dz
囚室	qq ui
四下	si xx
四世同堂	si ui ts th
四书	si uu
四人帮	si rf bh
四化	si hx
四周	si vz
四块半	si kk bj
四处奔波	si iu bf bo
四季	si ji
四川省	si ir ug
四平	si pk
四时	si ui
四眼佬	si yj lc
四边	si bm
回乡	hv xl
回击	hv ji
回南	hv nj
回响	hv xl
回填	hv tm
回声	hv ug
回复	hv fu
回头客	hv tz ke
回头路	hv tz lu
回忆	hv yi
回收率	hv uz lv
回游	hv yz
回炉	hv lu
回访	hv fh
回路	hv lu
回首	hv uz
回马枪	hv ma ql
因人制宜	yb rf vi yi
因子	yb zi
因时制宜	yb ui vi yi
因由	yb yz
因缘	yb yr
囡囡	nj nj
团中央	tr vs yh
团体操	tr ti cc
团员	tr yr
团拜	tr bd
团支部	tr vi bu
团旗	tr qi
团日	tr ri
团职	tr vi
团部	tr bu
园丁	yr dk
园地	yr di
园子	yr zi
园艺	yr yi
园长	yr vh
困难户	ky nj hu
围垦	ww kf
围巾	ww jb
围歼	ww jm
围追	ww vv
囹圄	lk yu
固之然	gu vi rj
固始	gu ui
固定资产	gu dk zi ij
固步自封	gu bu zi fg
固沙林	gu ua lb
固然之	gu rj vi
固话	gu hx
固顶	gu dk
国书	go uu
国事	go ui
国产货	go ij ho
国企	go qi
国会	go hv
国体	go ti
国内外	go nw wd
国务卿	go wu qk
国务院	go wu yr
国势	go ui
国史	go ui
国君	go jy
国境线	go jk xm
国威	go ww
国宴	go yj
国宾馆	go bb gr
国富民强	go fu mb ql
国库券	go ku qr
国度	go du
国情	go qk
国政	go vg
国教	go jn
国文	go wf
国旗	go qi
国格	go ge
国民军	go mb jy
国民经济	go mb jk ji
国界	go jp
国立	go li
国籍	go ji
国美	go mw
国花	go hx
国语	go yu
国都	go du
国防军	go fh jy
国防部	go fh bu
国际主义	go ji vu yi
国际法	go ji fa
图书室	tu uu ui
图表	tu bn
图象	tu xl
圆圆	yr yr
圆圈	yr qr
圆寂	yr ji
圆明园	yr mk yr
圆木警枕	yr mu jk vf
圆柱	yr vu
圆珠笔	yr vu bi
圆蹄	yr ti
圈阅	qr yt
土专家	tu vr jx
土丘	tu qq
土坡	tu po
土墙	tu ql
土家族	tu jx zu
土层	tu cg
土布	tu bu
土库曼	tu ku mj
土改	tu gd
土政策	tu vg ce
土星	tu xk
土法	tu fa
土石方	tu ui fh
土著	tu vu
土话	tu hx
土质	tu vi
圣人	ug rf
圣地	ug di
圣旨	ug vi
圣母	ug mu
圣水	ug uv
圣诞树	ug dj uu
在先	zd xm
在华	zd hx
在心	zd xb
在押犯	zd ya fj
在教	zd jn
在校生	zd xn ug
在此	zd ci
在读	zd du
在逃犯	zd tc fj
在野党	zd ye dh
圪垯	ge da
地下室	di xx ui
地下水	di xx uv
地中海	di vs hd
地价	di jx
地利	di li
地力	di li
地动仪	di ds yi
地势	di ui
地区性	di qu xk
地图集	de tu ji
地图集	di tu ji
地块	di kk
地域	di yu
地基	di ji
地处	di iu
地头	di tz
地头虫	de tz is
地头虫	di tz is
地委	di ww
地学	di xt
地层	di cg
地市	de ui
地市	di ui
地形图	di xk tu
地心	di xb
地摊	di tj
地支	di vi
地方志	di fh vi
地方戏	di fh xi
地方病	di fh bk
地方税	di fh uv
地狱	di yu
地球仪	di qq yi
地理学	di li xt
地界	di jp
地痞	di pi
地矿	di kl
地磁	di ci
地租	di zu
地空	de ks
地空	di ks
地窖	di jn
地胆	de dj
地胆	di dj
地膜	di mo
地表水	di bn uv
地质	di vi
地道战	di dc vj
地面水	di mm uv
圹埌	kl lh
场子	ih zi
场站	ih vj
场长	ih vh
场院	ih yr
均势	jy ui
均居	jy ju
均应	jy yk
均真	jy vf
坎坎坷坷	kj kj ke ke
坎坷不平	kj ke bu pk
坎头埋墙	kj tz md ql
坎头埋墙	kj tz mj ql
坏书	hk uu
坐以待旦	zo yi dd dj
坐像	zo xl
坐商	zo uh
坐坐	zo zo
坐失	zo ui
坐定粒六	zo dk li lq
坐定粒六	zo dk li lu
坐视	zo ui
坐霸王车	zo ba wh ie
坐霸王车	zo ba wh ju
块状	kk vl
坚冰	jm bk
坚定	jm dk
坚实	jm ui
坚忍不拔	jm rf bu ba
坚持不渝	jm ii bu yu
坚果	jm go
坚毅	jm yi
坚苦卓绝	jm ku vo jt
坚韧	jm rf
坛子	tj zi
坟头	ff tz
坟茔	ff yk
坦桑尼亚	tj sh ni ya
坦诚相见	tj ig xl jm
坦途	tj tu
坷垃	ke la
垃圾参	la ji cj
垃圾参	la ji uf
垓埏	gd uj
垓埏	gd yj
垫子	dm zi
埋便	md bm
埋便	md pm
埋便	mj bm
埋便	mj pm
埋单	md dj
埋尾	md ww
埋尾	mj ww
埋数	md uu
埋数	mj uu
埋站	md vj
埋站	mj vj
城关	ig gr
城根	ig gf
城郊	ig jn
城郭	ig go
城里	ig li
城里人	ig li rf
城防	ig fh
城际	ig ji
埕埕塔塔	ig ig ta ta
培土	pw tu
培植	pw vi
培训班	pw xy bj
基于	ji yu
基围虾	ji ww xx
基址	ji vi
基干	ji gj
基建	ji jm
基数	ji uu
基本上	ji bf uh
基本功	ji bf gs
基本法	ji bf fa
基点	ji dm
基督	ji du
基石	ji ui
基础课	ji iu ke
基站	ji vj
基线	ji xm
基诺	ji no
基辅	ji fu
基金会	ji jb hv
堂倌	th gr
堂吃	th ii
堂座	th zo
堆放	dv fh
堆砌	dv qi
堤坝	di ba
堤溃蚁穴	di kv yi xt
堤防	di fh
堪称	kj ig
堪称一绝	kj ig yi jt
堵住	du vu
塌方	ta fh
塑料布	su ln bu
塑料管	su ln gr
塔吉克	ta ji ke
塔吉克族	ta ji ke zu
塔斯社	ta si ue
塔里木	ta li mu
塞失马盲人瞎马	sd ui ma mh rf xx ma
塞失马盲人瞎马	se ui ma mh rf xx ma
塞浦露斯	sd pu lu si
塞浦露斯	sd pu lz si
塞浦露斯	se pu lu si
塞浦露斯	se pu lz si
填平	tm pk
填料	tm ln
填空	tm ks
填词	tm ci
境地	jk di
境遇	jk yu
墒情	uh qk
墓地	mu di
墓室	mu ui
墓志	mu vi
墓道	mu dc
墙基	ql ji
墙报	ql bc
墙脚	ql jn
增常	zg ih
增殖	zg vi
增至	zg vi
增速	zg su
增长率	zg vh lv
墟冚	xu kj
墨盒	mo he
墨绿色	mo lv se
壁炉	bi lu
壁画	bi hx
壁纸	bi vi
壅蔽	ys bi
士多啤梨	ui do pi li
士多房	ui do fh
士大夫	ui da fu
士巴拿	ui ba na
士担	ui dj
士气	ui qi
士碌架	ui lu jx
士达胆	ui da dj
壬午	rf wu
壬子	rf zi
壬寅	rf yb
