一下	yixx
只见	vijm
只许	vixu
只身	viuf
只限	vixm
只需	vixu
只须	vixu
只顾	vigu
叫作	jnzo
叫做	jnzo
叫嚣	jnxn
叫好	jnhc
叫糊	jnhu
召回	vchv
召妓	ucji
召妓	vcji
召集	vcji
叮叮当当	dddd
可亲可敬	kqkj
可以攻玉	kygy
可使	keui
可信度	kxdu
可卡因	kkyb
可可	keke
可喜	kexi
可嘉	kejx
可怒也	knye
可按	kean
可望	kewh
可疑	keyi
可知	kevi
可见光	kjgl
可观	kegr
可视	keui
可读性	kdxk
可鄙	kebi
台中	tdvs
台子	tdzi
台属	tduu
台州	tdvz
台柱子	tvzi
台港	tdgh
台湾省	twug
台湾省	twxk
台独	tddu
台盟	tdmg
台积电	tjdm
台联	tdlm
台资	tdzi
史书	uiuu
史册	uice
史前	uiqm
史努比	unbi
史学	uixt
史官	uigr
史实	uiui
史密斯	umsi
史料	uiln
史籍	uiji
史记	uiji
史诗	uiui
史话	uihx
史迹	uiji
右便	yzbm
右便	yzpm
右倾	yzqk
右翼	yzyi
右键	yzjm
叶脉	yemd
叶面	yemm
号召力	hvli
号子	hczi
号手	hcuz
号脉	hcmd
司令官	slgr
司令部	slbu
司务长	swvh
司法部	sfbu
司长	sivh
叹世界	tujp
叻唔切	lwqp
吁嗟	xujp
吁嗟	yujp
吃一堑	iyqm
吃不消	ibxn
吃老本	ilbf
吃苦头	iktz
吃请	iiqk
吃香	iixl
各业	geye
各个	gege
各县	gexm
各大	geda
各大	gedd
各异	geyi
各式	geui
各施各法	gugf
各省	geug
各省	gexk
各科	geke
各自为政	gzwv
各行其是	gxqu
吆呼	ychu
合一	heyi
合乎	hehu
合伙人	hhrf
合作化	hzhx
合作社	hzue
合剂	heji
合力	heli
合同制	htvi
合同工	htgs
合同期	gtqi
合同期	htqi
合唱团	hitr
合围	heww
合家欢	hjhr
合并症	hbvg
合心水	gxuv
合心水	hxuv
合抱	hebc
合格率	hglv
合流	helq
合理化	hlhx
合理性	hlxk
合璧	hebi
合用	heys
合眼缘	gyyr
合眼缘	hyyr
合算	hesr
合署	heuu
合股	hegu
合肥市	gfui
合肥市	hfui
合营	heyk
合订本	hdbf
合金钢	hjgh
合龙	hels
吉信	jixb
吉凶祸福	jxhf
吉利	jili
吉它	jita
吉安	jian
吉庆	jiqk
吉日	jiri
吉普车	jpie
吉林省	jlug
吉祥	jixl
吉祥物	jxwu
吉隆	jils
吉首	jiuz
吊味	dnww
吊命	dnmk
吊唁	dnyj
吊威也	dwye
吊尾	dnww
吊环	dnhr
吊瘾	dnyb
吊盐水	dyuv
吊起嚟卖	dqlm
同一性	tyxk
同义词	tyci
同乡	tsxl
同事	tsui
同位素	twsu
同化	tshx
同城	tsig
同安	tsan
同室操戈	tucg
同年	tsnm
同心	tsxb
同心合意	txgy
同心合意	txhy
同志	tsvi
同性	tsxk
同性恋	txlm
同捞同煲	tltb
同方	tsfh
同治	tsvi
同济	tsji
同生共死	tugs
同盟会	tmhv
同盟军	tmjy
同盟国	tmgo
同级	tsji
同胞	tsbc
同船	tsir
同道	tsdc
名位	mkww
名医	mkyi
名古屋	mgwu
名噪一时	mzyu
名城	mkig
名士	mkui
名山	mkuj
名山大川	mudi
名手	mkuz
名次	mkci
名胜	mkug
名花	mkhx
名著	mkvu
后世	hzui
后事	hzui
后事之师	huvu
后仔乸	hzna
后任	hzrf
后备军	hbjy
后尾枕	hwvf
后援	hzyr
后撤	hzie
后生仔	huzd
后生仔	huzi
后生女	hunv
后继有人	hjyr
后背	hzbw
后脚	hzjn
后腿	hztv
后记	hzji
后辈	hzbw
后进	hzjb
吏治	livi
向北	xlbw
向导	xldc
向心力	xxli
向日葵	xrkv
向着	xlve
向阳	xlyh
吓倒	xxdc
君主立宪	jvlx
吞吐量	ttll
吞拿鱼	tnyu
吞食	tyui
吟沉	ybif
吟诗	ybui
否决权	fjqr
含冤	hjyr
含垢纳污	hgnw
含意	hjyi
含氧量	hyll
含水量	hull
含笑	hjxn
含糊其词	hhqc
含羞	hjxq
听晚	tkwj
听朝	tkic
听朝	tkvc
听朝早	tizc
听朝早	tvzc
听诊器	tvqi
吮吸	uyxi
启事	qiui
启功	qigs
启发性	qfxk
启明	qimk
启明星	qmxk
启示	qiui
启航	qihh
启运	qiyy
吱吱斟斟	vvvv
吴江	wujl
吴牛喘月	wniy
吸尘器	xiqi
吸附	xifu
吹吹打打	iidd
吻合	wfhe
吼声	hzug
吽哣	hsdz
吽哣	hspz
呃呃骗骗	eepp
呃神骗鬼	eupg
呃秤	eeig
呆呆	dddd
呆帐	ddvh
呆板	ddbj
呈报	igbc
呈献	igxm
呈请	igqk
告急	gcji
告慰	gcww
告捷	gcjp
告终	gcvs
告罄	gcqk
呋喃	funj
呔盘	ddpj
呔盘	tdpj
员额	yree
呜咽	wuye
呢度	nedo
呢度	nedu
呢度	nido
呢度	nidu
呢排	nepd
呢排	nipd
呢道	nedc
呢道	nidc
周口	vzkz
周易	vzyi
周期性	vqxk
周界	vzjp
周章	vzvh
周身刀冇张利	vudl
周身蚁	vuyi
呶呶	ncnc
呼之欲出	hvyi
呼吸道	hxdc
呼牛呼马	hnhm
命根子	mgzi
命水	mkuv
咀嚼	jujt
咁上下	guxx
咁上近	gujb
咁好	gjhc
咁样	gjyh
咁滞	gjvi
和会	hehv
和头酒	htjq
和平共处	hpgi
和平鸽	hpge
和煦	hexu
和约	heyt
和衷共济	hvgj
和记	heji
和记	hoji
和记	huji
和面	homm
和黄	hehl
和黄	hohl
和黄	huhl
咏叹调	ytdn
咕咚	guds
咕哩	guli
咕噜	gulu
咖啡因	kfyb
咨文	ziwf
咪住	mivu
咪嘴	mizv
咬唔入	ywru
咬牙切齿	yyqi
咬紧牙关	yjyg
咸丰	xmfg
咸唪唥	xflh
咸宁	xmnk
咸湿	xmui
咸湿佬	xulc
咸肉粽	xrzs
咸苦	xmku
咸虾	xmxx
咸鱼翻生	xyfu
咿哑	yiya
咿唔	yiwu
品位	pbww
品名	pbmk
品性	pbxk
品级	pbji
哈萨克	hske
哈萨克族	hskz
响声	xlug
响应	xlyk
响当当	xddh
响彻	xlie
响音	xlyb
哑语	yayu
哗变	hxbm
哗啦啦	hlla
哥白尼	gbni
哨位	ucww
哨兵	ucbk
哨子	uczi
哭叫	kujn
哲学家	vxjx
哲理	veli
哺乳	buru
哺乳动物	brdw
哺育	buyu
唁函	yjhj
唆使	soui
唇枪舌战	iquv
唐棣	thdd
唐棣	thdi
唐棣	thti
唐餐	thcj
唔中用	wvys
唔争在	wvzd
唔似	wuui
唔似样	wuyh
唔使	wuui
唔使恨	wuhf
唔使慌	wuhl
唔使指拟	wuvn
唔使问阿贵	wuwg
唔关事	wgui
唔制	wuvi
唔化	wuhx
唔化算	whsr
唔单只	wdvi
唔单只	wivi
唔单只	wuvi
唔啱	wunj
唔啱	wuyj
唔嗲唔吊	wdwd
唔在讲	wzjl
唔够喉	wghz
唔定	wudk
唔开胃	wkww
唔得掂	wddm
唔得闲	wdxm
唔志在	wvzd
唔忿气	wfqi
唔怪之得	wgvd
唔抵得	wdde
唔抵得	wddw
唔拘	wuju
唔捞	wulc
唔汤唔水	wtwu
唔清唔楚	wqwi
唔熟唔食	wuws
唔熟唔食	wuwu
唔熟唔食	wuwy
唔熟性	wuxk
唔特止	wtvi
唔生性	wuxk
唔知丑	wviz
唔等使	wdui
唔精神	wjuf
唔系人噉品	wjrp
唔系人噉品	wxrp
唔系嘅话	wjgh
唔系嘅话	wxgh
唔系路	wjlu
唔系路	wxlu
唔紧要	wjyc
唔经唔觉	wjwj
唔自在	wzzd
唔觉意	wjyi
唔觉眼	wjyj
唔话得	whde
唔话得	whdw
唔该你	wgni
唔通气	wtqi
唞气	dzqi
唞气	tcqi
唧嘛	jima
售予	uzyu
售前	uzqm
售卖	uzmd
售票员	upyr
售票处	upiu
售货	uzho
售货员	uhyr
唯命是听	wmut
唯我	wwwo
唯物	wwwu
唯物史观	wwug
唯物论	wwly
唱作人	izrf
唱反调	ifdn
唱口	ihkz
唱和	ihhe
唱喏	ihno
唱喏	ihre
唱段	ihdr
唱法	ihfa
唱片	ihpm
唱词	ihci
唾面自干	tmzg
啁啾	vzjq
啄木鸟	vmnn
商业界	uyjp
商会	uhhv
商住两用	uvly
商务	uhwu
商品房	upfh
商品粮	upll
商埠	uhbu
商报	uhbc
商机	uhji
商界	uhjp
商船	uhir
商议	uhyi
商贾	uhgu
啦啦声	llug
啦啦队	lldv
啰啰挛	lllr
啰噃	lobo
啰柚	loyz
啱先	njxm
啱先	yjxm
啱听	njtk
啱听	yjtk
啱啱	njnj
啱啱	njyj
啱啱	yjnj
啱啱	yjyj
啲咁多	dgdo
喀嚓	kaia
善人	ujrf
善有善报	uyub
善本	ujbf
善气迎人	uqyr
善长仁翁	uirw
善长仁翁	uvrw
喊包	hjbc
喊惊	hjjk
喊苦喊忽	hkhh
喊话	hjhx
喐亲	yuqb
喐亲	yuqk
喐手	yuuz
喘气	irqi
喜出望外	xiww
喜剧片	xjpm
喜报	xibc
喜气	xiqi
喜洋洋	xyyh
喜滋滋	xzzi
喜闻	xiwf
喜雨	xiyu
喜鹊	xiqt
喷吐	pftu
喷漆	pfqi
喷雾器	pwqi
喽口	lzkz
嗓子眼	szyj
嗣后	sihz
嗰头近	gtjb
嗰度	gedo
嗰度	gedu
嗰排	gepd
嗰道	gedc
嗰阵	gevf
嘀咕	digu
嘅啫	geui
嘅啫	geve
嘅嗻	geve
嘅嗻	gevu
嘈喧巴闭	cxbb
嘈嘈闭	ccbi
嘈生晒	cuud
嘉兴	jxxk
嘉峪关	jygr
嘉陵	jxlk
嘥心机	sxji
嘥气	sdqi
嘱咐	vufu
嘲哳	icva
嘲哳	vcva
噉样	djyh
噍噍	jnjn
器乐	qiyt
器件	qijm
器物	qiwu
器重	qivs
嚆矢	hcui
嚎啕	hctc
嚎啕大哭	htdk
囊萤照读	nyvd
囚室	qqui
四下	sixx
四世同堂	sutt
四书	siuu
四人帮	srbh
四化	sihx
四周	sivz
四块半	skbj
四处奔波	sibb
四季	siji
四川省	siug
四平	sipk
四时	siui
四眼佬	sylc
四边	sibm
回乡	hvxl
回击	hvji
回南	hvnj
回响	hvxl
回填	hvtm
回声	hvug
回复	hvfu
回头客	htke
回头路	htlu
回忆	hvyi
回收率	hulv
回游	hvyz
回炉	hvlu
回访	hvfh
回路	hvlu
回首	hvuz
回马枪	hmql
因人制宜	yrvy
因子	ybzi
因时制宜	yuvy
因由	ybyz
因缘	ybyr
囡囡	njnj
团中央	tvyh
团体操	ttcc
团员	tryr
团拜	trbd
团支部	tvbu
团旗	trqi
团日	trri
团职	trvi
团部	trbu
园丁	yrdk
园地	yrdi
园子	yrzi
园艺	yryi
园长	yrvh
困难户	knhu
围垦	wwkf
围巾	wwjb
围歼	wwjm
围追	wwvv
囹圄	lkyu
固之然	gvrj
固始	guui
固定资产	gdzi
固步自封	gbzf
固沙林	gulb
固然之	grvi
固话	guhx
固顶	gudk
国书	gouu
国事	goui
国产货	giho
国企	goqi
国会	gohv
国体	goti
国内外	gnwd
国务卿	gwqk
国务院	gwyr
国势	goui
国史	goui
国君	gojy
国境线	gjxm
国威	goww
国宴	goyj
国宾馆	gbgr
国富民强	gfmq
国库券	gkqr
国度	godu
国情	goqk
国政	govg
国教	gojn
国文	gowf
国旗	goqi
国格	goge
国民军	gmjy
国民经济	gmjj
国界	gojp
国立	goli
国籍	goji
国美	gomw
国花	gohx
国语	goyu
国都	godu
国防军	gfjy
国防部	gfbu
国际主义	gjvy
国际法	gjfa
图书室	tuui
图表	tubn
图象	tuxl
圆圆	yryr
圆圈	yrqr
圆寂	yrji
圆明园	ymyr
圆木警枕	ymjv
圆柱	yrvu
圆珠笔	yvbi
圆蹄	yrti
圈阅	qryt
土专家	tvjx
土丘	tuqq
土坡	tupo
土墙	tuql
土家族	tjzu
土层	tucg
土布	tubu
土库曼	tkmj
土改	tugd
土政策	tvce
土星	tuxk
土法	tufa
土石方	tufh
土著	tuvu
土话	tuhx
土质	tuvi
圣人	ugrf
圣地	ugdi
圣旨	ugvi
圣母	ugmu
圣水	uguv
圣诞树	uduu
在先	zdxm
在华	zdhx
在心	zdxb
在押犯	zyfj
在教	zdjn
在校生	zxug
在此	zdci
在读	zddu
在逃犯	ztfj
在野党	zydh
圪垯	geda
地下室	dxui
地下水	dxuv
地中海	dvhd
地价	dijx
地利	dili
地力	dili
地动仪	ddyi
地势	diui
地区性	dqxk
地图集	dtji
地块	dikk
地域	diyu
地基	diji
地处	diiu
地头	ditz
地头虫	dtis
地委	diww
地学	dixt
地层	dicg
地市	deui
地市	diui
地形图	dxtu
地心	dixb
地摊	ditj
地支	divi
地方志	dfvi
地方戏	dfxi
地方病	dfbk
地方税	dfuv
地狱	diyu
地球仪	dqyi
地理学	dlxt
地界	dijp
地痞	dipi
地矿	dikl
地磁	dici
地租	dizu
地空	deks
地空	diks
地窖	dijn
地胆	dedj
地胆	didj
地膜	dimo
地表水	dbuv
地质	divi
地道战	ddvj
地面水	dmuv
圹埌	kllh
场子	ihzi
场站	ihvj
场长	ihvh
场院	ihyr
均势	jyui
均居	jyju
均应	jyyk
均真	jyvf
坎坎坷坷	kkkk
坎坷不平	kkbp
坎头埋墙	ktmq
坏书	hkuu
坐以待旦	zydd
坐像	zoxl
坐商	zouh
坐坐	zozo
坐失	zoui
坐定粒六	zdll
坐视	zoui
坐霸王车	zbwi
坐霸王车	zbwj
块状	kkvl
坚冰	jmbk
坚定	jmdk
坚实	jmui
坚忍不拔	jrbb
坚持不渝	jiby
坚果	jmgo
坚毅	jmyi
坚苦卓绝	jkvj
坚韧	jmrf
坛子	tjzi
坟头	fftz
坟茔	ffyk
坦桑尼亚	tsny
坦诚相见	tixj
坦途	tjtu
坷垃	kela
垃圾参	ljcj
垃圾参	ljuf
垓埏	gduj
垓埏	gdyj
垫子	dmzi
埋便	mdbm
埋便	mdpm
埋便	mjbm
埋便	mjpm
埋单	mddj
埋尾	mdww
埋尾	mjww
埋数	mduu
埋数	mjuu
埋站	mdvj
埋站	mjvj
城关	iggr
城根	iggf
城郊	igjn
城郭	iggo
城里	igli
城里人	ilrf
城防	igfh
城际	igji
埕埕塔塔	iitt
培土	pwtu
培植	pwvi
培训班	pxbj
基于	jiyu
基围虾	jwxx
基址	jivi
基干	jigj
基建	jijm
基数	jiuu
基本上	jbuh
基本功	jbgs
基本法	jbfa
基点	jidm
基督	jidu
基石	jiui
基础课	jike
基站	jivj
基线	jixm
基诺	jino
基辅	jifu
基金会	jjhv
堂倌	thgr
堂吃	thii
堂座	thzo
堆放	dvfh
堆砌	dvqi
堤坝	diba
堤溃蚁穴	dkyx
堤防	difh
堪称	kjig
堪称一绝	kiyj
堵住	duvu
塌方	tafh
塑料布	slbu
塑料管	slgr
塔吉克	tjke
塔吉克族	tjkz
塔斯社	tsue
塔里木	tlmu
塞失马盲人瞎马	summ
塞浦露斯	spls
填平	tmpk
填料	tmln
填空	tmks
填词	tmci
境地	jkdi
境遇	jkyu
墒情	uhqk
墓地	mudi
墓室	muui
墓志	muvi
墓道	mudc
墙基	qlji
墙报	qlbc
墙脚	qljn
增常	zgih
增殖	zgvi
增至	zgvi
增速	zgsu
增长率	zvlv
墟冚	xukj
墨盒	mohe
墨绿色	mlse
壁炉	bilu
壁画	bihx
壁纸	bivi
壅蔽	ysbi
士多啤梨	udpl
士多房	udfh
士大夫	udfu
士巴拿	ubna
士担	uidj
士气	uiqi
士碌架	uljx
士达胆	uddj
壬午	rfwu
壬子	rfzi
壬寅	rfyb
壬戌	rfxu
壬申	rfuf
壬辰	rfif
壮士	vlui
壮实	vlui
壮志	vlvi
壮歌	vlge
声势	ugui
声名大振	umdv
声威	ugww
声学	ugxt
声张	ugvh
声息	ugxi
声振寰宇	uvhy
声浪	uglh
声称	ugig
声符	ugfu
声誉	ugyu
声誉鹊起	uyqq
声速	ugsu
处世	iuui
处事	iuui
处决	iujt
处境	iujk
处女作	inzo
处女地	indi
处方	iufh
处理机	ilji
处罚	iufa
备件	bwjm
备忘录	bwlu
备料	bwln
备考	bwkc
备耕	bwgg
备课	bwke
备足	bwzu
备齐	bwqi
复信	fuxb
复写	fuxp
复函	fuhj
复刊	fukj
复制品	fvpb
复印机	fyji
复合	fuhe
复员	fuyr
复审	fuuf
复旦	fudj
复杂性	fzxk
复查	fuia
复核	fuhe
复种	fuvs
复线	fuxm
复议	fuyi
复试	fuui
复读	fudu
复赛	fusd
复辟	fubi
复述	fuuu
夏令营	xlyk
夏利	xxli
夏夜	xxye
夏收	xxuz
夏新	xxxb
夏种	xxvs
夏粮	xxll
夏雨雨人	xyyr
夕阳西斜	xyxx
外乡	wdxl
外乡人	wxrf
外交部	wjbu
外伤	wduh
外侮	wdwu
外向型	wxxk
外地人	wdrf
外埠	wdbu
外带	wddd
外敌	wddi
外敷	wdfu
外来人	wlrf
外来户	wlhu
外柔中刚	wrvg
外母	wdmu
外汇券	whqr
外甥	wdug
外相	wdxl
外祖父	wzfu
外线	wdxm
外经	wdjk
外貌	wdmc
外逃	wdtc
外遇	wdyu
多一尐	dydi
多于	doyu
多价	dojp
多价	dojx
多位	doww
多办	dobj
多只香炉多只鬼	dvxg
多哥	doge
多国	dogo
多多少少	dduu
多多益善	ddyu
多媒体	dmti
多得	dode
多得	dodw
多方面	dfmm
多样化	dyhx
多样性	dyxk
多民族	dmzu
多种多样	dvdy
多糖	doth
多级	doji
多边	dobm
多面手	dmuz
夜冷	yelg
夜宿	yesu
夜市	yeui
夜幕低垂	ymdi
夜总会	yzhv
夜战	yevj
夜明珠	ymvu
夜晚黑	ywhw
夜景	yejk
夜校	yexn
夜游	yeyz
夜色柔美	ysrm
夜色柔美	yurm
夜色迷人	ysmr
夜色迷人	yumr
夜莺	yeyk
夜麻麻	ymma
够照	gzvc
够皮	gzpi
够胆死	gdsi
大一统	dyts
大专生	dvug
大业	daye
大个仔	dgzd
大个仔	dgzi
大为	daww
大举	daju
大义	dayi
大乡里	dxli
大书特书	dutu
大事记	duji
大人	darf
大人大姐	drdj
大件事	djui
大任	darf
大任	ddrf
大伙	daho
大会堂	dhth
大作家	dzjx
大使	daui
大使馆	dugr
大侠	daxx
大便	dabm
大信封	dxfg
大做文章	dzwv
大光灯	dgdg
大全	daqr
大关	dagr
大兴	daxk
大兵	dabk
大兵团	dbtr
大刀	dadc
大别山	dbuj
大剂	daji
大剂	ddji
大副	dafu
大力	dali
大力士	dlui
大办	dabj
大动脉	ddmd
大势	daui
大半	dabj
大厅	datk
大叔	dauu
大只佬	dvlc
大只讲	dvjl
大只骡骡	dvll
大号	dahc
大吃大喝	didh
大同	dats
大后方	dhfh
大后日	dhri
大唐	dath
大唐	ddth
大唔透	dwtz
大喊十	dhui
大喜事	dxui
大嘥	dasd
大嘥	ddsd
大器	daqi
大团圆	dtyr
大团结	dtjp
大坝	daba
大型机	dxji
大声公	dugs
大处着眼	divy
大多数	dduu
大大小小	ddxx
大大话话	ddhh
大头佛	dtfo
大头佛	dtfu
大头虾	dtxx
大奖赛	djsd
大好山河	dhuh
大妈	dama
大妗姐	djjp
大姐	dajp
大姐仔	djzd
大姐仔	djzi
大姑娘	dgnl
大婆	dapo
大婆	ddpo
大嫂	dasc
大字	dazi
大字报	dzbc
大客车	dkie
大家庭	djtk
大寨	davd
大将	dajl
大小便	dxbm
大展	davj
大师	daui
大师傅	dufu
大帝	dadi
大帝	dddi
大幅	dafu
大幅度	dfdu
大干	dagj
大床	dail
大床	ddil
大志	davi
大懵	damg
大懵	ddmg
大戏	daxi
大手笔	dubi
大打出手	ddiu
大抵	dadi
大拇指	dmvi
大拿拿	dnna
大捷	dajp
大政	davg
大敌	dadi
大新	daxb
大旱	dahj
大智大勇	dvdy
大曲	daqu
大有文章	dywv
大杀三方	dusf
大杂院	dzyr
大校	daxn
大梁	dall
大棒	dabh
大模斯样	dmsy
大殿	dadm
大气候	dqhz
大水	dauv
大汉	dahj
大汗淋漓	dhll
大法	dafa
大渡河	ddhe
大漠	damo
大潮	daic
大炮友	dbyz
大炮友	dpyz
大牌档	dpdh
大猩猩	dxxk
大班	dabj
大理	dali
大田	datm
大略	dalt
大癫大废	dddf
大白	dabd
大白菜	dbcd
大石责死蟹	ddzx
大石责死蟹	duzx
大破悭囊	dpqn
大礼堂	dlth
大祸	daho
大禹	dayu
大禹	ddyu
大笑	daxn
大笑姑婆	dxgp
大粒佬	dllc
大细超	dxic
大老倌	dlgr
大耳窿	dels
大肆	dasi
大脚	dajn
大腕	dawj
大自然	dzrj
大花大朵	dhdd
大花筒	dhts
大茶饭	difj
大菜	dacd
大葵扇	dkuj
大蒜	dasr
大虾	daxx
大衣	dayi
大西北	dxbw
大要	dayc
大观	dagr
大规模	dgmo
大觉瞓	djff
大觉瞓	djxy
大计	daji
大豆芽	ddya
大败	dabd
大跃进	dyjb
大路	dalu
大路货	dlho
大踏步	dtbu
大轰大嗡	dhdw
大过	dago
大道	dadc
大部	dabu
大部分	dbff
大都	dadu
大都	dadz
大钱	daqm
大镬饭	dhfj
大阪	dabj
大阵仗	dvvh
大陆架	dljx
大雅	daya
大雨	dayu
大雨滂沱	dypt
大雪	daxt
大雪封山	dxfu
大雪纷飞	dxff
大雾	dawu
大革命	dgmk
大飞	dafw
大飞	ddfw
大食会	dshv
大食会	dskk
大食会	duhv
大食会	dukk
大食会	dyhv
大食会	dykk
大食懒	dslj
大食懒	dulj
大食懒	dylj
大饼	dabk
大髀	dabi
大髀	ddbi
大鱼	dayu
大鱼	ddyu
大鸡唔食细米	djwm
大麦	damd
大麻	dama
大鼓	dagu
天上人间	turj
天不怕	tbpa
天主	tmvu
天井	tmjk
天仙	tmxm
天仙局	txju
天公	tmgs
天兵天将	tbtj
天南海北	tnhb
天命	tmmk
天堂尿壶全神贯注	ttnv
天堑	tmqm
天外有天	twyt
天女散花	tnsh
天崩地塌	tbdt
天府	tmfu
天敌	tmdi
天数	tmuu
天文学	twxt
天文馆	twgr
天时	tmui
天时冷	tulg
天时暑热	tuur
天时热	ture
天极	tmji
天梯	tmti
天棚	tmpg
天津市	tjui
天涯比邻	tybl
天生天养	tuty
天穹	tmqs
天网恢恢疏而不漏	twhl
天职	tmvi
天脚底	tjdi
天象	tmxl
天资	tmzi
天遂人愿	tsry
天际	tmji
天险	tmxm
天马行空	tmxk
天高云淡	tgyd
太原	tdyr
太原市	tyui
太和	tdhe
太和	tdho
太和	tdhu
太子爷	tzye
太守	tduz
太平天国	tptg
太平绅士	tpuu
太庙	tdmn
太行山	thuj
夫子	fuzi
央视	yhui
失业	uiye
失主	uivu
失事	uiui
失利	uili
失地	uidi
失声	uiug
失学	uixt
失守	uiuz
失实	uiui
失常	uiih
失态	uitd
失惊无神	ujmu
失惊无神	ujwu
失意	uiyi
失掉	uidn
失控	uiks
失散	uisj
失明	uimk
失火	uiho
失物	uiwu
失真	uivf
失礼	uili
失禁	uijb
失职	uivi
失聪	uics
失血	uixt
失觉	uijn
失觉	uijt
失语	uiyu
失误	uiwu
失足	uizu
失身	uiuf
失重	uivs
失魂鱼	uhyu
头人	tzrf
头啖汤	tdth
头壳顶	tkdk
头壳顶	tqdk
头大冇脑	tdmn
头头	tztz
头子	tzzi
头崩额裂	tbel
头拧拧	tnnk
头槌	tziv
头球	tzqq
头盔	tzkv
头盖骨	tggu
头羊	tzyh
头耷耷	tdda
头蜡	tzla
头赤	tzii
头雁	tzyj
头面人物	tmrw
头颅	tzlu
头饰	tzui
夸父追日	kfvr
夹份	gaff
夹份	jxff
夹击	jxji
夹子	jxzi
夹手夹脚	gugj
夹手夹脚	gujj
夹手夹脚	jugj
夹手夹脚	jujj
夹板	jxbj
夹硬	gayk
夹硬	jxyk
夹道	jxdc
夺魁	dokv
奀瘦	enuz
奀瘦	nfuz
奀袅鬼命	engm
奀袅鬼命	nngm
奀雌雌	ecci
奀雌雌	ncci
奄列	yjlp
奄尖	yjjm
奇丽	qili
奇事	qiui
奇兵	qibk
奇功	qigs
奇境	jijk
奇境	qijk
奇峰	qifg
奇巧	qiqn
奇才	qicd
奇景	qijk
奇瑞	jirv
奇瑞	qirv
奇花异果	jhyg
奇花异果	qhyg
奇袭	qixi
奇观	qigr
奇遇	qiyu
奇闻	qiwf
奉之	fgvi
奉命唯谨	fmwj
奉旨成婚	fvih
奋力	ffli
奋发	fffa
奋发有为	ffyw
奋发蹈厉	ffdl
奋笔疾书	fbju
奋起	ffqi
奏折	zzve
奏鸣曲	zmqu
契弟	qidi
契弟	xpdi
契机	qiji
契税	qiuv
契约	qiyt
契阔	qiko
契阔	xpko
奔扑	bfpu
奔袭	bfxi
奔走相告	bzxg
奖学金	jxjb
奖罚分明	jffm
套印	tcyb
套房	tcfh
套种	tcvs
套话	tchx
套购	tcgz
套近乎	tjhu
奠基	dmji
奢侈品	uipb
奥美	aomw
女中音	nvyb
女主人	nvrf
女仔之家	nzvj
女娲	nvwa
女式	nvui
女星	nvxk
女界	nvjp
女真	nvvf
女童院	ntyr
女高音	ngyb
奴隶	nuli
奴隶制	nlvi
奴隶社会	nluh
奶制品	nvpb
奸商	jmuh
奸猫	jmmc
奸赖	jmld
她们	tamf
好不	hcbu
好人事	hrui
好人好事	hrhu
好使	hcui
好受	hcuz
好嘅	hcge
好嘢	hcye
好地地	hdde
好地地	hddi
好处费	hifw
好多时	hdui
好夹	hcga
好夹	hcjx
好好先生	hhxu
好容易	hryi
好强	hcql
好心机	hxji
好找	hcvc
好日子	hrzi
好消息	hxxi
好眼界	hyjp
好端端	hddr
好翻	hcfj
好胜	hcug
好话	hchx
好象	hcxl
好问则裕	hwzy
好闲	hcxm
如临探渊	rlty
如常	ruih
如故	rugu
如醉如痴	rzri
妄言	whyj
妇人	furf
妇幼	fuyz
妈妈声	mmug
妊娠	rfuf
妒嫉	duji
妓院	jiyr
妖冶	ycye
妙曼	mnmj
妲己	daji
妹钉	mwdk
姊夫	zifu
始于	uiyu
始发	uifa
始发站	ufvj
始建	uijm
始祖	uizu
始终不渝	uvby
姐手姐脚	jujj
姑勿论	gwly
姑息	guxi
姑爷仔	gyzd
姑爷仔	gyzi
姓氏	xkui
姓赖	xkld
委任	wwrf
委员会	wyhv
委员长	wyvh
委实	wwui
委托书	wtuu
委托人	wtrf
委曲	wwqu
委蛇	wwue
姗姗	ujuj
姗姗来迟	uuli
姚明	ycmk
姜酌	jlvo
姜醋	jlcu
姣尸扽笃	judd
姣尸扽笃	xudd
姨仔	yizd
姨仔	yizi
姨甥	yiug
姻娅	ybya
姽婳	gvhx
姿容	zirs
威化饼	whbk
威吓	wwhe
威士	wwui
威士忌	wuji
威廉	wwlm
威望素着	wwsv
威海	wwhd
威盛	wwig
威盛	wwug
威逼	wwbi
威震天下	wvtx
威风	wwfg
威风八面	wfbm
娃子	wazi
娇小	jnxn
娇气	jnqi
娇艳	jnyj
娓娓	wwww
娘子军	nzjy
娼妓	ihji
婉娩	wjmm
婉言	wjyj
婕妤	jpyu
婚丧嫁娶	hsjq
婚姻法	hyfa
婞直	xkvi
婵媛	ijyr
婵连	ijlm
媒人	mwrf
媞媞	titi
嫁人	jxrf
嫁妆	jxvl
嫁衣	jxyi
嫖赌饮吹	pdyi
嫡系	dixi
嬉笑	xixn
嬉闹	xinc
嬲爆爆	nbbc
子公司	zgsi
子午线	zwxm
子姜	zijl
子弟兵	zdbk
子母床	zmil
子系统	zxts
子集	ziji
孑孓	jpjt
孔府	ksfu
孔隙	ksxi
孔雀	ksqt
孕期	yyqi
孖公仔	mgzd
孖公仔	mgzi
孖公仔	zgzd
孖公仔	zgzi
孖女	manv
孖女	zinv
孖烟通	myts
孖烟通	zyts
孖生	maug
孖生	ziug
孖辫	mabm
孖辫	zibm
