双星	aabj
工本	iimt
评论家	iinx
言喻	iiov
工农	iipk
工蜂	iiqa
工包	iise
论功行赏	iisw
工潮	iisx
诗词歌赋	iitb
工残	iitd
言传	iitf
工件	iitk
诬赖	iito
工整	iito
工工整整	iitt
工分	iivd
工钱	iivf
巧言令色	iivr
言谈举止	iiwl
工党	iiwn
详详细细	iiww
工友	iixa
谆谆教诲	iiyi
谨言慎行	iiys
词条	ijam
话音	ijdb
功成名就	ijdd
词义	ijdx
话不投机半句多	ijfd
言而无信	ijft
功臣	ijgi
功利	ijhn
诉苦	ijhx
话旧	ijib
谬误	ijio
词库	ijjc
言不及义	ijjd
词序	ijjd
读后感	ijjt
诟病	ijjt
谑而不虐	ijjy
话筒	ijkn
项背	ijkt
谈不上	ijli
项庄舞剑，意在沛公	ijlv
误入歧途	ijlv
词素	ijlw
旧病复发	ijly
诉权	ijma
词根	ijme
订书机	ijmw
诚朴	ijmy
功用	ijnf
诉冤	ijnr
话别	ijoj
言不尽意	ijpd
功罪	ijqn
项圈	ijqv
功成身退	ijre
诚如	ijro
说不得	ijsb
诱敌深入	ijsj
说不清	ijsl
词句	ijso
功德	ijsx
谣传	ijtf
言近旨远	ijtf
功不可没	ijts
说不来	ijtx
词曲	ijui
语重心长	ijuk
词锋	ijva
话锋	ijva
旧社会	ijvf
词缀	ijwa
功业	ijwt
功过	ijxd
说不过去	ijxl
言而有信	ijxt
诉求	ijxx
词类	ijxy
词不达意	ijyd
讳疾忌医	ijzc
言简意赅	ikdb
诛戮	ikjj
译制片	ikki
计将安出	iknu
计算中心	ikou
调制解调器	ikro
诛灭	iktx
说长道短	ikvl
诘难	ilat
诗意	ildb
诗云	ilfg
诗刊	ilfn
请功	ilij
旧地重游	iljs
让座	iljv
诗社	iljy
诗坛	illf
让贤	ilna
请帖	ilni
诘问	ilno
请安	ilnr
许字	ilnz
让路	ilol
诈取	ilpa
诈降	ilpa
许婚	ilrc
让开	ilth
诗作	iltl
许配	iluz
请坐	ilvv
请缨	ilwb
诗兴	ilwv
让给	ilwv
诗风	ilwx
调查显示	imbf
调查研究	imcn
训示	imfm
训话	imij
训诫	imit
训斥	imjk
调查结果	imwb
谨小慎微	imys
工本费	imzs
课间操	info
言归于好	infr
议定书	injj
攻守同盟	innb
调幅	inni
调味品	inoo
调职	inpo
试用期	inqv
访问团	inqx
调色	inrd
调派	insj
调到	intg
调集	inti
言归正传	intt
调出	inue
调羹	inve
调情	inyl
攻坚战	inyo
调教	inyz
调子	inzi
误码	iocs
识荆	ioht
误工	ioii
误认	ioiv
误入	iojn
识趣	ioll
识相	iomg
识见	ionw
识字	ionz
误国	ioqe
误期	ioqv
误伤	iotl
识货	iott
误杀	ioxm
误餐	ioyd
误点	ioyo
巧取豪夺	ipdy
工农兵	ipgv
谋取私利	iphh
讲卫生	ipjl
工农业	ipkw
工农联盟	ippb
攻其无备	iqfa
谓语	iqiw
攻其不备	iqja
诅咒	iqoo
巧妇难为无米之炊	irax
谵妄	irdl
诡异	ireh
谢幕	irhb
诡谲	irid
谗言	irii
诡诈	iril
诤谏	irit
谄笑	irkj
谢却	irlg
调色板	irmj
谗害	irnf
谗佞	irtf
诤友	irxa
功德无量	isfb
诲淫诲盗	isiv
谈得上	isli
汞柱	ismd
试验田	isqi
功德圆满	isqs
说得好	isrz
言行一致	istt
言行举止	iswl
工作条件	itat
证照	itbd
议事日程	itbh
试映	itbn
试车	itci
巧匠	itcj
试产	itdj
工作服	itdp
订户	itdp
工作方法	itds
订交	itdv
工作岗位	itet
工作报告	itfj
试播	itfj
工作台	itgo
试种	itho
巧言	itii
试工	itii
证词	itij
说来话长	itik
谢天谢地	itil
评论员	itio
工作证	itit
谁谁	itit
巧计	itix
巧手	itjf
试看	itjf
说一不二	itjf
证物	itjf
语焉不详	itji
功到自然成	itjj
试驾	itjo
工作面	itjq
讨价还价	itjt
谁不	itjy
工作制度	itkj
试制	itkn
试管	itkn
试想	itmg
工作小组	itmw
谈何容易	itnb
工作间	itnb
巧用	itnf
试问	itno
试航	itns
评阅	itnv
工作队	itpv
评剧	itpx
访华团	itqx
证婚	itrc
言传身教	itry
试水	itsi
试一试	itti
订正	ittl
巧事	itto
工作作风	ittw
工作需要	ituc
订出	itue
试镜	itvd
订金	itvi
谁人	itvi
评介	itvn
工作人员	itvo
工作单位	itvt
工作总结	itvw
试销	itvw
试纸	itwc
工作组	itwq
订约	itws
评断	itxl
评点	ityo
评改	itzl
评弹	itzs
试飞	itzv
谐音	iudb
诛心之论	iudi
攻心为上	iudl
谐振	iufj
谐和	iuho
诚心诚意	iuid
谐调	iuin
谐谑	iuiy
言出法随	iusp
言必信，行必果	iutb
言必有据	iuxf
言必有中	iuxo
详备	ivaq
说戏	ivax
论处	ivay
工人日报	ivbf
试金石	ivci
说破	ivcj
诊脉	ivdd
说服力	ivdj
证券交易所	ivdj
证券市场	ivdl
说亲	ivdm
说理	iveb
旧金山	ivei
论资排辈	ivfn
谦卑	ivgj
说的	ivgs
谦和	ivho
谦恭	ivhv
攻关项目	ivig
说项	ivij
论说	iviv
详谈	ivix
说了	ivji
说书	ivjj
详加	ivjo
诲人不倦	ivjt
说不出	ivju
谱系	ivjw
说辞	ivjx
说笑	ivkj
旧瓶装新酒	ivks
讨人喜欢	ivla
巫术	ivmd
详述	ivmd
说客	ivna
详实	ivnd
说穿	ivnv
认字	ivnz
说唱	ivob
工人阶级	ivpw
详略	ivqa
认罚	ivqi
论争	ivre
说媒	ivrh
认得	ivsb
诠注	ivsd
巫婆	ivsj
说清	ivsl
说开	ivth
认出	ivue
谱曲	ivui
认养	ivve
工资总额	ivvn
工欲善其事	ivvt
认准	ivvt
认命	ivvt
工资级别	ivwo
说情	ivyl
论战	ivyo
说教	ivyz
诊费	ivzs
误人子弟	ivzv
训练班	iwey
设若	iwhx
讥讽	iwiw
语序	iwjd
设成	iwjj
语感	iwjt
语病	iwjt
语系	iwjw
讥笑	iwkj
语境	iwld
语素	iwlw
设宴	iwnb
语塞	iwnf
详细内容	iwnn
讽喻	iwov
语聊	iwpc
设障	iwpd
工业国	iwqe
语汇	iwsc
工业品	iwto
工业国	iwtq
工业企业	iwvw
详细介绍	iwvw
详细资料	iwvx
语料	iwxd
训练有素	iwxl
设点	iwyo
讨账	ixbk
读研	ixct
计提	ixfb
读报	ixfp
读秒	ixhm
言过其实	ixhn
计议	ixid
讨巧	ixit
诙谐	ixiu
贡献力量	ixjb
谜底	ixjc
计划生育	ixjd
谜面	ixjq
谈妥	ixjr
讨还	ixjy
谈笑	ixkj
读本	ixmt
读完	ixnf
读盘	ixns
谈吐	ixol
言过其实	ixqn
认真贯彻	ixqs
讨饭	ixrl
计件	ixtk
讨伐	ixtx
谈天	ixty
计分	ixvd
谈资	ixvr
计划经济	ixws
谈兴	ixwv
言犹在耳	ixxp
言者无罪，闻者足戒	iyft
记者招待会	iyfv
说大话	iyij
谈情说爱	iyij
谦虚谨慎	iyiy
谈虎色变	iyrd
恐怖活动	iysf
诸位	iytd
诗情画意	iytd
识大体	iytm
记忆犹新	iyxd
恐怖袭击	iyxf
记账	izbk
记挂	izfl
诸子百家	izjn
讯实	iznd
讯问	izno
诀别	izoj
记取	izpa
记分	izvd
记着	izvf
记念	izvj
记叙	izvt
记恨	izye
记忆力	izyj
皮匠	jacj
瘫软	jacr
颇多	jadd
皮衣	jadk
颇高	jado
皮脂	jadt
皮球	jaex
颇丰	jafi
皮草	jahb
不欢而散	jajh
皮质	jajj
皮袍	jajk
皮蛋	jajl
疲惫不堪	jajl
颇受	jajn
疼爱	jajn
皮疹	jajv
瘙痒	jajv
神圣不可侵犯	jajx
司务长	jaki
皮箱	jakm
皮棉	jamg
后备军	janc
皮肉	janv
乘务员	jaob
皮层	japf
皮尺	japn
颇具	jaqe
皮件	jatk
颇佳	jatl
千难万险	jatp
皮货	jatt
皮夹	jatv
不务正业	jatw
不对劲	jazi
皮影戏	jbax
百日	jbbi
百里	jbbl
厚意	jbdb
不明就里	jbdb
千里迢迢	jbdd
不易之论	jbdi
不败之地	jbdl
千里之堤，溃于蚁穴	jbdn
千里之行	jbds
不时之需	jbdu
生财之道	jbdv
页岩	jbec
百岁	jbed
百元	jbfw
千里眼	jbge
百世	jbhl
厚薄	jbhs
百计	jbix
不早不晚	jbjb
不明不白	jbjg
瘟病	jbjt
瘟疫	jbjw
厚礼	jbjy
顾影自怜	jbjy
瘟神	jbjy
质量管理	jbke
夏时制	jbkn
手电筒	jbkn
不景气	jbkz
厚实	jbnd
不是冤家不聚头	jbnd
百官	jbnp
百般	jbns
百日咳	jbod
不是味	jbof
受贿罪	jbqn
千里姻缘一线牵	jbry
成败得失	jbsk
厚待	jbsl
度量衡	jbsr
近日来	jbtx
百出	jbue
及时雨	jbui
物是人非	jbvn
百兽	jbvq
百分比	jbvu
厕纸	jbwc
重量级	jbwj
毛里求斯	jbxq
生财有道	jbxv
生日快乐	jbyc
百态	jbyd
底里	jcbl
鹅卵石	jcci
库区	jccx
社区服务	jcda
驾轻就熟	jcdd
重要意义	jcdd
底肥	jcdd
顾主	jcde
顾恋	jcdm
不要脸	jcdv
祁连山	jcei
重要的是	jcgb
顾盼	jcgv
底稿	jchd
成也萧何，败也萧何	jcht
不软不硬	jcjc
顾不上	jcjl
疟疾	jcjl
底面	jcjq
底座	jcjv
底边	jcjz
广西壮族自治区	jckc
底牌	jckg
底片	jcki
底气	jckz
广西省	jcmj
底本	jcmt
不要紧	jcna
重要问题	jcnb
重要内容	jcnn
底盘	jcns
库容	jcnv
顾家	jcnx
重要思想	jcqm
底色	jcrd
乱砍滥伐	jcst
重要作用	jctn
顾全	jcve
顾念	jcvj
底数	jcxr
顾惜	jcyh
顾忌	jczl
重头戏	jdax
痛处	jday
成效显著	jdbh
生产量	jdbt
自变量	jdbt
买票	jdcf
不亦乐乎	jdcj
自由软件	jdct
不义之财	jddb
自由主义	jddd
而立之年	jddl
买通	jddn
生产方式	jddt
庐山	jdei
爬山	jdei
自然环境	jdel
买春	jdev
了然于胸	jdfd
臭名远扬	jdff
买进	jdfn
自然规律	jdfs
痛打	jdft
受之无愧	jdfy
不吝指教	jdfy
不然的话	jdgi
生产能力	jdgj
威胁利诱	jdhi
自然科学	jdhw
特效药	jdhw
反义词	jdij
貂皮	jdja
不由自主	jdjd
自然而然	jdjd
不亢不卑	jdjg
爬升	jdjh
毛主席	jdjh
感召力	jdji
磨刀不误砍柴工	jdji
不肥不瘦	jdjj
痛斥	jdjk
爱迪生	jdjl
不胫而走	jdjl
不多不少	jdjm
成名成家	jdjn
生产厂家	jdjn
皮之不存，毛将焉附	jdjp
礼义廉耻	jdjp
瘀血	jdjq
皮肤病	jdjt
自豪感	jdjt
痛感	jdjt
疤瘌	jdjt
不外乎	jdjv
皮之不存	jdjx
自由自在	jdjx
神通广大	jdjy
戍边	jdjz
痛失	jdkv
痛责	jdlb
爬坡	jdlj
唇亡齿寒	jdln
爬树	jdma
自主权	jdma
乏术	jdmd
痛楚	jdmm
成交额	jdna
不多见	jdnw
乏味	jdof
买回	jdqo
自然界	jdqv
不胜其烦	jdqx
痛饮	jdrl
不由得	jdsb
自由泳	jdsd
爬行	jdsf
不服水土	jdsl
乳胶漆	jdsm
爱之深，责之切	jdst
自然保护区	jdtc
不名一文	jdtd
痛切	jdtd
自由体操	jdtf
物竞天择	jdtf
爬到	jdtg
千刀万剐	jdto
自由化	jdtt
千头万绪	jdtw
买来	jdtx
魔高一丈	jdtx
序曲	jdui
磨刀霍霍	jduu
买单	jdvb
庙会	jdvf
广交会	jdvf
我为人人，人人为我	jdvj
生产总值	jdvt
不良风气	jdwk
痛觉	jdwn
痛经	jdwz
自然数	jdxr
特立独行	jdxs
受之有愧	jdxy
痛惜	jdyh
庞然大物	jdyj
痛悔	jdyl
买点	jdyo
痛悼	jdyy
承欢	jear
庸碌	jece
承转	jecf
歪理邪说	jeci
庸医	jecl
康乐	jecm
承建商	jeed
承印	jeep
承运	jefg
康熙	jege
承蒙	jehn
丢三落四	jehq
承租	jehq
爱岗敬业	jehw
承让	jeil
承乏	jejd
丢三丢四	jejq
不三不四	jejq
承重	jejt
加班加点	jejy
贺岁片	jeki
康宝	jene
唐宋	jenm
返璞归真	jenx
靠山吃山	jeoe
生灵涂炭	jese
升班马	jest
康健	jete
承保	jeto
唐代	jetv
承做	jetx
承付	jetx
压岁钱	jevf
承兑	jevo
原班人马	jevs
承销	jevw
承当	jewe
成群结队	jewp
承继	jewx
庸才	jexj
承袭	jext
自寻烦恼	jexy
爬山虎	jeyw
福无双至	jfat
看戏	jfax
不进则退	jfbe
广播电台	jfbg
物换星移	jfbh
那日	jfbi
广播电视	jfbj
手电	jfbl
那是	jfbt
毛贼	jfbt
鹅卵石	jfcc
生拉硬拽	jfcf
看破	jfcj
手软	jfcr
那匹	jfcw
牧区	jfcx
承担义务	jfda
牧童	jfdb
手头	jfdd
那头	jfdd
我方	jfdh
那月	jfdi
不刊之论	jfdi
不动产	jfdj
物产	jfdj
特为	jfdj
拜望	jfdl
唇膏	jfdo
手部	jfdo
拜服	jfdp
特服	jfdp
物外	jfdy
重于泰山	jfee
那群	jfej
物耗	jfem
手印	jfep
力挫群雄	jfex
手球	jfex
手提	jffb
看护	jffd
自动控制	jffk
手抄	jffm
物探	jffn
看报	jffp
那帮	jffp
特批	jffu
那批	jffu
拜寿	jffx
手眼	jfge
那台	jfgo
牧草	jfhb
鹅黄	jfhd
丢魂落魄	jfhg
毛利	jfhn
特勤	jfho
手艺	jfhz
拜谒	jfib
拜识	jfio
手误	jfio
手巧	jfit
物证	jfit
手工业	jfiw
手语	jfiw
重操旧业	jfiw
特设	jfiw
拜读	jfix
毛皮	jfja
不远千里	jfjb
百折不挠	jfjf
不折不扣	jfjf
不打自招	jfjf
拜拜	jfjf
摩擦力	jfji
不择手段	jfjj
手书	jfjj
那所	jfjj
庇护所	jfjj
特向	jfjn
拜贺	jfjo
百折不回	jfjq
那面	jfjq
手感	jfjt
不干不净	jfjv
那座	jfjv
唇舌	jfjx
那番	jfjx
手边	jfjz
牦牛	jfki
那片	jfki
唇笔	jfkj
手笔	jfkj
手背	jfkt
自掘坟墓	jflh
看上	jfli
毛坯	jflj
承担责任	jflt
唇齿	jflw
那块	jflz
看相	jfmg
手相	jfmg
不拘小节	jfmh
手模	jfmh
手札	jfml
面授机宜	jfmn
自动检测	jfms
那本	jfmt
看样	jfmv
自动检索	jfmx
手杖	jfmx
手植	jfmx
百无禁忌	jfmz
拜客	jfna
看客	jfna
手紧	jfna
看门	jfni
那幅	jfni
看官	jfnp
那般	jfns
拜师	jfnt
牧师	jfnt
看穿	jfnv
看家	jfnx
看守	jfnx
乱扣帽子	jfnz
牲口	jfoi
拜别	jfoj
辱骂	jfoo
书刊号	jfot
特号	jfot
百无聊赖	jfpt
牧民	jfpt
看图	jfqa
摩托罗拉	jfqf
牡蛎	jfqj
自投罗网	jfqn
不无遗憾	jfqy
特急	jfre
物象	jfro
手提包	jfse
手包	jfse
反动派	jfsj
不二法门	jfsn
毛驴	jfst
先进水平	jfst
辱没	jfsw
看涨	jfsz
不远万里	jftb
先进事迹	jftd
广播体操	jftf
唇形	jfth
特供	jfth
物候	jfti
那件	jftk
不拘一格	jftm
百无一用	jftn
物事	jfto
牧歌	jfto
物像	jftr
先进集体	jftt
拜倒	jftt
物化	jftt
歪打正着	jftv
系于一线	jftw
看做	jftx
特优	jftx
特殊性	jfty
后无来者	jfty
特出	jfue
手心	jfui
手雷	jfuq
手链	jfvc
物镜	jfvd
不无道理	jfve
拜会	jfvf
拜金	jfvi
手令	jfvj
特首	jfvj
手搭凉棚	jfvm
手镯	jfvq
先进个人	jfvv
手铐	jfvy
手纸	jfwc
唇线	jfwf
毛线	jfwf
犒赏	jfwn
鹅绒	jfwt
手绘	jfwv
爱拼才会赢	jfxd
毛料	jfxd
神魂颠倒	jfxt
手无寸铁	jfxv
那套	jfyk
毯子	jfzi
毛孔	jfzl
书报费	jfzs
自备	jgaq
原处	jgay
愿景	jgbd
息影	jgbd
原野	jgbl
自赎	jgbx
自转	jgcf
原意	jgdb
鼻音	jgdb
自肥	jgdd
原主	jgde
原为	jgdj
不白之冤	jgdn
自然界	jgdq
戛然	jgdy
自外	jgdy
先睹为快	jgdy
自奉	jgev
自持	jgfl
自控	jgfn
自打	jgft
自找	jgfx
自拔	jgfx
自白	jggi
自毁	jggi
夏眠	jggp
原稿	jghd
夏利	jghn
原种	jgho
原委	jghr
厉兵秣马	jghs
自荐	jghx
自诩	jgij
自诉	jgij
自谦	jgiv
不卑不亢	jgjd
自序	jgjd
不能自已	jgje
不能自拔	jgjf
原貌	jgjg
自习	jgji
夏历	jgjj
鼻翼	jgjj
原初	jgjk
反目成仇	jgjt
自办	jgjv
顾盼自雄	jgjx
原浆	jgkd
瘦长	jgki
夏装	jgkl
自戕	jgkx
原状	jgky
臭气	jgkz
臭氧	jgkz
自责	jglb
原载	jglc
自留地	jglc
自裁	jgld
原址	jgll
自封	jgll
原棉	jgmg
瘦小	jgmi
自省	jgmj
自焚	jgmm
原样	jgmv
自检	jgmv
鼻尖	jgmy
原审	jgnb
鼻塞	jgnf
自问	jgno
康熙字典	jgnu
瘦肉	jgnv
息肉	jgnv
原唱	jgob
臭味	jgof
原路	jgol
自足	jgol
臭骂	jgoo
自慰	jgpf
原职	jgpo
自居	jgpx
原田	jgqi
臭虫	jgqi
息怒	jgra
原色	jgrd
乳白色	jgrd
夏娃	jgrl
自馁	jgrl
自勉	jgro
自测	jgsb
自得	jgsb
鼻梁	jgsd
自流	jgsd
自刎	jgss
原汁	jgsx
面目一新	jgtd
原位	jgtd
夏至	jgtg
自供	jgth
自修	jgti
貌似	jgtl
自保	jgto
自毁形象	jgtr
自信心	jgtu
自来	jgtx
面目可憎	jgty
貌美	jgve
臭美	jgve
自毁前程	jgvh
面目全非	jgvn
自尊心	jgvu
自销	jgvw
原纸	jgwc
瘦削	jgwd
自幼	jgwj
自绝	jgwr
自缢	jgwv
自给	jgwv
夏朝	jgxb
夏粮	jgxd
原粮	jgxd
自燃	jgxd
原煤	jgxh
鼻炎	jgxx
原发	jgya
自夸	jgyf
原点	jgyo
原子能	jgzg
瘦子	jgzi
鼻孔	jgzl
瘦弱	jgzs
度日	jhbi
度量	jhbt
升旗	jhdh
特种部队	jhdp
廉租房	jhdp
升腾	jhdv
视若无睹	jhfg
遮拦	jhfv
遮挡	jhfw
遮掩	jhfy
爱莫能助	jhgq
不甘落后	jhhj
广种薄收	jhhl
反季节	jhhp
毛茸茸	jhhp
遮蔽	jhhv
厚积薄发	jhhy
自私自利	jhjh
痢疾	jhjl
神秘感	jhjt
升迁	jhjx
席地	jhlc
不共戴天	jhlt
升格	jhma
席间	jhnb
升幅	jhni
书香门第	jhnk
不甘寂寞	jhnn
升官	jhnp
不积跬步，无以至千里	jhob
遮阳	jhpb
不称职	jhpo
庶民	jhpt
生花妙笔	jhrk
遮住	jhtd
千秋万代	jhtt
升平	jhtv
千秋伟业	jhtw
不落俗套	jhty
升天	jhty
庶出	jhue
加勒比海	jhus
遮盖	jhve
遮羞	jhvf
奥委会	jhvf
百科全书	jhvj
席次	jhvr
遮光	jhww
度数	jhxr
百慕大	jhyi
千秋大业	jhyw
席子	jhzi
不识时务	jiba
厂里	jibl
辞旧迎新	jicd
爪牙	jici
厂矿	jicj
广袤	jidd
厂方	jidh
成功之路	jido
广交	jidv
力持	jifl
习武	jifl
力挽	jifr
厂规	jifv
力挫	jifv
不识抬举	jifw
手工艺品	jiho
自讨苦吃	jiho
力荐	jihx
习艺	jihz
手工艺	jihz
力证	jiit
不言自明	jijb
不攻自破	jijc
不识庐山真面目	jijg
自言自语	jiji
爱说不说	jiji
加工厂	jiji
不言而喻	jijo
不识庐山真面目，只缘身在此山中	jijo
造谣生事	jijt
不谋而合	jijv
不许百姓点灯	jijx
了却	jilg
力士	jili
厂址	jill
力矩	jily
习用	jinf
厂内	jinv
习字	jinz
造谣中伤	jiot
厂史	jiox
力避	jipo
自谋职业	jipw
力助	jiqf
不识好歹	jirt
力行	jisf
广漠	jish
反攻倒算	jitk
力作	jitl
习作	jitl
力促	jito
造谣惑众	jitv
承认错误	jivi
力道	jivj
成功经验	jiws
加工业	jiwt
手工业	jiwt
重工业	jiwt
了断	jixl
原计划	jixn
力克	jixo
广博	jixt
习性	jiyj
力战	jiyo
力夺	jiyx
厂子	jizi
爪子	jizi
成双	jjaa
重重叠叠	jjaa
质对	jjax
席不暇暖	jjbb
书影	jjbd
后影	jjbd
翌日	jjbi
自不量力	jjbj
不自量力	jjbj
后账	jjbk
瓜果	jjbm
物质财富	jjbn
反转	jjcf
戳破	jjcj
成章	jjdb
物质文明	jjdb
歃血为盟	jjdb
后头	jjdd
先入为主	jjdd
靡靡之音	jjdd
后腿	jjde
盛放	jjdh
不辞辛苦	jjdh
反方	jjdh
承先启后	jjdj
成衣	jjdk
自选商场	jjdl
乔迁之喜	jjdl
近亲	jjdm
书商	jjdn
书市	jjdn
反帝	jjdn
先入之见	jjdn
盛名	jjdo
盛衰	jjdo
书亭	jjdo
所部	jjdo
厄瓜多尔	jjdr
戊戌变法	jjds
百感交集	jjdt
成夜	jjdt
翻手为云，覆手为雨	jjdu
近郊	jjdv
不祥之兆	jjdv
后效	jjdv
书斋	jjdx
靠边站	jjdy
瘪三	jjei
返岗	jjen
书摊	jjfa
后撤	jjfd
遮遮掩掩	jjff
乳臭未干	jjff
歪歪扭扭	jjff
自我批评	jjfi
后援	jjfj
所向无敌	jjfj
后排	jjfn
书报	jjfp
遥遥无期	jjfq
成批	jjfu
反扒	jjfv
反扑	jjfy
近视眼	jjge
反目	jjgi
承受能力	jjgj
力所能及	jjgj
释迦牟尼	jjgp
书香	jjhb
不辞劳苦	jjhh
生生世世	jjhh
疗程	jjho
返程	jjho
成荫	jjhp
病原菌	jjhq
反共	jjhv
成药	jjhw
反季	jjhz
返工	jjii
反诬	jjii
反话	jjij
后话	jjij
反诘	jjil
反证	jjit
质证	jjit
血压计	jjix
戳记	jjiz
后记	jjiz
书皮	jjja
瓜皮	jjja
后顾	jjjc
不了了之	jjjd
反手	jjjf
后手	jjjf
先礼后兵	jjjg
鹰鼻鹞眼	jjjg
受不了	jjji
疯疯癫癫	jjjj
历历	jjjj
历书	jjjj
成书	jjjj
翼翼	jjjj
羽翼	jjjj
后盾	jjjj
殷殷	jjjj
反衬	jjjk
后生	jjjl
盛赞	jjjl
不辞而别	jjjo
成千成万	jjjt
适应症	jjjt
书函	jjjx
返迁	jjjx
书社	jjjy
后边	jjjz
所及	jjjz
千疮百孔	jjjz
盾牌	jjkg
成片	jjki
翠竹	jjki
庭长	jjki
物质奖励	jjkj
盛装	jjkl
书简	jjkn
后背	jjkt
初生牛犊不怕虎	jjky
盛气	jjkz
翌年	jjlc
书坊	jjld
返青	jjld
自我表现	jjle
顾不上	jjli
了不起	jjll
成趣	jjll
看不起	jjll
反反复复	jjll
入我彀中	jjlo
成千上万	jjlt
成堆	jjlt
反应堆	jjlt
千百年来	jjlt
神不知鬼不觉	jjlw
不敢越雷池一步	jjly
所幸	jjly
所知	jjly
殷墟	jjly
成块	jjlz
书场	jjlz
反查	jjmb
息息相通	jjmd
书柜	jjmg
反唇相稽	jjmh
书橱	jjmj
书札	jjml
后尘	jjml
不成材	jjmx
反间	jjnb
生力军	jjnc
殷实	jjnd
后辈	jjne
殷鉴	jjnk
成册	jjnn
书册	jjnn
反问	jjno
所闻	jjnp
书案	jjnr
返航	jjns
戮力同心	jjnu
神不守舍	jjnv
成见	jjnw
成灾	jjnx
书家	jjnx
反咬	jjod
后路	jjol
斥骂	jjoo
不成器	jjoo
后患	jjoo
牺牲品	jjoo
磨磨蹭蹭	jjoo
反哺	jjot
书呆子	jjoz
返聘	jjpd
后防	jjpd
所限	jjpe
书展	jjph
历尽	jjpn
后院	jjpn
历陈	jjpt
反胃	jjqd
自视甚高	jjqd
庭园	jjqf
成虫	jjqi
不厌其详	jjqi
毛毛虫	jjqi
不乏其人	jjqv
疲累	jjqw
不厌其烦	jjqx
盛怒	jjra
成色	jjrd
反刍	jjre
反身	jjri
后汉	jjsa
了不得	jjsb
顾不得	jjsb
翠微	jjse
盛满	jjsh
反水	jjsi
成活	jjsj
历法	jjsl
成法	jjsl
百废待兴	jjsw
翼侧	jjtb
反侧	jjtb
面貌一新	jjtd
架不住	jjtd
造福一方	jjtd
办不到	jjtg
所至	jjtg
书信	jjti
自力更生	jjtj
后任	jjtj
反腐倡廉	jjtj
千斤顶	jjtj
疗伤	jjtl
病原体	jjtm
反作用	jjtn
盛事	jjto
成事	jjto
质保	jjto
后事	jjto
后生可畏	jjtq
垂手可得	jjts
不顾一切	jjtt
羽化	jjtt
反华	jjtt
自成一体	jjtt
百废俱兴	jjtw
不成体统	jjtw
成天	jjty
礼拜天	jjty
夏威夷	jjtz
看不出	jjue
成心	jjui
反比	jjui
质心	jjui
后心	jjui
毛毛雨	jjui
不成比例	jjut
反剪	jjvd
近邻	jjvj
百感丛生	jjvj
遥遥领先	jjvj
反贪	jjvj
痛不欲生	jjvj
祸不单行	jjvs
承办单位	jjvt
歪歪斜斜	jjvv
反锁	jjvw
不近人情	jjvy
书卷	jjvy
不敢当	jjwe
翠绿	jjwe
反绑	jjwf
殷红	jjwi
颇感兴趣	jjwl
被选举权	jjwm
赞不绝口	jjwo
历练	jjwt
盛誉	jjwv
反光	jjww
后继	jjwx
视神经	jjwz
翼翅	jjxa
质料	jjxd
历历在目	jjxg
不自在	jjxi
反戈	jjxi
所有制	jjxk
历数	jjxr
质数	jjxr
书脊	jjxv
书迷	jjxz
书桌	jjyb
麻痹大意	jjyd
原生态	jjyd
自告奋勇	jjyd
后怕	jjyg
成性	jjyj
适应性	jjyj
不入虎穴	jjyn
反战	jjyo
质点	jjyo
看不惯	jjyq
舐犊情深	jjys
康庄大道	jjyv
痛痛快快	jjyy
不入虎穴，焉得虎子	jjyz
神采飞扬	jjzf
爱面子	jjzi
瓜子	jjzi
质子	jjzi
瘸子	jjzi
面不改色	jjzr
初冬	jkad
近处	jkay
不失时机	jkbm
衬映	jkbn
补票	jkcf
补码	jkcs
被覆	jkcs
裤腰	jkdc
裤头	jkdd
裤腿	jkde
不失为	jkdj
裤脚	jkdl
近亲	jkdm
近旁	jkdn
血气方刚	jkdn
被服	jkdp
近郊	jkdv
生长率	jkdw
初建	jkef
不管三七二十一	jket
初春	jkev
袒护	jkfd
乔装打扮	jkff
被扣	jkfo
补报	jkfp
被打	jkft
受制于人	jkfv
衬垫	jkfx
补白	jkgi
补台	jkgo
近程	jkho
补药	jkhw
初秋	jkhx
初试	jkit
初诊	jkiv
爱答不理	jkje
补习	jkji
不管不顾	jkjj
被褥	jkjk
补血	jkjq
特等奖	jkkd
袖筒	jkkn
袖管	jkkn
补妆	jkkr
被劫	jklg
初小	jkmi
裸机	jkmw
初赛	jknf
被窝	jknv
初见	jknw
乳制品	jkoo
补品	jkoo
臭氧层	jkpf
初具	jkqe
被罚	jkqi
被困	jkqm
生长期	jkqv
被罩	jkqy
初婚	jkrc
褶皱	jkre
神气活现	jkse
力气活	jksj
补漏	jksp
被淹	jksy
补正	jktl
翻箱倒柜	jktm
斤两	jktn
初哥	jkto
毛将焉附	jktp
被单	jkvb
初创	jkvc
近前	jkvd
补养	jkve
近邻	jkvj
被盗	jkvr
盛气凌人	jkvv
裨益	jkvv
补益	jkvv
补缀	jkwa
成竹在胸	jkxd
还将有	jkxd
补过	jkxd
初犯	jkxj
生气勃勃	jkxx
裱糊	jkxx
补发	jkya
被套	jkyk
近朱者赤，近墨者黑	jkyq
欣悦	jkyv
裙子	jkzi
段子	jkzi
千载难逢	jlaa
压条	jlam
