双双	aaaa
某某	hfhf
芫荽	hfhj
芙蓉	hfhn
某种	hfho
若无其事	hfht
甘愿	hfjg
劳动力	hfji
某些	hflt
若无其事	hfqt
芜湖	hfsx
甘心	hfui
邯郸	hfvb
某人	hfvi
某个	hfvi
私利	hghn
私营	hghn
勤能补拙	hgjf
私自	hgjg
私下	hgtd
私下	hgty
私心	hgui
私人	hgvi
私有	hgxd
蒸蒸日上	hhbl
葡萄牙	hhci
勤勤恳恳	hhee
移花接木	hhfm
花花世界	hhhq
积劳成疾	hhjj
草草了事	hhjt
蓬荜生辉	hhjw
共和国	hhqe
和蔼可亲	hhtd
劳燕分飞	hhvz
萎缩	hhwn
莘莘学子	hhwz
落落大方	hhyd
荒诞无稽	hifh
花言巧语	hiii
勤工俭学	hitw
菜鸟	hjgt
蒺藜	hjhh
蔬菜	hjhj
蘑菇	hjhr
葳蕤	hjhx
其貌不扬	hjjf
茂盛	hjjj
秘书长	hjki
茂密	hjnu
程序员	hjob
苏联	hjpv
英特尔	hjrm
蒸汽	hjsk
董事	hjto
芝加哥	hjto
苏醒	hjub
菜单	hjvb
蒸发	hjya
苏州	hjyy
藏匿	hkch
茱萸	hkhg
鞭长莫及	hkhj
秩序	hkjd
藏书	hkjj
荡气回肠	hkqd
燕子	hkzi
世贸	hlgd
世面	hljq
世上	hlli
世间	hlnb
世家	hlnx
世界上	hlql
世界	hlqv
共青团	hlqx
世代	hltv
世俗	hltv
世人	hlvi
世纪	hlwz
世故	hlxo
世袭	hlxt
世态	hlyd
花枝招展	hmfp
积少成多	hmjd
艺术家	hmnx
艺术品	hmoo
草木皆兵	hmug
英格兰	hmve
秒钟	hmvo
积极分子	hmvz
积极性	hmyj
劳务	hnaj
英明	hnbd
蒙昧	hnbf
英里	hnbl
带电	hnbl
蓝牙	hnci
带头	hndd
英勇	hndn
英豪	hndo
利率	hndw
英文	hndx
带动	hnfg
劳动	hnfg
利于	hnfi
带薪	hnhd
营利	hnhn
菲薄	hnhs
蒙蔽	hnhv
利税	hnhv
荣获	hnhx
稼穑	hnhx
劳工	hnii
英语	hniw
利息	hnjg
劳力	hnji
营造	hnjl
蒙受	hnjn
劳驾	hnjo
带上	hnli
英超	hnll
荣幸	hnlv
荣幸	hnly
蓝本	hnmt
英格兰	hnmv
利用	hnnf
利害	hnnf
带宽	hnnh
稠密	hnnu
利器	hnoo
英尺	hnpn
利民	hnpt
荧屏	hnpv
带队	hnpv
蓝图	hnqa
英国	hnqe
带回	hnqo
劳累	hnqw
蓝色	hnrd
利好	hnrz
英汉	hnsa
蒙混	hnsb
利润	hnsn
英俊	hntg
带到	hntg
劳作	hntl
劳保	hnto
带来	hntx
蓝天	hnty
英镑	hnvd
营养	hnve
带着	hnvf
带领	hnvj
利弊	hnvn
利益	hnvv
营销	hnvw
营业	hnwt
荣誉	hnwv
带给	hnwv
荣耀	hnww
荧光	hnww
英寸	hnxd
带有	hnxd
英雄	hnxg
英才	hnxj
利索	hnxn
蒙古	hnxo
营救	hnxx
稳定性	hnyj
种族	hodh
和亲	hodm
和服	hodp
勤恳	hoek
和睦	hogl
积蓄	hohd
莴苣	hohg
和蔼	hohi
勤劳	hohn
种种	hoho
和谐	hoiu
和谈	hoix
程序	hojd
程度	hojh
积压	hojl
和气	hokz
和声	hold
积极	homj
种植	homx
积极性	homy
积累	hoqw
和解	hord
勤勉	horo
和好	horz
苦口婆心	hosu
程式	hoti
和平	hotv
勤俭	hotv
积雪	houe
积分	hovd
和美	hove
委员会	hovf
和尚	hown
和约	hows
和数	hoxr
种类	hoxy
勤奋	hoyq
种子	hozi
燕子	hozi
和弦	hozs
节日	hpbi
革新	hpdm
鞍山	hpei
节奏	hpev
节拍	hpfg
节能	hpgd
节目	hpgi
蔚蓝	hphn
鞭辟入里	hpjb
节后	hpjj
节制	hpkn
节省	hpmj
鞋帽	hpni
慕尼黑	hpqh
鞠躬	hprz
节水	hpsi
节俭	hptv
革命	hpvt
节约	hpws
勒索	hpxn
节点	hpyo
鞋子	hpzi
苗条	hqam
莫斯科	hqhd
蔑视	hqjy
租用	hqnf
苦思冥想	hqnm
租借	hqth
租赁	hqtj
租金	hqvi
花团锦簇	hqvk
萝卜	hqyi
称为	hrdj
稳如泰山	hree
委托	hrfj
称谓	hriq
称赞	hrjl
稳妥	hrjr
稳重	hrjt
逶迤	hrlc
稳定	hrnt
委员	hrob
称呼	hroj
称号	hrot
鞠躬尽瘁	hrpj
称职	hrpo
委屈	hrpu
稳固	hrqx
委婉	hrrn
委派	hrsj
稳住	hrtd
稳健	hrte
委任	hrtj
称作	hrtl
称霸	hruh
委曲	hrui
称道	hrvj
稳当	hrwe
稳步	hryi
警备	hsaq
黎明	hsbd
敬意	hsdb
薄膜	hsdh
警方	hsdh
落户	hsdp
茫然	hsdy
落拓	hsfc
警报	hsfp
落幕	hshb
菠萝	hshq
葡萄	hshs
茫茫	hshs
菊花	hsht
薄荷	hsht
芍药	hshw
敬请	hsil
秣马厉兵	hsjg
落后	hsjj
落成	hsjj
警告	hsjl
落选	hsjl
敬爱	hsjn
落入	hsjn
艾滋病	hsjt
敬重	hsjt
敬礼	hsjy
落地	hslc
落实	hsnd
菲律宾	hsng
警官	hsnp
落空	hsnv
警察	hsnx
落网	hsnx
落叶	hsox
警卫	hspt
范围	hsqf
范畴	hsqf
敬仰	hstc
落到	hstg
警戒	hsth
范例	hstt
敬佩	hstw
落下	hsty
警钟	hsvo
敬业	hswt
落在	hsxi
警惕	hsyb
薄弱	hszs
苹果	htbm
苛刻	htdy
花鸟	htgt
花草	hthb
花香	hthb
茉莉	hthh
蓓蕾	hthu
花生	htjl
葬礼	htjy
花店	htjy
花边	htjz
董事长	htki
著作权	htma
花木	htmi
花样	htmv
花哨	htow
花园	htqf
花絮	htro
花开	htth
荷兰	htve
花钱	htvf
董事会	htvf
花丛	htvv
花纹	htwd
花儿	htwi
花朵	htwm
花卉	htxh
花费	htzs
秘方	hudh
秘诀	huiz
秘书	hujj
秘籍	huke
芯片	huki
秘笈	hukj
秘密	hunu
秘鲁	hurt
委曲求全	huxv
税务	hvaj
共享	hvdo
共产党	hvdw
税率	hvdw
共建	hvef
苍白	hvgi
芬芳	hvhd
芥蒂	hvhd
荟萃	hvhd
共和	hvho
共和国	hvhq
苍茫	hvhs
恭敬	hvhs
共识	hvio
共计	hvix
利欲熏心	hvju
茶座	hvjv
利令智昏	hvlc
税款	hvlf
税收	hvli
恭喜	hvlo
共青团	hvlq
共用	hvnf
黄金周	hvnl
共同	hvnt
共鸣	hvog
茶叶	hvox
苍蝇	hvqo
茶馆	hvrl
苍天	hvty
共创	hvvc
税金	hvvi
恭维	hvwt
邯郸学步	hvwy
共有	hvxd
共存	hvxi
共性	hvyj
移风易俗	hwbt
科学研究	hwcn
药方	hwdh
药剂	hwdx
稍纵即逝	hwef
颓势	hwfx
蕴藏	hwhk
稍稍	hwhw
稍许	hwil
药物	hwjf
稍后	hwjj
药店	hwjy
颓废	hwjy
稍等	hwkl
花红柳绿	hwmw
药材	hwmx
营业额	hwna
药用	hwnf
科学家	hwnx
药品	hwoo
科学院	hwpn
稍微	hwse
蕴含	hwvj
和风细雨	hwwu
稍有	hwxd
颓丧	hwxv
秋冬	hxad
苦难	hxat
若是	hxbt
若要	hxcr
获胜	hxdj
若干	hxfi
葫芦	hxhd
获利	hxhn
稀薄	hxhs
蔷薇	hxhs
苦苦	hxhx
秋季	hxhz
稀疏	hxjl
稀释	hxjx
获悉	hxjx
秋千	hxjx
获奖	hxkd
苦笑	hxkj
稽查	hxmb
稀少	hxmj
苦闷	hxnu
稀罕	hxnv
获取	hxpa
获得	hxsb
私有化	hxtt
秋天	hxty
获准	hxvt
获益	hxvv
秋风	hxwx
稀有	hxxd
苦恼	hxyd
稀奇	hxyt
著名	hydo
莽撞	hyfd
著称	hyhr
著作	hytl
透明	hzbd
季报	hzfp
季节	hzhp
季度	hzjh
透视	hzjy
艺术	hzmd
透析	hzmj
透彻	hzst
秀丽	hztn
透露	hzuo
秀美	hzve
透支	hzxa
透过	hzxd
译文	iadx
攻打	iaft
攻击	iafu
攻势	iafx
攻读	iaix
攻坚	iana
攻略	iaqa
攻关	iavy
攻克	iaxo
攻占	iayo
课题	ibbt
课时	ibbx
课文	ibdx
课外	ibdy
旧的	ibgs
课程	ibho
功败垂成	ibjj
说明书	ibjj
课本	ibmt
谩骂	iboo
诺贝尔	ibrm
课件	ibtk
课堂	ibwn
贡献	ibxn
诋毁	icgi
讴歌	icto
议题	idbt
巧立名目	iddg
议程	idho
该项	idij
评头论足	idio
议论	idiv
访谈	idix
访客	idna
访问	idno
议案	idnr
议员	idob
工商局	idpj
谅解	idrd
议政	idtl
议事	idto
访华	idtt
访美	idve
议会	idvf
诽谤	ieid
讲义	ifdx
讲授	iffj
讲台	ifgo
讲课	ifib
讲话	ifij
讲座	ifjv
讲述	ifmd
讲师	ifnt
讲究	ifnv
讲解	ifrd
讲演	ifsn
讲学	ifwn
讲求	ifxx
调兵遣将	igqk
诱导	ihex
谋私	ihhg
谎言	ihii
诺言	ihii
谋害	ihnf
工程师	ihnt
工程师	ihon
工艺品	ihoo
谋取	ihpa
谨防	ihpd
谋略	ihqa
诱因	ihqy
诱骗	ihst
诱惑	ihto
诱使	ihtt
诱人	ihvi
谋杀	ihxm
谋求	ihxx
诱发	ihya
谨慎	ihyx
工艺品	ihzo
诡计多端	iidd
工商	iidn
工夫	iifv
工贸	iigd
工程	iiho
诬蔑	iihq
工艺	iihz
言论	iiiv
言语	iiiw
工序	iijd
工厂	iiji
言辞	iijx
旧调重弹	iijz
工地	iilc
工场	iilz
诬陷	iipr
工具	iiqe
工期	iiqv
言行	iisf
工行	iisf
工作	iitl
工会	iivf
工人	iivi
工资	iivr
工业	iiwt
言情	iiyl
话题	ijbt
诚意	ijdb
言不由衷	ijdd
功名	ijdo
功效	ijdv
功率	ijdw
诚然	ijdy
诚恳	ijek
功耗	ijem
功夫	ijfv
诚挚	ijfx
功能	ijgd
诚邀	ijgd
项目	ijgi
功劳	ijhn
功课	ijib
谣言	ijii
诉讼	ijiv
谬论	ijiv
诉说	ijiv
话说	ijiv
词语	ijiw
话语	ijiw
诉诸	ijiy
功底	ijjc
诞辰	ijjf
功力	ijji
诞生	ijjl
诉状	ijky
诚实	ijnd
说不定	ijnt
功勋	ijob
诚聘	ijpd
话剧	ijpx
巧舌如簧	ijrk
词汇	ijsc
诚征	ijst
诚信	ijti
诚心	ijui
词典	ijuv
项链	ijvc
功绩	ijwl
词组	ijwq
词频	ijyj
话费	ijzs
计算机	ikmw
计算器	ikoo
谈笑风生	ikwj
许昌	ilbb
许多	ildd
诗文	ildx
请示	ilfm
请进	ilfn
让利	ilhn
许诺	ilih
诗词	ilij
请看	iljf
让我	iljf
请愿	iljg
许愿	iljg
诗篇	ilkd
请客	ilna
请问	ilno
让它	ilnt
请罪	ilqe
请罪	ilqn
许久	ilrn
诗句	ilso
请勿	ilss
诈骗	ilst
让他	iltc
让位	iltd
请到	iltg
诗集	ilti
诗歌	ilto
许可	ilto
请假	iltp
请柬	iltq
让你	iltr
请便	iltt
让出	ilue
计上心来	ilut
诗人	ilvi
诗经	ilwz
请求	ilxx
让步	ilyi
请教	ilyz
训练	imwt
调戏	inax
调研	inct
调离	indx
调剂	indx
调理	ineb
诧异	ineh
调动	infg
调控	infn
调换	infr
调拨	infy
调和	inho
调节	inhp
诽谤	inid
调试	init
调谐	iniu
调皮	inja
调度	injh
调入	injn
调制	inkn
调查	inmb
调用	innf
调味	inof
调遣	inqp
调解	inrd
调停	intd
调任	intj
调整	into
调侃	into
调配	inuz
调养	inve
证监会	invf
调料	inxd
调频	inyj
误时	iobx
识破	iocj
误区	iocx
误导	ioex
言听计从	ioiv
误用	ionf
识别	iooj
误解	iord
误事	ioto
误会	iovf
误差	iovf
工具书	iqej
工具书	iqjj
工具箱	iqkm
谴责	iqlb
诺基亚	iqtw
谢意	irdb
诡辩	irdx
诡秘	irhu
谄谀	irig
谢谢	irir
诡计	irix
诸如此类	irlx
谄媚	irrd
谢绝	irwr
询问	isno
证明	itbd
巧遇	itbn
订购	itbs
试题	itbt
订票	itcf
谁也	itci
订立	itdi
评为	itdj
试剂	itdx
工作站	itdy
评理	iteb
试探	itfn
证据	itfp
订报	itfp
评委	ithr
评议	itid
讹诈	itil
试试	itit
许可证	itit
评说	itiv
评论	itiv
评语	itiw
证书	itjj
评选	itjl
评奖	itkd
工作上	itll
工作者	itly
谁知	itly
评述	itmd
记事本	itmt
评审	itnb
证实	itnd
试用	itnf
评定	itnt
订阅	itnv
试听	itoj
试图	itqa
订婚	itrc
巧妙	itrm
评测	itsb
试行	itsf
试验	itst
证件	ittk
订货	ittt
评价	ittv
评估	ittx
评比	itui
订单	itvb
评分	itvd
证人	itvi
巧合	itvt
评判	itvx
试卷	itvy
证券	itvy
评级	itwj
谁都	ityb
试点	ityo
说明	ivbd
认购	ivbs
论题	ivbt
认输	ivcv
认为	ivdj
说服	ivdp
论文	ivdx
巫山	ivei
论据	ivfp
论著	ivhy
说谎	ivih
说话	ivij
谦让	ivil
论调	ivin
认识	ivio
论证	ivit
认证	ivit
说说	iviv
诊所	ivjj
诊疗	ivjj
说不定	ivjn
诠释	ivjx
论坛	ivlf
说起	ivll
论述	ivmd
说完	ivnf
访贫问苦	ivnh
谱写	ivns
认同	ivnt
认定	ivnt
详见	ivnw
详尽	ivpn
认罪	ivqn
详解	ivrd
说好	ivrz
诊治	ivsg
认清	ivsl
说法	ivsl
说到	ivtg
认可	ivto
说来	ivtx
说出	ivue
说着	ivvf
认错	ivvh
说道	ivvj
认领	ivvj
详细	ivwq
说过	ivxd
诊断	ivxl
论断	ivxl
认真	ivxq
详情	ivyl
论点	ivyo
谦虚	ivyw
谦逊	ivzm
设备	iwaq
工业区	iwcx
语音	iwdb
设施	iwdh
设立	iwdi
设为	iwdj
语文	iwdx
语录	iwes
语种	iwho
语言	iwii
语词	iwij
语调	iwin
设计	iwix
语气	iwkz
设想	iwmg
设定	iwnt
恐吓	iwot
设防	iwpd
设置	iwqx
巩固	iwqx
设法	iwsl
语法	iwsl
语句	iwso
讽刺	iwtn
工业化	iwtt
设有	iwxd
恐龙	iwxt
恐怕	iwyg
恐慌	iwyh
恐惧	iwyq
恐怖	iwyx
计量	ixbt
计时	ixbx
计较	ixcd
读音	ixdb
计委	ixhr
计谋	ixih
谈话	ixij
谈论	ixiv
讨论	ixiv
谜语	ixiw
谈谈	ixix
读物	ixjf
巧克力	ixji
读书	ixjj
讨厌	ixjy
计算	ixkg
计算机	ixkm
谈起	ixll
读写	ixns
计数器	ixoo
读取	ixpa
谜团	ixqx
讨嫌	ixrv
讨好	ixrz
谈到	ixtg
讨债	ixtl
谈心	ixui
谈判	ixvx
计划	ixxn
计数	ixxr
读者	ixyb
计费	ixzs
诸多	iydd
调虎离山	iyde
讣告	iyjl
诸如	iyro
巧夺天工	iyti
诸侯	iytz
记录	izes
记功	izij
记载	izlc
记述	izmd
诀窍	iznv
记号	izot
记得	izsb
记住	iztd
记下	izty
记过	izxd
记者	izyb
记性	izyj
记忆	izyz
皮肤	jadf
颇为	jadj
皮带	jahn
皮鞋	jahp
皮革	jahp
疼痛	jajd
皮毛	jajf
面对面	jajq
瘫痪	jajr
皮包	jase
颇有	jaxd
页码	jbcs
反败为胜	jbdd
厚望	jbdl
百灵	jbex
百里挑一	jbft
百科	jbhd
百花	jbht
厚厚	jbjb
自暴自弃	jbjd
厚度	jbjh
百度	jbjh
厕所	jbjj
厚爱	jbjn
页面	jbjq
厚重	jbjt
百年	jblc
百家	jbnx
百叶	jbox
百姓	jbrj
度日如年	jbrl
爱财如命	jbrv
千里马	jbst
百倍	jbtd
百万	jbth
百货	jbtt
百分	jbvd
百分之	jbvd
厚道	jbvj
页次	jbvr
百合	jbvt
百业	jbwt
厘米	jbxi
页数	jbxr
百强	jbzs
底部	jcdo
库房	jcdp
厄运	jcfg
底薪	jchd
底蕴	jchw
自轻自贱	jcjb
先斩后奏	jcje
顾及	jcjz
顾客	jcna
顾问	jcno
底层	jcpf
底价	jctv
底下	jcty
底线	jcwf
底细	jcwq
库存	jcxi
顾虑	jcyu
底子	jczi
重峦叠嶂	jdae
臭名昭著	jdbh
买账	jdbk
买主	jdde
买方	jddh
摩肩接踵	jdfo
厚颜无耻	jdfp
痛击	jdfu
序幕	jdhb
瓜熟蒂落	jdhh
买菜	jdhj
痛苦	jdhx
序言	jdii
疤痕	jdje
自怨自艾	jdjh
千方百计	jdji
买了	jdji
乏力	jdji
生产力	jdji
戛然而止	jdjl
自高自大	jdjy
不胜枚举	jdmw
买家	jdnx
痛哭	jdoo
序号	jdot
顾名思义	jdqd
丢卒保车	jdtc
序列	jdtd
买到	jdtg
千辛万苦	jdth
千变万化	jdtt
痛心	jdui
生产线	jdwf
买卖	jdxj
垂头丧气	jdxk
痛恨	jdye
痛快	jdyz
痕迹	jedm
承建	jeef
唐山	jeei
承担	jefb
承接	jefd
承诺	jeih
唐诗	jeil
承认	jeiv
承受	jejn
承办	jejv
康复	jelb
承载	jelc
福建省	jemj
唐突	jenv
承包	jese
承德	jesx
康佳	jetl
千山万水	jets
庸俗	jetv
唐朝	jexb
特务	jfaj
那里	jfbl
手里	jfbl
那时	jfbx
摩托车	jfci
特辑	jfco
特区	jfcx
特意	jfdb
特产	jfdj
毛衣	jfdk
看望	jfdl
手脚	jfdl
手迹	jfdm
手腕	jfdn
那就	jfdo
特效	jfdv
牲畜	jfdw
看齐	jfdx
物理	jfeb
特异	jfeh
手动	jffg
拜托	jffj
手持	jffl
特刊	jffn
手指	jfft
特技	jffx
手势	jffx
特邀	jfgd
看台	jfgo
我的	jfgs
手稿	jfhd
特稿	jfhd
犒劳	jfhn
特种	jfho
那种	jfho
物种	jfho
特警	jfhs
看透	jfhz
拜访	jfid
手工	jfii
特工	jfii
特许	jfil
手记	jfiz
应接不暇	jfjb
看看	jfjf
牺牲	jfjf
那么	jfjg
手段	jfji
看了	jfji
物力	jfji
物质	jfjj
看成	jfjj
看书	jfjj
特质	jfjj
应运而生	jfjj
手段	jfjk
那段	jfjk
威武不屈	jfjp
看病	jfjt
毛病	jfjt
看重	jfjt
那边	jfjz
特长	jfki
毛笔	jfkj
特等	jfkl
特制	jfkn
看管	jfkn
手气	jfkz
那年	jflc
拜年	jflc
特地	jflc
手表	jflk
特赦	jflm
不动声色	jflr
那些	jflt
看起来	jflt
特此	jflt
牧场	jflz
特权	jfma
手术	jfmd
我校	jfmd
我想	jfmg
手柄	jfmt
那样	jfmv
手枪	jfmv
手机	jfmw
我军	jfnc
牡丹	jfnd
毛巾	jfni
手帕	jfni
手册	jfnn
手写	jfns
特写	jfns
特定	jfnt
看见	jfnw
拜见	jfnw
我家	jfnx
看中	jfoi
手中	jfoi
特别	jfoj
手足	jfol
物品	jfoo
那只	jfov
手臂	jfpo
我国	jfqe
特困	jfqm
特色	jfrd
物色	jfrd
犄角	jfri
看好	jfrz
物流	jfsd
特派	jfsj
看法	jfsl
看待	jfsl
看清	jfsl
手法	jfsl
特征	jfst
毛泽东	jfst
特殊	jftd
手下	jftd
看到	jftg
物件	jftk
看似	jftl
看作	jftl
物体	jftm
我们	jftn
特例	jftt
特使	jftt
物价	jftv
特价	jftv
那份	jftv
看来	jftx
那天	jfty
手下	jfty
看出	jfue
看着	jfvf
奥运会	jfvf
那个	jfvi
物资	jfvr
那儿	jfwi
特级	jfwj
手无缚鸡之力	jfwj
手掌	jfwn
手绢	jfwo
特约	jfws
物业	jfwt
手续	jfwx
看过	jfxd
特有	jfxd
物料	jfxd
特卖	jfxj
力挽狂澜	jfxs
特大	jfyi
特性	jfyj
座无虚席	jfyj
手套	jfyk
特点	jfyo
看点	jfyo
疲于奔命	jfyv
特快	jfyz
那张	jfzs
夏日	jgbi
原则	jgbn
原是	jgbt
愿意	jgdb
自主	jgde
自由	jgdi
自立	jgdi
愿望	jgdl
自豪	jgdo
原名	jgdo
原文	jgdx
自然	jgdy
原理	jgeb
自理	jgeb
自动	jgfg
自动化	jgft
自卑	jggj
自私	jghg
自营	jghn
自带	jghn
自称	jghr
原著	jghy
夏季	jghz
原谅	jgid
自认	jgiv
自我	jgjf
原物	jgjf
自愿	jgjg
蛋白质	jgjj
原告	jgjl
自选	jgjl
原先	jgjl
自爱	jgjn
自重	jgjt
鼻祖	jgjy
原籍	jgke
自筹	jgkf
原版	jgkj
原装	jgkl
自制	jgkn
原地	jglc
原声	jgld
原封	jgll
自查	jgmb
自述	jgmd
刮目相看	jgmj
原本	jgmt
自用	jgnf
原定	jgnt
自家	jgnx
自卫	jgpt
自助	jgqf
原因	jgqy
自负	jgrb
原始	jgrg
自身	jgri
瘦身	jgri
自如	jgro
自行车	jgsc
自治区	jgsc
原油	jgsd
自律	jgse
自行	jgsf
自治	jgsg
自满	jgsh
鼻涕	jgsv
自传	jgtf
原形	jgth
原型	jgth
自信	jgti
原件	jgtk
原作	jgtl
原价	jgtv
原来	jgtx
夏天	jgty
原创	jgvc
自首	jgvj
自尊	jgvu
自从	jgvv
自编	jgwd
自觉	jgwn
自学	jgwn
原料	jgxd
原有	jgxd
自有	jgxd
自在	jgxi
自杀	jgxm
自古	jgxo
自救	jgxx
自发	jgya
自大	jgyi
自考	jgys
鼻子	jgzi
原子	jgzi
自己	jgzl
自费	jgzs
自强	jgzs
百花齐放	jhdd
面黄肌瘦	jhdj
升高	jhdo
不甘示弱	jhfz
升序	jhjd
不劳而获	jhjh
升起	jhll
不落窠臼	jhng
升降	jhpa
百花争艳	jhrf
升温	jhsb
席位	jhtd
度假	jhtp
升华	jhtt
升值	jhtx
席卷	jhvy
升级	jhwj
力透纸背	jhwk
升学	jhwn
度过	jhxd
鹧鸪	jhxo
广电	jibl
力量	jibt
习题	jibt
广西	jici
厂区	jicx
广为	jidj
厂商	jidn
厂房	jidp
广义	jidx
广播	jifj
力度	jijh
广度	jijh
百读不厌	jijj
广告	jijl
厂长	jiki
力气	jikz
习气	jikz
广场	jilz
甜言蜜语	jini
广阔	jins
厂家	jinx
力图	jiqa
不计其数	jiqx
了解	jird
力争	jire
了得	jisb
广泛	jisj
千言万语	jiti
广东	jitm
了事	jito
习俗	jitv
了结	jiwl
力学	jiwn
力求	jixx
广大	jiyi
习惯	jiyq
广州	jiyy
反观	jjan
后备	jjaq
疲惫	jjaq
反对	jjax
成败	jjba
近日	jjbi
成果	jjbm
后果	jjbm
反映	jjbn
质量	jjbt
历时	jjbx
所要	jjcr
疲软	jjcr
袖手旁观	jjda
神采奕奕	jjdd
病入膏肓	jjdd
后方	jjdh
成立	jjdi
成为	jjdj
盛产	jjdj
后裔	jjdk
不毛之地	jjdl
成亲	jjdm
质变	jjdm
后市	jjdn
重庆市	jjdn
成熟	jjdo
成就	jjdo
成名	jjdo
书名	jjdo
书房	jjdp
成交	jjdv
疗效	jjdv
成效	jjdv
成文	jjdx
后顾之忧	jjdy
反之	jjdz
成群	jjej
后退	jjek
反抗	jjfd
反动	jjfg
所向披靡	jjfj
所示	jjfm
书刊	jjfn
后进	jjfn
反击	jjfu
还不能	jjgd
所能	jjgd
书目	jjgi
后台	jjgo
手疾眼快	jjgy
瓜葛	jjhb
书稿	jjhd
近期	jjhe
盛世	jjhl
后世	jjhl
疲劳	jjhn
后勤	jjho
历程	jjho
殷勤	jjho
反攻	jjia
斤斤计较	jjic
成功	jjij
反诉	jjij
所谓	jjiq
质询	jjis
书评	jjit
所说	jjiv
成语	jjiw
反恐	jjiw
书记	jjiz
自顾不暇	jjjb
书库	jjjc
疲乏	jjjd
羽毛	jjjf
盛夏	jjjg
欣欣向荣	jjjh
成了	jjji
爱不释手	jjjj
书生	jjjl
反而	jjjn
视而不见	jjjn
反向	jjjn
书架	jjjo
反面	jjjq
后面	jjjq
书面	jjjq
疏而不漏	jjjs
反感	jjjt
质感	jjjt
手不释卷	jjjv
反应	jjjw
近视	jjjy
书店	jjjy
返还	jjjy
不翼而飞	jjjz
书籍	jjke
成长	jjki
所长	jjki
书签	jjkv
斥责	jjlb
反复	jjlb
质地	jjlc
历年	jjlc
成年	jjlc
所以	jjld
近年来	jjlt
返校	jjmd
反唇相讥	jjmi
反省	jjmj
原原本本	jjmm
成本	jjmt
书本	jjmt
息息相关	jjmv
质检	jjmv
成材	jjmx
面面相觑	jjmy
质朴	jjmy
盛宴	jjnb
庭审	jjnb
后门	jjni
厦门	jjni
质问	jjno
书写	jjns
戳穿	jjnv
所见	jjnw
看不见	jjnw
成家	jjnx
成员	jjob
反响	jjoj
成品	jjoo
书号	jjot
历史	jjox
历届	jjpd
所属	jjpj
书院	jjpn
庭院	jjpn
书屋	jjpt
后卫	jjpt
自我陶醉	jjpu
历险	jjpv
神乎其神	jjqj
返回	jjqo
反思	jjqu
近期	jjqv
后期	jjqv
成因	jjqy
成婚	jjrc
不了解	jjrd
反馈	jjrl
反射	jjrx
所得	jjsb
书包	jjse
盛行	jjsf
书法	jjsl
疗法	jjsl
还不够	jjso
反驳	jjst
成倍	jjtd
殷切	jjtd
所致	jjtg
盛开	jjth
成型	jjth
成形	jjth
返修	jjti
历任	jjtj
反正	jjtl
质疑	jjtl
书画	jjtq
成像	jjtr
面面俱到	jjtt
反倒	jjtt
入不敷出	jjtu
成份	jjtv
历代	jjtv
疲倦	jjtv
后代	jjtv
后来	jjtx
近来	jjtx
历来	jjtx
后天	jjty
所需	jjuj
盛典	jjuv
成分	jjvd
瓜分	jjvd
疗养	jjve
成全	jjve
盛会	jjvf
反差	jjvf
还不错	jjvh
成人	jjvi
后人	jjvi
近况	jjvo
盛况	jjvo
历次	jjvr
力不从心	jjvu
后缀	jjwa
返乡	jjwj
成绩	jjwl
欣赏	jjwn
反常	jjwn
生物学	jjwn
羽绒	jjwt
后续	jjwx
历经	jjwz
所有	jjxd
所在	jjxi
成才	jjxj
所有权	jjxm
成都	jjyb
后者	jjyb
成都市	jjyd
盛大	jjyi
后悔	jjyl
盛情	jjyl
反悔	jjyl
后劲	jjzi
反弹	jjzs
近日	jkbi
补贴	jkby
补充	jkdg
衬衣	jkdk
初恋	jkdm
初衷	jkdo
欣然	jkdy
袖珍	jkev
被动	jkfg
衬托	jkfj
被捕	jkft
被迫	jkgz
初稿	jkhd
近期	jkhe
段落	jkhs
补课	jkib
舆论	jkiv
衬衫	jkjk
襁褓	jkjk
被告	jkjl
初生	jkjl
补办	jkjv
近乎	jkjv
欣悉	jkjx
近视	jkjy
斥责	jklb
近年	jklc
欣喜	jklo
近年来	jklt
初审	jknb
被害	jknf
初中	jkoi
欣慰	jkpf
补助	jkqf
近期	jkqv
初期	jkqv
褐色	jkrd
初始	jkrg
初一	jkti
补丁	jkti
被俘	jktj
近似	jktl
裸体	jktm
千篇一律	jkts
近代	jktv
补偿	jktw
近来	jktx
裸露	jkuo
近况	jkvo
初次	jkvr
斥资	jkvr
初级	jkwj
初学	jkwn
欣赏	jkwn
补给	jkwv
补救	jkxx
初步	jkyi
补考	jkys
裤子	jkzi
袜子	jkzi
生日	jlbi
选购	jlbs
先是	jlbt
选题	jlbt
选票	jlcf
生硬	jlct
生意	jldb
生育	jldg
后起之秀	jldh
生产	jldj
生产力	jldj
疏通	jldn
造就	jldo
生效	jldv
生理	jleb
靠山	jlei
先辈	jlen
疏导	jlex
先导	jlex
选择	jlfa
压抑	jlfc
生动	jlfg
生于	jlfi
告示	jlfm
先进	jlfn
遥控	jlfn
遥远	jlfw
选拔	jlfx
造势	jlfx
丢掉	jlfy
赞扬	jlfz
蛋白	jlgi
告白	jlgi
压迫	jlgz
疏散	jlhd
延期	jlhe
庄稼	jlhn
厚此薄彼	jlhs
欣喜若狂	jlhx
疾苦	jlhx
谣言	jlii
